PubId,Town Name,State,Subdomain,Full Region,WBS Code,Publish Date,DMA,Lat,Lng,Zip Codes
34,Caldwells,NJ,caldwells,PATCHUS_NNJ3 PATCHUS_NNJ1_REG2 PATCHUS_NNJ1_REG2_CLS8,US_NJ_THECALDWELLS,12/16/09,newyork,40.838726,-74.27836,7006
35,Springfield,NJ,springfield,PATCHUS_SNJ1 PATCHUS_NNJ2_REG2 PATCHUS_NNJ2_REG2_CLS2,US_NJ_SPRINGFIELD,11/4/09,newyork,40.698805,-74.329769,7081
36,Hoboken,NJ,hoboken,PATCHUS_NNJ3 PATCHUS_NNJ1_REG2 PATCHUS_NNJ1_REG2_CLS5,US_NJ_HOBOKEN,1/14/10,newyork,40.744466,-74.028801,7030
37,Scarsdale,NY,scarsdale,PATCHUS_HVF2 PATCHUS_HVF1_REG1 PATCHUS_HVF1_REG1_CLS3,US_NY_SCARSDALE,1/13/10,newyork,40.988688,-73.77748,10583
38,Larchmont-Mamaroneck,NY,larchmont,PATCHUS_HVF2 PATCHUS_HVF1_REG1 PATCHUS_HVF1_REG1_CLS2,US_NY_LARCHMNT_MAMARONCK,12/30/09,newyork,40.928316,-73.740899,"10538, 10543"
39,Chappaqua-Mount Kisco,NY,chappaqua,PATCHUS_HVF2 PATCHUS_HVF1_REG2 PATCHUS_HVF1_REG2_CLS2,US_NY_CHAPPAQUA_MTKISCO,12/30/09,newyork,41.204353,-73.729786,"10514, 10549"
40,Newtown,CT,newtown,PATCHUS_HVF2 PATCHUS_CCT1_REG2 PATCHUS_CCT1_REG2_CLS1,US_CT_NEWTOWN,3/24/10,hartford,41.395295,-73.281117,6470
41,Brookfield,CT,brookfield,PATCHUS_HVF2 PATCHUS_CCT1_REG2 PATCHUS_CCT1_REG2_CLS2,US_CT_BROOKFIELD,3/17/10,hartford,41.467645,-73.387764,6804
42,Syosset,NY,syosset,PATCHUS_LI1 PATCHUS_LI1_REG1 PATCHUS_LI1_REG1_CLS6,US_NY_SYOSSET,2/24/10,hartford,40.910005,-73.050168,11791
43,Bridgewater,NJ,bridgewater,PATCHUS_NNJ3 PATCHUS_NNJ1_REG2 PATCHUS_NNJ1_REG2_CLS9,US_NJ_BRIDGEWATER,7/30/10,newyork,40.596095,-74.600044,8807
44,Montville,NJ,montville,PATCHUS_NNJ3 PATCHUS_NNJ1_REG2 PATCHUS_NNJ1_REG2_CLS11,US_NJ_MONTVILLE,6/30/10,newyork,40.901899,-74.360724,"07045, 07058"
45,Morristown,NJ,morristown,PATCHUS_NNJ3 PATCHUS_NNJ1_REG2 PATCHUS_NNJ1_REG2_CLS11,US_NJ_MORRISTOWN,8/17/10,newyork,40.799211,-74.478668,"07950, 07960"
46,Massapequa,NY,massapequa,PATCHUS_LI1 PATCHUS_LI1_REG1 PATCHUS_LI1_REG1_CLS6,US_NY_MASSAPEQUA,5/26/10,newyork,40.678192,-73.450331,"11758, 11762"
47,New City,NY,newcity,PATCHUS_HVF2 PATCHUS_HVF1_REG1 PATCHUS_HVF1_REG1_CLS2,US_NY_NEWCITY,4/28/10,newyork,41.135245,-73.964383,10956
48,Wellesley,MA,wellesley,PATCHUS_BOS1 PATCHUS_BOS1_REG2 PATCHUS_BOS1_REG2_CLS5,US_MA_WELLESLEY,4/27/10,boston,42.299527,-71.278429,"02481, 02482"
49,Danville,CA,danville,PATCHUS_NCA1 PATCHUS_NCA1_REG3 PATCHUS_NCA1_REG3_CLS2,US_CA_DANVILLE,2/26/10,sanfrancisco,37.813357,-121.959538,"94506, 94507, 94526"
50,Pleasanton,CA,pleasanton,PATCHUS_NCA1 PATCHUS_NCA1_REG3 PATCHUS_NCA1_REG3_CLS2,US_CA_PLEASANTON,4/2/10,sanfrancisco,37.66143,-121.877703,"94566, 94588"
51,Dublin,CA,dublin,PATCHUS_NCA1 PATCHUS_NCA1_REG3 PATCHUS_NCA1_REG3_CLS2,US_CA_DUBLIN,9/15/10,sanfrancisco,37.718229,-121.910362,94568
52,San Ramon,CA,sanramon,PATCHUS_NCA1 PATCHUS_NCA1_REG3 PATCHUS_NCA1_REG3_CLS2,US_CA_SANRAMON,3/14/10,sanfrancisco,37.758483,-121.947051,94583
54,Manhattan Beach,CA,manhattanbeach,PATCHUS_SCA2 PATCHUS_SCA1_REG1 PATCHUS_SCA1_REG1_CLS3,US_CA_MANHATTANBEACH,2/22/10,losangeles,33.885723,-118.405743,90266
55,Hermosa Beach,CA,hermosabeach,PATCHUS_SCA2 PATCHUS_SCA1_REG1 PATCHUS_SCA1_REG1_CLS3,US_CA_HERMOSABEACH,3/5/10,losangeles,33.860349,-118.42027,90254
56,Redondo Beach,CA,redondobeach,PATCHUS_SCA2 PATCHUS_SCA1_REG1 PATCHUS_SCA1_REG1_CLS6,US_CA_REDONDOBEACH,4/5/10,losangeles,33.854565,-118.377308,"90277, 90278"
