School Year,Division,School,Subject Area,Pass Rate
2011-2012,Albemarle County ,Woodbrook Elementary,Mathematics,65.85%
2011-2012,Fairfax County ,North Springfield Elementary,Mathematics,60.98%
2011-2012,Loudoun County ,River Bend Middle,Mathematics,76.97%
2011-2012,Loudoun County ,Harmony Middle,Mathematics,78.62%
2011-2012,Albemarle County ,Stone Robinson Elementary,Mathematics,59.07%
2011-2012,Chesapeake City ,Hugo A. Owens Middle,Mathematics,69.15%
2011-2012,Prince William County ,Bull Run Middle,Mathematics,84.84%
2011-2012,Rockingham County ,Ottobine Elementary,Mathematics,53.85%
2011-2012,Tazewell County ,Raven Elementary,Mathematics,56.63%
2011-2012,Virginia Beach City ,Tallwood High,Mathematics,57.95%
2011-2012,Grayson County ,Fries School,Mathematics,57.24%
2011-2012,Albemarle County ,Virginia L. Murray Elementary,Mathematics,85.38%
2011-2012,Loudoun County ,Mill Run Elementary,Mathematics,79.41%
2011-2012,Mecklenburg County ,Chase City Elementary,Mathematics,64.22%
2011-2012,Virginia Beach City ,Tallwood Elementary,Mathematics,62.59%
2011-2012,Montgomery County ,Eastern Montgomery High,Mathematics,20.74%
2011-2012,Montgomery County ,Auburn Elementary,Mathematics,85.32%
2011-2012,Russell County ,Lebanon Middle,Mathematics,78.40%
2011-2012,Montgomery County ,Kipps Elementary,Mathematics,72.83%
2011-2012,Albemarle County ,Benjamin F. Yancey Elementary,Mathematics,53.73%
2011-2012,Chesapeake City ,Cedar Road Elementary,Mathematics,80.43%
2011-2012,Fairfax County ,West Potomac High,Mathematics,49.61%
2011-2012,Loudoun County ,Heritage High,Mathematics,57.93%
2011-2012,Lynchburg City ,Heritage High,Mathematics,34.11%
2011-2012,Newport News City ,Heritage High,Mathematics,28.53%
2011-2012,Prince William County ,Cedar Point Elementary,Mathematics,85.07%
2011-2012,Rockingham County ,Elkton Middle,Mathematics,79.92%
2011-2012,Virginia Beach City ,Red Mill Elementary,Mathematics,82.07%
2011-2012,Albemarle County ,Murray High,Mathematics,35.38%
2011-2012,Chesapeake City ,Hickory High,Mathematics,64.10%
2011-2012,Fairfax County ,Lynbrook Elementary,Mathematics,57.38%
2011-2012,Loudoun County ,Countryside Elementary,Mathematics,71.88%
2011-2012,Prince William County ,Swans Creek Elementary,Mathematics,59.21%
2011-2012,Rockingham County ,Wilbur S. Pence Middle,Mathematics,74.15%
2011-2012,Russell County ,Honaker Elementary,Mathematics,73.88%
2011-2012,Tazewell County ,Tazewell High,Mathematics,39.41%
2011-2012,Albemarle County ,Albemarle High,Mathematics,70.96%
2011-2012,Chesterfield County ,Tomahawk Creek Middle,Mathematics,89.05%
2011-2012,Lee County ,Thomas Walker High,Mathematics,64.04%
2011-2012,Loudoun County ,Eagle Ridge Middle,Mathematics,76.57%
2011-2012,Prince William County ,Louise A. Benton Middle,Mathematics,85.86%
2011-2012,Russell County ,Cleveland Elementary,Mathematics,94.37%
2011-2012,Virginia Beach City ,Ocean Lakes Elementary,Mathematics,67.80%
2011-2012,Wise County ,St. Paul Elementary,Mathematics,78.64%
2011-2012,Chesapeake City ,Greenbrier Intermediate,Mathematics,67.13%
2011-2012,Chesterfield County ,Elizabeth Davis Middle,Mathematics,73.50%
2011-2012,Danville City ,Glenwood Elementary,Mathematics,78.85%
2011-2012,Loudoun County ,Seldens Landing Elementary,Mathematics,81.01%
2011-2012,Prince William County ,Forest Park High,Mathematics,54.81%
2011-2012,Rockingham County ,Broadway High,Mathematics,67.83%
2011-2012,Virginia Beach City ,Glenwood Elementary,Mathematics,71.64%
2011-2012,Chesterfield County ,Alberta Smith Elementary,Mathematics,80.53%
2011-2012,Chesapeake City ,Butts Road Intermediate,Mathematics,85.08%
2011-2012,Chesterfield County ,Winterpock Elementary,Mathematics,92.40%
2011-2012,Dickenson County ,Sandlick Elementary,Mathematics,66.67%
2011-2012,Loudoun County ,Little River Elementary,Mathematics,78.73%
2011-2012,Norfolk City ,Willoughby Elementary,Mathematics,73.91%
2011-2012,Prince William County ,Bristow Run Elementary,Mathematics,79.89%
2011-2012,Rockingham County ,Montevideo Middle,Mathematics,78.65%
2011-2012,Fauquier County ,Auburn Middle,Mathematics,74.38%
2011-2012,Montgomery County ,Auburn Middle,Mathematics,61.89%
2011-2012,Fauquier County ,James G. Brumfield Elementary,Mathematics,60.54%
2011-2012,Smyth County ,Chilhowie Middle,Mathematics,73.60%
2011-2012,Chesapeake City ,Great Bridge Intermediate,Mathematics,83.42%
2011-2012,Chesterfield County ,Elizabeth Scott Elementary,Mathematics,84.00%
2011-2012,Dickenson County ,Longs Fork Elementary,Mathematics,58.38%
2011-2012,Fairfax County ,Wakefield Forest Elementary,Mathematics,88.21%
2011-2012,Loudoun County ,Stone Bridge High,Mathematics,69.16%
2011-2012,Norfolk City ,Sewells Point Elementary,Mathematics,66.94%
2011-2012,Prince William County ,Sonnie Penn Elementary,Mathematics,76.10%
2011-2012,Rockingham County ,Turner Ashby High,Mathematics,84.33%
2011-2012,Augusta County ,Wilson Middle,Mathematics,65.49%
2011-2012,Augusta County ,Guy K. Stump Elementary,Mathematics,65.06%
2011-2012,Augusta County ,Edward G. Clymore Elementary,Mathematics,61.83%
2011-2012,Chesapeake City ,Western Branch High,Mathematics,61.36%
2011-2012,Chesterfield County ,Cosby High,Mathematics,73.89%
2011-2012,Loudoun County ,Cedar Lane Elementary,Mathematics,75.20%
2011-2012,Prince William County ,Bennett Elementary,Mathematics,82.06%
2011-2012,Virginia Beach City ,Rosemont Forest Elementary,Mathematics,62.35%
2011-2012,Chesapeake City ,Indian River High,Mathematics,48.09%
2011-2012,Fairfax County ,Timber Lane Elementary,Mathematics,74.33%
2011-2012,Prince William County ,Leesylvania Elementary,Mathematics,71.91%
2011-2012,Richmond City ,Chimborazo Elementary,Mathematics,50.93%
2011-2012,Rockingham County ,South River Elementary,Mathematics,86.10%
2011-2012,Tazewell County ,Cedar Bluff Elementary,Mathematics,64.73%
2011-2012,Tazewell County ,Richlands Middle,Mathematics,63.91%
2011-2012,Tazewell County ,Richlands Elementary,Mathematics,51.45%
2011-2012,Campbell County ,Rustburg Elementary,Mathematics,49.21%
2011-2012,Tazewell County ,Richlands High,Mathematics,47.93%
2011-2012,Chesapeake City ,Georgetown Primary,Mathematics,75.79%
2011-2012,Fairfax County ,Pine Spring Elementary,Mathematics,63.84%
2011-2012,Lee County ,Elydale Elementary,Mathematics,54.39%
2011-2012,Loudoun County ,Horizon Elementary,Mathematics,76.47%
2011-2012,Norfolk City ,St. Helena Elementary,Mathematics,49.18%
2011-2012,Prince William County ,Old Bridge Elementary,Mathematics,77.20%
2011-2012,Shenandoah County ,Ashby Lee Elementary,Mathematics,60.75%
2011-2012,Virginia Beach City ,Parkway Elementary,Mathematics,55.86%
2011-2012,Chesapeake City ,Western Branch Intermediate,Mathematics,63.55%
2011-2012,Shenandoah County ,Sandy Hook Elementary,Mathematics,65.60%
2011-2012,Virginia Beach City ,Rosemont Elementary,Mathematics,72.57%
2011-2012,Chesterfield County ,Spring Run Elementary,Mathematics,84.47%
2011-2012,Fairfax County ,Navy Elementary,Mathematics,87.27%
2011-2012,Norfolk City ,Tarrallton Elementary,Mathematics,64.63%
2011-2012,Prince William County ,Montclair Elementary,Mathematics,74.18%
2011-2012,Virginia Beach City ,Indian Lakes Elementary,Mathematics,77.90%
2011-2012,Russell County ,Castlewood Elementary,Mathematics,61.86%
2011-2012,Russell County ,Castlewood High,Mathematics,30.85%
2011-2012,Amherst County ,Amherst Elementary,Mathematics,49.08%
2011-2012,Fairfax County ,McLean High,Mathematics,79.52%
2011-2012,Loudoun County ,Blue Ridge Middle,Mathematics,84.65%
2011-2012,Norfolk City ,Lake Taylor Middle,Mathematics,34.41%
2011-2012,Scott County ,Yuma Elementary,Mathematics,79.35%
2011-2012,Virginia Beach City ,Brandon Middle,Mathematics,55.19%
2011-2012,Amherst County ,Amelon Elementary,Mathematics,57.69%
2011-2012,Chesterfield County ,Marguerite F. Christian Elementary,Mathematics,58.15%
2011-2012,Loudoun County ,Lovettsville Elementary,Mathematics,68.68%
2011-2012,Norfolk City ,Tidewater Park Elementary,Mathematics,27.45%
2011-2012,Prince William County ,Stuart M. Beville Middle,Mathematics,69.89%
2011-2012,Rockbridge County ,Fairfield Elementary,Mathematics,67.12%
2011-2012,Scott County ,Twin Springs High,Mathematics,69.44%
2011-2012,Southampton County ,Riverdale Elementary,Mathematics,43.00%
2011-2012,Virginia Beach City ,Fairfield Elementary,Mathematics,61.69%
2011-2012,Scott County ,Gate City Middle,Mathematics,79.14%
2011-2012,Amherst County ,Central Elementary,Mathematics,50.88%
2011-2012,Fairfax County ,Lemon Road Elementary,Mathematics,88.24%
2011-2012,Fluvanna County ,Central Elementary,Mathematics,65.61%
2011-2012,Montgomery County ,Christiansburg High,Mathematics,29.04%
2011-2012,Norfolk City ,Campostella Elementary,Mathematics,39.06%
2011-2012,Prince William County ,George P. Mullen Elementary,Mathematics,69.08%
2011-2012,Rockbridge County ,Central Elementary,Mathematics,67.57%
2011-2012,Scott County ,Gate City High,Mathematics,55.87%
2011-2012,Shenandoah County ,Strasburg High,Mathematics,49.10%
2011-2012,Virginia Beach City ,Green Run Elementary,Mathematics,55.69%
2011-2012,Amherst County ,Elon Elementary,Mathematics,69.17%
2011-2012,Chesterfield County ,Robious Middle,Mathematics,81.58%
2011-2012,Henry County ,Stanleytown Elementary,Mathematics,64.46%
2011-2012,Loudoun County ,Sterling Middle,Mathematics,50.16%
2011-2012,Montgomery County ,Blacksburg High,Mathematics,53.35%
2011-2012,Norfolk City ,Azalea Gardens Middle,Mathematics,40.85%
2011-2012,Prince William County ,Antietam Elementary,Mathematics,77.38%
2011-2012,Virginia Beach City ,North Landing Elementary,Mathematics,77.86%
2011-2012,Wythe County ,Fort Chiswell High,Mathematics,30.36%
2011-2012,Roanoke County ,Hidden Valley High,Mathematics,64.62%
2011-2012,Roanoke County ,Bonsack Elementary,Mathematics,85.31%
2011-2012,Roanoke County ,Glenvar Middle,Mathematics,86.68%
2011-2012,Waynesboro City ,William Perry Elementary,Mathematics,58.65%
2011-2012,Amherst County ,Amherst County High,Mathematics,44.05%
2011-2012,Chesapeake City ,Sparrow Road Intermediate,Mathematics,60.70%
2011-2012,Fairfax County ,Haycock Elementary,Mathematics,94.34%
2011-2012,Fauquier County ,H.M. Pearson Elementary,Mathematics,70.81%
2011-2012,Loudoun County ,Sully Elementary,Mathematics,60.00%
2011-2012,Montgomery County ,Gilbert Linkous Elementary,Mathematics,86.63%
2011-2012,Norfolk City ,Fairlawn Elementary,Mathematics,47.57%
2011-2012,Prince William County ,River Oaks Elementary,Mathematics,61.57%
2011-2012,Richmond City ,Amelia Street Special Education,Mathematics,44.74%
2011-2012,Scott County ,Duffield-Pattonsville Primary,Mathematics,58.59%
2011-2012,Virginia Beach City ,Princess Anne Middle,Mathematics,79.46%
2011-2012,Richmond City ,George Wythe High,Mathematics,32.28%
2011-2012,Wythe County ,George Wythe High,Mathematics,61.39%
2011-2012,Amherst County ,Temperance Elementary,Mathematics,80.43%
2011-2012,Augusta County ,Riverheads Elementary,Mathematics,59.92%
2011-2012,Chesapeake City ,Western Branch Middle,Mathematics,63.68%
2011-2012,Chesterfield County ,Clover Hill High,Mathematics,49.24%
2011-2012,Fairfax County ,Floris Elementary,Mathematics,90.22%
2011-2012,Fauquier County ,W.G. Coleman Elementary,Mathematics,84.36%
2011-2012,Henry County ,Rich Acres Elementary,Mathematics,85.07%
2011-2012,Loudoun County ,Broad Run High,Mathematics,65.59%
2011-2012,Montgomery County ,Christiansburg Elementary,Mathematics,68.52%
2011-2012,Prince William County ,Westridge Elementary,Mathematics,83.28%
2011-2012,Scott County ,Weber City Elementary,Mathematics,85.44%
2011-2012,Smyth County ,Saltville Elementary,Mathematics,67.61%
2011-2012,Wythe County ,Sheffey Elementary,Mathematics,65.65%
2011-2012,Augusta County ,Stuarts Draft High,Mathematics,69.82%
2011-2012,Chesterfield County ,Robious Elementary,Mathematics,91.50%
2011-2012,Fairfax County ,Flint Hill Elementary,Mathematics,88.86%
2011-2012,Fauquier County ,C.M. Bradley Elementary,Mathematics,70.54%
2011-2012,Loudoun County ,Emerick Elementary,Mathematics,79.25%
2011-2012,Montgomery County ,Margaret Beeks Elementary,Mathematics,79.66%
2011-2012,Nelson County ,Nelson Middle,Mathematics,72.97%
2011-2012,Prince William County ,Sharon C. McAuliffe Elementary,Mathematics,60.73%
2011-2012,Richmond City ,John Marshall High,Mathematics,27.14%
2011-2012,Smyth County ,Chilhowie Elementary,Mathematics,61.28%
2011-2012,Virginia Beach City ,Lynnhaven Middle,Mathematics,60.20%
2011-2012,Wythe County ,Jackson Memorial Elementary,Mathematics,65.49%
2011-2012,Chesterfield County ,Salem Church Middle,Mathematics,62.04%
2011-2012,Buckingham County ,Buckingham County Middle,Mathematics,75.85%
2011-2012,Augusta County ,Wilson Memorial High,Mathematics,73.35%
2011-2012,Brunswick County ,Totaro Elementary,Mathematics,64.71%
2011-2012,Campbell County ,Brookville High,Mathematics,51.51%
2011-2012,Chesapeake City ,G.A. Treakle Elementary,Mathematics,61.72%
2011-2012,Chesterfield County ,Salem Church Elementary,Mathematics,49.50%
2011-2012,Fairfax County ,Belvedere Elementary,Mathematics,67.97%
2011-2012,Fauquier County ,P.B. Smith Elementary,Mathematics,70.59%
2011-2012,Loudoun County ,Guilford Elementary,Mathematics,63.46%
2011-2012,Prince William County ,Lake Ridge Middle,Mathematics,76.90%
2011-2012,Smyth County ,Rich Valley Elementary,Mathematics,71.74%
2011-2012,Virginia Beach City ,College Park Elementary,Mathematics,61.36%
2011-2012,Augusta County ,Verona Elementary,Mathematics,68.52%
2011-2012,Campbell County ,Yellow Branch Elementary,Mathematics,76.27%
2011-2012,Chesapeake City ,Indian River Middle,Mathematics,72.65%
2011-2012,Fairfax County ,Sleepy Hollow Elementary,Mathematics,59.78%
2011-2012,Henrico County ,Shady Grove Elementary,Mathematics,92.64%
2011-2012,Loudoun County ,Catoctin Elementary,Mathematics,52.19%
2011-2012,Montgomery County ,Blacksburg Middle,Mathematics,76.65%
2011-2012,Nelson County ,Nelson County High,Mathematics,63.50%
2011-2012,Norfolk City ,Poplar Halls Elementary,Mathematics,51.97%
2011-2012,Prince William County ,C.D. Hylton High,Mathematics,54.55%
2011-2012,Richmond City ,Fairfield Court Elementary,Mathematics,73.04%
2011-2012,Russell County ,Swords Creek Elementary,Mathematics,45.38%
2011-2012,Southampton County ,Capron Elementary,Mathematics,53.85%
2011-2012,Virginia Beach City ,Newtown Elementary,Mathematics,67.82%
2011-2012,Accomack County ,Nandua Middle,Mathematics,60.04%
2011-2012,Accomack County ,Metompkin Elementary,Mathematics,67.07%
2011-2012,Accomack County ,Accawmacke Elementary,Mathematics,73.85%
2011-2012,Fauquier County ,Fauquier High,Mathematics,51.77%
2011-2012,Brunswick County ,Red Oak-Sturgeon Elementary,Mathematics,77.78%
2011-2012,Buckingham County ,Buckingham County High,Mathematics,54.63%
2011-2012,Chesapeake City ,Crestwood Intermediate,Mathematics,49.04%
2011-2012,Chesterfield County ,Reams Road Elementary,Mathematics,79.65%
2011-2012,Fairfax County ,Bucknell Elementary,Mathematics,50.43%
2011-2012,Henrico County ,Dumbarton Elementary,Mathematics,52.99%
2011-2012,Loudoun County ,Waterford Elementary,Mathematics,73.39%
2011-2012,Montgomery County ,Belview Elementary,Mathematics,62.37%
2011-2012,Patrick County ,Patrick County High,Mathematics,63.56%
2011-2012,Prince William County ,Neabsco Elementary,Mathematics,54.78%
2011-2012,Smyth County ,Marion Senior High,Mathematics,49.63%
2011-2012,Southampton County ,Southampton Middle,Mathematics,60.69%
2011-2012,Virginia Beach City ,Bayside Middle,Mathematics,46.95%
2011-2012,Brunswick County ,Meherrin Powellton Elementary,Mathematics,72.07%
2011-2012,Campbell County ,Leesville Road Elementary,Mathematics,74.56%
2011-2012,Chesterfield County ,Providence Middle,Mathematics,57.19%
2011-2012,Fairfax County ,Gunston Elementary,Mathematics,66.18%
2011-2012,Franklin County ,Glade Hill Elementary,Mathematics,78.81%
2011-2012,Henrico County ,Harry F. Byrd Middle,Mathematics,75.16%
2011-2012,Loudoun County ,Sterling Elementary,Mathematics,57.56%
2011-2012,Prince William County ,Gar-Field High,Mathematics,37.62%
2011-2012,Southampton County ,Southampton High,Mathematics,54.61%
2011-2012,Virginia Beach City ,Kempsville Middle,Mathematics,73.61%
2011-2012,Norfolk City ,Little Creek Elementary,Mathematics,56.99%
2011-2012,Augusta County ,Riverheads High,Mathematics,71.84%
2011-2012,Fairfax County ,Bush Hill Elementary,Mathematics,66.24%
2011-2012,Henrico County ,Elizabeth Holladay Elementary,Mathematics,67.31%
2011-2012,Loudoun County ,Loudoun Valley High,Mathematics,71.76%
2011-2012,Patrick County ,Patrick Springs Elementary,Mathematics,52.63%
2011-2012,Prince William County ,Stonewall Jackson High,Mathematics,37.29%
2011-2012,Shenandoah County ,Stonewall Jackson High,Mathematics,66.78%
2011-2012,Smyth County ,Marion Middle,Mathematics,62.57%
2011-2012,Virginia Beach City ,Point O' View Elementary,Mathematics,50.43%
2011-2012,Fairfax County ,Jackson Middle,Mathematics,82.52%
2011-2012,Montgomery County ,Christiansburg Middle,Mathematics,63.10%
2011-2012,Amherst County ,Amherst Middle,Mathematics,64.37%
2011-2012,Augusta County ,Fort Defiance High,Mathematics,60.00%
2011-2012,Chesterfield County ,Falling Creek Middle,Mathematics,54.49%
2011-2012,Fauquier County ,W.C. Taylor Middle,Mathematics,70.08%
2011-2012,Henrico County ,Hermitage High,Mathematics,38.97%
2011-2012,Norfolk City ,Larrymore Elementary,Mathematics,67.08%
2011-2012,Prince William County ,Bel Air Elementary,Mathematics,63.08%
2011-2012,Virginia Beach City ,Windsor Oaks Elementary,Mathematics,56.57%
2011-2012,Henry County ,John Redd Smith Elementary,Mathematics,58.86%
2011-2012,Augusta County ,Buffalo Gap High,Mathematics,56.12%
2011-2012,Brunswick County ,James S. Russell Middle,Mathematics,53.30%
2011-2012,Chesapeake City ,Deep Creek Central Elementary,Mathematics,69.59%
2011-2012,Chesterfield County ,Bellwood Elementary,Mathematics,83.51%
2011-2012,Fairfax County ,Annandale High,Mathematics,61.49%
2011-2012,Fauquier County ,Warrenton Middle,Mathematics,68.05%
2011-2012,Floyd County ,Floyd County High,Mathematics,54.48%
2011-2012,Franklin County ,Lee M. Waid Elementary,Mathematics,74.48%
2011-2012,Henrico County ,Jacob L. Adams Elementary,Mathematics,78.16%
2011-2012,Loudoun County ,Loudoun County High,Mathematics,68.18%
2011-2012,Louisa County ,Jouett Elementary,Mathematics,58.15%
2011-2012,Prince William County ,Coles Elementary,Mathematics,71.72%
2011-2012,Richmond City ,Westover Hills Elementary,Mathematics,45.19%
2011-2012,Virginia Beach City ,Pembroke Meadows Elementary,Mathematics,63.21%
2011-2012,Wise County ,Coeburn Primary,Mathematics,83.42%
2011-2012,Wise County ,Eastside High,Mathematics,64.26%
2011-2012,Wise County ,Coeburn Middle,Mathematics,79.53%
2011-2012,Brunswick County ,Brunswick High,Mathematics,29.34%
2011-2012,Campbell County ,Brookneal Elementary,Mathematics,60.70%
2011-2012,Chesterfield County ,J.B. Watkins Elementary,Mathematics,79.80%
2011-2012,Fairfax County ,Woodburn Elementary,Mathematics,74.16%
2011-2012,Floyd County ,Indian Valley Elementary,Mathematics,74.59%
2011-2012,Hampton City ,George P. Phenix Elementary,Mathematics,74.84%
2011-2012,Henrico County ,Ruby F. Carver Elementary,Mathematics,66.54%
2011-2012,Loudoun County ,Banneker Elementary,Mathematics,64.71%
2011-2012,Montgomery County ,Auburn High,Mathematics,37.63%
2011-2012,Norfolk City ,Sherwood Forest Elementary,Mathematics,51.97%
2011-2012,Portsmouth City ,Churchland Elementary,Mathematics,71.61%
2011-2012,Richmond City ,Woodville Elementary,Mathematics,55.21%
2011-2012,Roanoke County ,Glen Cove Elementary,Mathematics,79.15%
2011-2012,Waynesboro City ,Berkeley Glenn Elementary,Mathematics,80.26%
2011-2012,Louisa County ,Trevilians Elementary,Mathematics,57.28%
2011-2012,Scott County ,Shoemaker Elementary,Mathematics,67.80%
2011-2012,Augusta County ,Wilson Elementary,Mathematics,76.65%
2011-2012,Bedford County ,Stewartsville Elementary,Mathematics,43.48%
2011-2012,Chesapeake City ,Edwin W. Chittum Elementary,Mathematics,78.30%
2011-2012,Hampton City ,Hunter B. Andrews,Mathematics,47.99%
2011-2012,Henrico County ,Highland Springs Elementary,Mathematics,60.68%
2011-2012,Pittsylvania County ,Chatham Elementary,Mathematics,57.04%
2011-2012,Prince William County ,Mills E. Godwin Middle,Mathematics,69.79%
2011-2012,Virginia Beach City ,Plaza Middle,Mathematics,59.58%
2011-2012,Waynesboro City ,Kate Collins Middle,Mathematics,59.33%
2011-2012,Chesterfield County ,Manchester High,Mathematics,45.22%
2011-2012,Chesterfield County ,Bailey Bridge Middle,Mathematics,72.40%
2011-2012,Caroline County ,Madison Elementary,Mathematics,62.05%
2011-2012,Fairfax County ,Garfield Elementary,Mathematics,68.65%
2011-2012,Henrico County ,R.C. Longan Elementary,Mathematics,70.04%
2011-2012,Lee County ,Flatwoods Elementary,Mathematics,55.03%
2011-2012,Norfolk City ,Oceanair Elementary,Mathematics,58.49%
2011-2012,Prince William County ,George G. Tyler Elementary,Mathematics,70.81%
2011-2012,Roanoke County ,William Byrd High,Mathematics,50.11%
2011-2012,Virginia Beach City ,Brookwood Elementary,Mathematics,70.72%
2011-2012,Waynesboro City ,Westwood Hills Elementary,Mathematics,82.65%
2011-2012,Arlington County ,Claremont Immersion,Mathematics,78.61%
2011-2012,Richmond City ,Franklin Military Academy,Mathematics,47.02%
2011-2012,Caroline County ,Bowling Green Elementary,Mathematics,69.16%
2011-2012,Chesapeake City ,Southeastern Elementary,Mathematics,82.89%
2011-2012,Chesterfield County ,A.M. Davis Elementary,Mathematics,63.97%
2011-2012,Fairfax County ,Cameron Elementary,Mathematics,68.55%
2011-2012,Henrico County ,Jackson Davis Elementary,Mathematics,82.65%
2011-2012,Norfolk City ,Norview Elementary,Mathematics,49.51%
2011-2012,Prince William County ,C.A. Sinclair Elementary,Mathematics,71.80%
2011-2012,Roanoke County ,Cave Spring Middle,Mathematics,88.92%
2011-2012,Virginia Beach City ,Kempsville High,Mathematics,42.34%
2011-2012,Washington County ,Wallace Middle,Mathematics,57.44%
2011-2012,Arlington County ,Campbell Elementary,Mathematics,67.81%
2011-2012,Arlington County ,Hoffman-Boston Elementary,Mathematics,62.83%
2011-2012,Arlington County ,Arlington Science Focus School,Mathematics,88.89%
2011-2012,Arlington County ,Gunston Middle,Mathematics,66.30%
2011-2012,Bedford County ,New London Academy Elementary,Mathematics,44.44%
2011-2012,Chesapeake City ,Deep Creek Middle,Mathematics,63.98%
2011-2012,Chesterfield County ,Thomas Dale High,Mathematics,50.88%
2011-2012,Henrico County ,Henrico High,Mathematics,49.26%
2011-2012,Loudoun County ,Arcola Elementary,Mathematics,76.09%
2011-2012,Norfolk City ,Ingleside Elementary,Mathematics,54.72%
2011-2012,Prince William County ,Dale City Elementary,Mathematics,65.55%
2011-2012,Roanoke County ,Glenvar High,Mathematics,75.96%
2011-2012,Virginia Beach City ,First Colonial High,Mathematics,61.90%
2011-2012,Louisa County ,Louisa County High,Mathematics,66.52%
2011-2012,Louisa County ,Louisa County Middle,Mathematics,61.89%
2011-2012,Accomack County ,Kegotank Elementary,Mathematics,65.61%
2011-2012,Chesapeake City ,Southwestern Elementary,Mathematics,54.58%
2011-2012,Chesterfield County ,Manchester Middle,Mathematics,68.76%
2011-2012,Henrico County ,John Randolph Tucker High,Mathematics,53.87%
2011-2012,Loudoun County ,Kenneth W.Culbert Elementary,Mathematics,80.31%
2011-2012,Montgomery County ,Falling Branch Elementary,Mathematics,64.80%
2011-2012,Prince William County ,Belmont Elementary,Mathematics,73.74%
2011-2012,Roanoke County ,Green Valley Elementary,Mathematics,82.80%
2011-2012,Rockingham County ,McGaheysville Elementary,Mathematics,79.31%
2011-2012,Suffolk City ,Southwestern Elementary,Mathematics,65.82%
2011-2012,Virginia Beach City ,Holland Elementary,Mathematics,66.93%
2011-2012,Waynesboro City ,Waynesboro High,Mathematics,38.26%
2011-2012,Prince William County ,Rippon Middle,Mathematics,68.77%
2011-2012,Accomack County ,Pungoteague Elementary,Mathematics,56.02%
2011-2012,Chesapeake City ,Great Bridge Middle,Mathematics,80.60%
2011-2012,Chesterfield County ,Falling Creek Elementary,Mathematics,65.85%
2011-2012,Fairfax County ,Woodley Hills Elementary,Mathematics,65.15%
2011-2012,Frederick County ,Greenwood Mill Elementary,Mathematics,58.56%
2011-2012,Henrico County ,Chamberlayne Elementary,Mathematics,73.78%
2011-2012,Henry County ,Campbell Court Elementary,Mathematics,62.50%
2011-2012,Loudoun County ,Woodgrove High,Mathematics,65.68%
2011-2012,Virginia Beach City ,Alanton Elementary,Mathematics,79.38%
2011-2012,Frederick County ,Evendale Elementary,Mathematics,56.42%
2011-2012,Frederick County ,Admiral Richard E. Byrd Middle,Mathematics,66.59%
2011-2012,Frederick County ,Millbrook High,Mathematics,56.60%
2011-2012,Frederick County ,Orchard View Elementary,Mathematics,62.56%
2011-2012,Frederick County ,Redbud Run Elementary,Mathematics,60.20%
2011-2012,Culpeper County ,Floyd T. Binns Middle,Mathematics,72.80%
2011-2012,Frederick County ,Sherando High,Mathematics,59.56%
2011-2012,Accomack County ,Chincoteague High,Mathematics,70.90%
2011-2012,Chesterfield County ,Meadowbrook High,Mathematics,38.02%
2011-2012,Fairfax County ,Westlawn Elementary,Mathematics,69.39%
2011-2012,Henrico County ,Varina High,Mathematics,30.41%
2011-2012,Loudoun County ,J. Michael Lunsford Middle,Mathematics,70.88%
2011-2012,Norfolk City ,Norview High,Mathematics,62.69%
2011-2012,Prince William County ,Elizabeth Vaughan Elementary,Mathematics,55.74%
2011-2012,Richmond City ,Mary Munford Elementary,Mathematics,80.50%
2011-2012,Russell County ,Belfast Elk Garden Elementary,Mathematics,77.78%
2011-2012,Salem City ,South Salem Elementary,Mathematics,82.33%
2011-2012,Virginia Beach City ,Kingston Elementary,Mathematics,82.31%
2011-2012,Waynesboro City ,Wenonah Elementary,Mathematics,39.02%
2011-2012,Fairfax County ,Great Falls Elementary,Mathematics,92.42%
2011-2012,Henrico County ,Pinchbeck Elementary,Mathematics,76.08%
2011-2012,Loudoun County ,Stone Hill Middle,Mathematics,83.06%
2011-2012,Norfolk City ,Norview Middle,Mathematics,48.31%
2011-2012,Prince William County ,Marumsco Hills Elementary,Mathematics,60.83%
2011-2012,Virginia Beach City ,Old Donation Center,Mathematics,97.87%
2011-2012,Franklin City ,Joseph P. King Jr. Middle,Mathematics,42.34%
2011-2012,Campbell County ,Altavista Elementary,Mathematics,67.86%
2011-2012,Chesapeake City ,Crestwood Middle,Mathematics,73.65%
2011-2012,Chesterfield County ,Crestwood Elementary,Mathematics,71.76%
2011-2012,Fairfax County ,Belle View Elementary,Mathematics,70.98%
2011-2012,Fairfax County ,Crestwood Elementary,Mathematics,53.47%
2011-2012,Loudoun County ,Liberty Elementary,Mathematics,83.23%
2011-2012,Prince William County ,Woodbridge Middle,Mathematics,80.57%
2011-2012,Roanoke County ,Cave Spring Elementary,Mathematics,81.33%
2011-2012,Virginia Beach City ,Windsor Woods Elementary,Mathematics,50.98%
2011-2012,Hanover County ,Hanover High,Mathematics,71.85%
2011-2012,Hanover County ,Oak Knoll Middle,Mathematics,85.07%
2011-2012,Hanover County ,Pole Green Elementary,Mathematics,89.44%
2011-2012,Hanover County ,Cool Spring Elementary,Mathematics,85.64%
2011-2012,Loudoun County ,Cool Spring Elementary,Mathematics,65.91%
2011-2012,Chesterfield County ,J.A. Chalkley Elementary,Mathematics,68.60%
