DISTRICT,ADDRESS,SCHOOL,URL,SCHOOLID,TYPE,Marker_Type,Grade in 2013,POINTTOT,POINTELEMpass,POINTELEMalt,POINTMIDDpass,POINTMIDDalt,POINTHIGH
RICHLAND 1,"Arden Elementary, 1300 Ashley Street, Columbia, SC, 29203",ARDEN ELEMENTARY,http://arden.richlandone.org/,4001020,ELEM,small_green,A,90.1,90.1,,,,
PICKENS,"A. R. Lewis Elementary, 1755 Shady Grove Road, Pickens, SC, 29671",A R LEWIS ELEMENTARY,http://arl.pickens.k12.sc.us/,3901021,ELEM,small_green,A,95.2,95.2,,,,
DORCHESTER 2,"Ashley Ridge High, 9800 Delemar Highway, Summerville, SC, 29485",ASHLEY RIDGE HIGH,http://ashleyridge.schoolfusion.us/,1802027,HIGH,measle_turquoise,C,79.8,,,,,79.8
CHARLESTON,"Ashley River Creative Arts, 1871 Wallace School Road, Charleston, SC, 29407",ASHLEY RIVER CREATIVE ARTS,http://ashleyriver.ccsdschools.com/,1001091,ELEM,small_green,A,99.2,99.2,,,,
BAMBERG 1,"Bamberg-Ehrhardt High, 267 Red Raider Drive, Bamberg, SC, 29003",BAMBERG-EHRHARDT HIGH,http://bamberg1.com/behs,501001,HIGH,small_green,A,90.3,,,,,90.3
BAMBERG 1,"Bamberg-Ehrhardt Middle, 897 North Street, Bamberg, SC, 29003",BAMBERG-EHRHARDT MIDDLE,http://bamberg1.com/bems,501002,MIDD,small_green,A,100,,,100,,
CHARLESTON,"Baptist Hill High, 5117 Baptist Hill Road, Hollywood, SC, 29449",BAPTIST HILL HIGH,http://baptisthill.ccsdschools.com/,1001001,COMBO,small_red,F,47.6,,,36.2,,71
ORANGEBURG 5,"Bethune-Bowman Elementary, 4857 Charleston Highway, Roweville, SC, 29133",BETHUNE-BOWMAN ELEMENTARY,http://bbes.ocsd5schools.org/,3805012,ELEM,small_green,A,96,96,,,,
ORANGEBURG 5,"Bethune-Bowman Middle-High, 4857 Charleston Highway, Rowesville, SC, 29133",BETHUNE-BOWMAN MIDDLE HIGH,http://bbmhs.ocsd5schools.org/,3805010,COMBO,small_yellow,B,87.4,,,87.4,,
BEAUFORT,"Battery Creek High, 1 Blue Dolphin Road, Beaufort, SC, 29906",BATTERY CREEK HIGH,http://bch.beaufort.k12.sc.us/,701004,HIGH,measle_turquoise,C,75.9,,,,,75.9
