DISTRICT,ADDRESS,SCHOOL,URL,SCHOOLID,TYPE,Marker_Type,Grade in 2013,POINTTOT,POINTELEMpass,POINTELEMalt,POINTMIDDpass,POINTMIDDalt,POINTHIGH
CHARLESTON,"James B. Edwards Elementary, 885 Von Kolnitz Road, Mt. Pleasant, SC, 29464",JAMES B EDWARDS ELEMENTARY,http://jbedwards.ccsdschools.com/,1001093,ELEM,small_yellow,B,84.9,84.9,,,,
AIKEN,"J. D. Lever Elementary, 2404 Columbia Highway, Aiken, SC, 29801",J D LEVER ELEMENTARY,http://jdleverel.acps.schoolfusion.us/,201022,ELEM,measle_turquoise,C,75.4,75.4,,,,
AIKEN,"Jefferson Elementary, 170 Flint Drive, Warrenville, SC, 29851",JEFFERSON ELEMENTARY,http://jeffersonel.acps.schoolfusion.us/,201005,ELEM,measle_turquoise,C,77.1,77.1,,,,
CHARLESTON,"Jennie Moore Elementary, 1256 Hamlin Road, Mt. Pleasant, SC, 29466",JENNIE MOORE ELEMENTARY,http://jenniemoore.ccsdschools.com/,1001061,ELEM,small_green,A,98.8,98.8,,,,
KERSHAW,"Jackson School, 1730 Jefferson Davis Highway, Camden, SC, 29020",JACKSON SCHOOL,http://jes.kcsdschools.com/,2801013,ELEM,measle_turquoise,C,77.1,77.1,,,,
CHARLESTON,"James Island Charter High, 1000 Fort Johnson Road, Charleston, SC, 29412",JAMES ISLAND CHARTER HIGH,http://jichs.ccsdschools.com/,1001616,HIGH,small_yellow,B,89.6,,,,,89.6
CHARLESTON,"James Island Elementary, 1872 Grimball Road, Charleston, SC, 29412",JAMES ISLAND ELEMENTARY,http://jies.ccsdschools.com/,1001107,ELEM,small_yellow,B,83.4,83.4,,,,
CHARLESTON,"James Island Middle, 1484 Camp Road, Charleston, SC, 29412",JAMES ISLAND MIDDLE,http://jims.ccsdschools.com/,1001047,MIDD,small_yellow,B,87.2,,,87.2,,
RICHLAND 1,"C. A. Johnson High, 2219 Barhamville Road, Columbia, SC, 29204",C A JOHNSON HIGH,http://johnson.richlandone.org/,4001011,HIGH,small_red,F,39.1,,,,,39.1
RICHLAND 1,"J. P. Thomas Elementary, 6001 Weston Avenue, Columbia, SC, 29203",JOHN P THOMAS ELEMENTARY,http://jpthomas.richlandone.org/,4001062,ELEM,small_red,F,49.8,49.8,,,,
SPARTANBURG 6,"Jesse S. Bobo Elementary, 495 Powell Mill Road, Spartanburg, SC, 29301",JESSE S BOBO ELEMENTARY,http://jsb.spartanburg6.k12.sc.us/,4206065,ELEM,small_red,F,40.6,40.6,,,,
SUMTER 1,"Kingsbury  Elementary, 825 Kingsbury Road, Sumter, SC, 29154",KINGSBURY ELEMENTARY,http://kbe.sumterschools.net/,4301041,ELEM,small_yellow,B,80.4,80.4,,,,
HORRY,"Kingston Elementary, 4580 Highway 472, Conway, SC, 29526",KINGSTON ELEMENTARY,http://ke.horrycountyschools.net/,2601028,ELEM,small_yellow,B,84.5,84.5,,,,
RICHLAND 1,"W.J. Keenan High, 361 Pisgah Church Road, Columbia, SC, 29203",W J KEENAN HIGH,http://keenan.richlandone.org/,4001012,HIGH,measle_turquoise,C,77.5,,,,,77.5
AIKEN,"M. B. Kennedy Middle, 274 East Pine Log Road, Aiken, SC, 29803",MINNIE B KENNEDY MIDDLE,http://kennedym.acps.schoolfusion.us/,201017,MIDD,small_yellow,B,88.4,,,88.4,,
LANCASTER,"Kershaw Elementary, 108 North Rollins Drive, Kershaw, SC, 29067",KERSHAW ELEMENTARY,http://kes.lancasterscschools.org/home,2901023,ELEM,small_red,F,59,59,,,,
FAIRFIELD,"Kelly Miller Elementary, 255 Kelly Miller Road, Winnsboro, SC, 29180",KELLY MILLER ELEMENTARY,http://kme.fairfield.k12.sc.us/home.aspx,2001008,COMBO,measle_turquoise,C,72.7,64.2,,95,,
CHARLESTON,"Ladson Elementary, 3321 Ladson Road, Ladson, SC, 29456",LADSON ELEMENTARY,http://ladson.ccsdschools.com/ ,1001050,ELEM,small_purple,D,69.9,69.9,,,,
CHARLESTON,"Laing Middle, 1560 Mathis Ferry Road, Mt. Pleasant, SC, 29464",LAING MIDDLE,http://laing.ccsdschools.com/ ,1001051,MIDD,small_green,A,98.5,,,98.5,,
CHARLESTON,"Lambs Elementary, 6800 Dorchester Road, North Charleston, SC, 29418",LAMBS ELEMENTARY,http://lambs.ccsdschools.com/ ,1001052,ELEM,small_red,F,53.7,53.7,,,,
AIKEN,"Langley-Bath-Clearwater Middle, 29 Lions Trail, Warrenville, SC, 29851",LANGLEY-BATH-CLEARWATER MIDDLE,http://lbcm.acps.schoolfusion.us/,201008,MIDD,small_red,F,55.8,,,55.8,,
HORRY,"Loris Elementary, 901 Highway 9 Business East, Loris, SC, 29569",LORIS ELEMENTARY,http://le.horrycountyschools.net/,2601032,ELEM,small_green,A,95.1,95.1,,,,
LEE,"Bishopville Primary, 603 N. Dennis Avenue, Bishopville, SC, 29010",BISHOPVILLE PRIMARY,http://leebps.sharpschool.net/,3101007,ELEM,small_red,F,23.7,23.7,,,,
LEE,"Lee Central High, 1800 Wisacky Highway, Bishopville, SC, 29010",LEE CENTRAL HIGH,http://leelchs.sharpschool.net/,3101013,HIGH,small_red,F,45.7,,,,,45.7
LEE,"Lee Central Middle, 41 Charlene Lane, Bishopville, SC, 29010",LEE CENTRAL MIDDLE,http://leelcms.sharpschool.net/,3101015,COMBO,small_red,F,40.6,50,,39.1,,
LEE,"Lower Lee Elementary, 5142 St. Charles Road, Mayesville, SC, 29104",LOWER LEE ELEMENTARY,http://leelle.sharpschool.net/,3101011,ELEM,small_red,F,23.5,23.5,,,,
LEE,"West Lee Elementary, 55 West Lee School Road, Rembert, SC, 29128",WEST LEE ELEMENTARY,http://leewle.sharpschool.net/,3101012,ELEM,small_purple,D,64.5,64.5,,,,
SPARTANBURG 6,"L. E. Gable Middle, 198 Ott Shoals Road, Roebuck, SC, 29376",L E GABLE MIDDLE,http://leg.spartanburg6.k12.sc.us/,4206056,MIDD,small_yellow,B,85.1,,,85.1,,
ANDERSON 4,"La France Elementary, 550 Willliams Street, Pendleton, SC, 29670",LA FRANCE ELEMENTARY,http://les.anderson4.org,404031,COMBO,small_green,A,94.8,98.1,,87,,
KERSHAW,"Lugoff Elementary, 994 Ridgeway Road, Lugoff, SC, 29078",LUGOFF ELEMENTARY,http://les.kcsdschools.com/,2801018,ELEM,small_green,A,97.5,97.5,,,,
LEXINGTON 1,"Lexington Elementary, 116 Azalea Drive, Lexington, SC, 29072",LEXINGTON ELEMENTARY,http://les.lexington1.net:8012/,3201007,ELEM,small_yellow,B,86.2,86.2,,,,
PICKENS,"Liberty Elementary, 251 North Hillcrest Street, Liberty, SC, 29657",LIBERTY ELEMENTARY,http://les.pickens.k12.sc.us/,3901022,ELEM,small_yellow,B,86.2,86.2,,,,
DILLON 3,"Latta Elementary, 122 Latimer Street, Latta, SC, 29565",LATTA ELEMENTARY,http://les2.mybigcampus.net/,1703022,ELEM,measle_turquoise,C,78.9,78.9,,,,
HORRY,"Loris High, 301 Loris Lions Road, Loris, SC, 29569",LORIS HIGH,http://lh.horrycountyschools.net/,2601008,HIGH,small_green,A,92.7,,,,,92.7
DARLINGTON,"Lamar High, 215 North Darlington Avenue, Lamar, SC, 29069",LAMAR HIGH,http://lhs.dcsdschools.org/,1601006,HIGH,small_yellow,B,84.1,,,,,84.1
KERSHAW,"Lugoff-Elgin High, 1284 Highway 1 South, Lugoff, SC, 29078",LUGOFF-ELGIN HIGH,http://lhs.kcsdschools.com/,2801007,HIGH,small_green,A,90.5,,,,,90.5
LANCASTER,"Lancaster High, 617 Normandy Road, Lancaster, SC, 29720",LANCASTER HIGH,http://lhs.lancasterscschools.org/home,2901008,HIGH,small_red,F,51.3,,,,,51.3
LEXINGTON 1,"Lexington High, 2463 Augusta Highway, Lexington, SC, 29072",LEXINGTON HIGH,http://lhs.lexington1.net:8011/,3201003,HIGH,small_yellow,B,87.2,,,,,87.2
PICKENS,"Liberty High, 124 Red Devil Drive, Liberty, SC, 29657",LIBERTY HIGH,http://lhs.pickens.k12.sc.us/,3901006,HIGH,small_green,A,91.3,,,,,91.3
SUMTER 1,"Lakewood High, 350 Old Manning Road, Sumter, SC, 29150",LAKEWOOD HIGH,http://lhs.sumterschools.net/,4301043,HIGH,small_red,F,55.9,,,,,55.9
DILLON 3,"Latta High, 618 North Richardson Street, Latta, SC, 29565",LATTA HIGH,http://lhs6.mybigcampus.net/,1703019,HIGH,measle_turquoise,C,78.5,,,,,78.5
BEAUFORT,"Lady's Island Elementary, 73 Chowan Creek Bluff, Beaufort, SC, 29907",LADYS ISLAND ELEMENTARY,http://lie.beaufort.k12.sc.us/,701014,ELEM,small_yellow,B,87.2,87.2,,,,
BEAUFORT,"Lady's Island Middle, 30 Cougar Drive, Beaufort, SC, 29907",LADYS ISLAND MIDDLE,http://lim.beaufort.k12.sc.us/,701001,COMBO,measle_turquoise,C,76.8,87.1,,74.2,,
CHARLESTON,"Lincoln High, 714 Lincoln Road, McClellanville, SC, 29458",LINCOLN HIGH,http://lincoln.ccsdschools.com/,1001011,COMBO,small_green,A,93.2,,,93.2,,
NEWBERRY,"Little Mountain Elementary, 692 Mill Street, Little Mountain, SC, 29075",LITTLE MOUNTAIN ELEMENTARY,http://littlemountainelem.sc.nce.schoolinsites.com/,3601010,ELEM,small_green,A,99.9,99.9,,,,
HORRY,"Lakewood Elementary, 1675 Highway 396, Myrtle Beach, SC, 29575",LAKEWOOD ELEMENTARY,http://lke.horrycountyschools.net/,2601029,ELEM,small_green,A,93.6,93.6,,,,
HORRY,"Loris Middle, 5209 Highway 66, Loris, SC, 29569",LORIS MIDDLE,http://lm.horrycountyschools.net/,2601027,MIDD,small_yellow,B,83,,,83,,
SUMTER 1,"Lemira Elementary, 952 Fulton Street, Sumter, SC, 29150",LEMIRA ELEMENTARY,http://lme.sumterschools.net/,4301031,ELEM,small_purple,D,66.7,66.7,,,,
LEXINGTON 1,"Lake Murray Elementary, 205 Wise Ferry Road, Lexington, SC, 29072",LAKE MURRAY ELEMENTARY,http://lmes.lexington1.net:8031/,3201056,ELEM,small_green,A,99,99,,,,
AIKEN,"Leavelle McCampbell Middle, 82 Canal Street, Graniteville, SC, 29829",LEAVELLE-MCCAMPBELL MIDDLE,http://lmms.acps.schoolfusion.us/,201009,MIDD,small_purple,D,68.3,,,68.3,,
KERSHAW,"Lugoff-Elgin Middle, 1244 Highway 1 South, Lugoff, SC, 29078",LUGOFF-ELGIN MIDDLE,http://lms.kcsdschools.com/,2801016,MIDD,small_yellow,B,85.8,,,85.8,,
LEXINGTON 1,"Lexington Middle, 702 North Lake Drive, Lexington, SC, 29072",LEXINGTON MIDDLE,http://lms.lexington1.net:8020/,3201010,MIDD,small_green,A,90.9,,,90.9,,
PICKENS,"Liberty Middle, 125 Falcon Lane, Liberty, SC, 29657",LIBERTY MIDDLE,http://lms.pickens.k12.sc.us/,3901030,MIDD,small_yellow,B,86.2,,,86.2,,
DILLON 3,"Latta Middle, 612 North Richardson Street, Latta, SC, 29565",LATTA MIDDLE,http://lms4.mybigcampus.net/,1703021,MIDD,measle_turquoise,C,75.6,,,75.6,,
SPARTANBURG 6,"Lone Oak Elementary, 7314 Lone Oak Road, Spartanburg, SC, 29303",LONE OAK ELEMENTARY,http://loe.spartanburg6.k12.sc.us/,4206061,ELEM,small_yellow,B,80.9,80.9,,,,
RICHLAND 1,"Logan Elementary, 815 Elmwood Avenue, Columbia, SC, 29201",LOGAN ELEMENTARY,http://logan.richlandone.org/,4001045,ELEM,small_yellow,B,87,87,,,,
RICHLAND 1,"Lower Richland High, 2615 Lower Richland Boulevard, Hopkins, SC, 29061",LOWER RICHLAND HIGH,http://lr.richlandone.org/,4001013,HIGH,small_red,F,23.6,,,,,23.6
YORK 3,"Lesslie Elementary, 250 Neely Store Road, Rock Hill, SC, 29730",LESSLIE ELEMENTARY,http://ls.rock-hill.k12.sc.us/,4603027,ELEM,measle_turquoise,C,75.8,75.8,,,,
ORANGEBURG 5,"Marshall Elementary, 1441 Marshall Street, Orangeburg, SC, 29118",MARSHALL ELEMENTARY,http://mares.ocsd5schools.org/,3805034,ELEM,measle_turquoise,C,70.8,70.8,,,,
MARION 10,"Britton's Neck Elementary, 223 Gresham Road, Gresham, SC, 29546",BRITTONS NECK ELEMENTARY,http://marionsd7.sc.schoolwebpages.com/education/school/school.php?sectionid=3,3410023,ELEM,small_yellow,B,81.6,81.6,,,,
MARION 10,"Creek Bridge High, 6641 South Highway 41, Marion, SC, 29571",CREEK BRIDGE HIGH,http://marionsd7.sc.schoolwebpages.com/education/school/school.php?sectionid=5,3410024,COMBO,small_red,F,47.4,,,48.9,,42.8
CHARLESTON,"Mary Ford Elementary, 3180 Thomasina McPerson Boulevard, North Charleston, SC, 29405",MARY FORD ELEMENTARY,http://maryford.ccsdschools.com/,1001040,ELEM,measle_turquoise,C,74.4,74.4,,,,
SPARTANBURG 7,"Mary H. Wright Elementary, 457 South Church Street, Spartanburg, SC, 29306",MARY H WRIGHT ELEMENTARY,http://marywright.spartanburg7.org/,4207085,ELEM,small_red,F,49.8,49.8,,,,
HORRY,"Myrtle Beach Elementary, 620 29th Avenue North, Myrtle Beach, SC, 29577",MYRTLE BEACH ELEMENTARY,http://mbe.horrycountyschools.net/,2601034,ELEM,small_yellow,B,83.8,83.8,,,,
HORRY,"Myrtle Beach High, 3302 Robert Grissom Parkway, Myrtle Beach, SC, 29577",MYRTLE BEACH HIGH,http://mbh.horrycountyschools.net/,2601010,HIGH,small_yellow,B,84,,,,,84
HORRY,"Myrtle Beach Intermediate, 3301 Oak Street, Myrtle Beach, SC, 29577",MYRTLE BEACH INTERMEDIATE,http://mbi.horrycountyschools.net/,2601053,ELEM,small_yellow,B,86.3,86.3,,,,
HORRY,"Myrtle Beach Middle, 950 Seahawk Way, Myrtle Beach, SC, 29577",MYRTLE BEACH MIDDLE,http://mbm.horrycountyschools.net/,2601016,MIDD,measle_turquoise,C,79.2,,,79.2,,
SPARTANBURG 7,"McCracken Middle, 300 Webber Road, Spartanburg, SC, 29307",J G MCCRACKEN MIDDLE,http://mccracken.spartanburg7.org/,4207071,MIDD,small_yellow,B,82.5,,,82.5,,
BEAUFORT,"Michael C. Riley Elementary, 200 Burnt Church Road, Bluffton, SC, 29910",MICHAEL C. RILEY ELEMENTARY,http://mcr.beaufort.k12.sc.us/,701017,ELEM,small_yellow,B,88.1,88.1,,,,
MARLBORO,"Bennettsville Intermediate, 701 Cheraw Street, Bennettsville, SC, 29512",BENNETTSVILLE INTERMEDIATE,http://mcsdbennetelementary.sharpschool.net/,3501029,COMBO,small_red,F,27.2,30,,20,,
MARLBORO,"Blenheim Elementary-Middle, 143 Highland Street, Blenheim, SC, 29516",BLENHEIM ELEMENTARY/MIDDLE,http://mcsdblenheimmiddle.sharpschool.net/,3501027,COMBO,small_red,F,27.3,23.6,,28.3,,
MARLBORO,"Clio Elementary-Middle, 2635 Highway 9 East, Clio, SC, 29525",CLIO ELEMENTARY/MIDDLE,http://mcsdclioelementary.sharpschool.net/,3501023,COMBO,small_red,F,38.8,66.7,,20,,
MARLBORO,"Marlboro School of Discovery, 201 Jefferson Street, Clio, SC, 29525",MARLBORO COUNTY SCHOOL OF DISCOV,http://mcsdmarlborodiscovery.sharpschool.net/,3501028,MIDD,small_green,A,94.3,,,94.3,,
MARLBORO,"Marlboro County High, 951 Fayetteville Avenue Extension, Bennettsville, SC, 29512",MARLBORO COUNTY HIGH,http://mcsdmarlborohigh.sharpschool.net/,3501026,HIGH,small_red,F,38.2,,,,,38.2
MARLBORO,"McColl Elementary-Middle, 700-B North Main Street, McColl, SC, 29570",MCCOLL ELEMENTARY/MIDDLE,http://mcsdmcollelementary.sharpschool.net/,3501020,COMBO,small_red,F,55.8,75.4,,36.3,,
MARLBORO,"Wallace Elementary-Middle, 3643 Highway 9 West, Wallace, SC, 29596",WALLACE ELEMENTARY/MIDDLE,http://mcsdwallace.sharpschool.net/,3501025,COMBO,measle_turquoise,C,71.4,88.2,,56.3,,
KERSHAW,"Midway Elementary, 1892 Highway 1 North, Cassatt, SC, 29032",MIDWAY ELEMENTARY,http://mdw.kcsdschools.com/,2801019,ELEM,small_green,A,97.7,97.7,,,,
HORRY,"Midland Elementary, 3011 Nichols Highway, Galivants Ferry, SC, 29544",MIDLAND ELEMENTARY,http://me.horrycountyschools.net/,2601033,ELEM,small_green,A,97,97,,,,
RICHLAND 1,"Meadowfield Elementary, 525 Galway Lane, Columbia, SC, 29209",MEADOWFIELD ELEMENTARY,http://meadowfield.richlandone.org/,4001046,ELEM,small_yellow,B,80.6,80.6,,,,
ORANGEBURG 5,"Mellichamp Elementary, 350 Murray Road, Orangeburg, SC, 29115",MELLICHAMP ELEMENTARY,http://meles.ocsd5schools.org/,3805035,ELEM,small_green,A,94.5,94.5,,,,
CHARLESTON,"Memminger Elementary, 20 Beaufain Street, Charleston, SC, 29401",MEMMINGER ELEMENTARY,http://memminger.ccsdschools.com/,1001057,COMBO,small_red,F,46.8,56.6,,20,,
BARNWELL 19,"Macedonia Elementary, 556 Jones Bridge Road, Blackville, SC, 29817",MACEDONIA ELEMENTARY,http://mes.barnwell19.k12.sc.us,619003,COMBO,small_red,F,43.4,38.1,,59.4,,
CLARENDON 2,"Manning Elementary, 311 West Boyce Street, Manning, SC, 29102",MANNING ELEMENTARY,http://mes.clarendon2.k12.sc.us/home.aspx,1402013,COMBO,small_yellow,B,84.6,87.5,,79.3,,
LEXINGTON 1,"Midway Elementary, 180 Midway Road, Lexington, SC, 29072",MIDWAY ELEMENTARY,http://mes.lexington1.net:8028/,3201055,ELEM,small_green,A,99.9,99.9,,,,
SUMTER 1,"Manchester Elementary, 200 East Clark Street, Pinewood, SC, 29125",MANCHESTER ELEMENTARY,http://mes.sumterschools.net/,4301014,ELEM,small_yellow,B,85.2,85.2,,,,
YORK 3,"Mount Gallant Elementary, 4664 Mount Gallant Road, Rock Hill, SC, 29732",MT GALLANT ELEMENTARY,http://mg.rock-hill.k12.sc.us/,4603037,ELEM,small_green,A,99.8,99.8,,,,
LANCASTER,"McDonald Green Elementary, 2763 Lynwood Drive, Lancaster, SC, 29720",MCDONALD GREEN ELEMENTARY,http://mges.lancasterscschools.org/home,2901024,ELEM,small_green,A,96.8,96.8,,,,
LEXINGTON 1,"Meadow Glen Elementary, 510 Ginny Lane, Lexington, SC, 29072",MEADOW GLEN ELEMENTARY,http://mges.lexington1.net:8042/,3201067,ELEM,small_green,A,93.4,93.4,,,,
LEXINGTON 1,"Meadow Glen Middle, 440 Ginny Lane, Lexington, SC, 29072",MEADOW GLEN MIDDLE,http://mgms.lexington1.net:8043/,3201068,MIDD,small_yellow,B,87.5,,,87.5,,
YORK 3,"Mount Holly Elementary, 1800 Porter Road, Rock Hill, SC, 29730",MOUNT HOLLY  ELEMENTARY,http://mh.rock-hill.k12.sc.us/,4603043,ELEM,small_yellow,B,88.6,88.6,,,,
CLARENDON 2,"Manning High, 2155 Paxville Highway, Manning, SC, 29102",MANNING HIGH,http://mhs.clarendon2.k12.sc.us/home.aspx,1402007,HIGH,small_red,F,59.8,,,,,59.8
DARLINGTON,"Mayo High For Math, Science, & Technology, 405 Chestnut Street, Darlington, SC, 29532",MAYO HIGH SCHOOL FOR MATH/SCIEN,http://mhs.dcsdschools.org/,1601033,HIGH,small_green,A,95.8,,,,,95.8
NEWBERRY,"Mid-Carolina Middle, 6834 US Highway 76, Prosperity, SC, 29127",MID CAROLINA MIDDLE,http://mid-carolinamiddle.sc.ncm.schoolinsites.com/,3601019,MIDD,measle_turquoise,C,74.2,,,74.2,,
CHARLESTON,"Military Magnet Academy, 2950 Carner Avenue, North Charleston, SC, 29405",MILITARY MAGNET ACADEMY,http://militarymagnet.ccsdschools.com/,1001018,COMBO,small_green,A,95.2,,,95.2,,95.4
AIKEN,"Millbrook Elementary, 255 East Pine Log Road, Aiken, SC, 29803",MILLBROOK ELEMENTARY,http://millbrookel.acps.schoolfusion.us/,201035,ELEM,small_green,A,92.4,92.4,,,,
RICHLAND 1,"Mill Creek Elementary, 925 Universal Drive, Columbia, SC, 29209",MILL CREEK ELEMENTARY,http://millcreek.richlandone.org/,4001047,ELEM,small_yellow,B,86.7,86.7,,,,
CHARLESTON,"Minnie Hughes Elementary, 8548 Willtown Road, Younges Island , SC, 29449",MINNIE HUGHES ELEMENTARY,http://minniehughes.ccsdschools.com/,1001045,ELEM,small_green,A,95.5,95.5,,,,
CHARLESTON,"Mitchell Elementary, 2 Perry Street, Charleston, SC, 29403",MITCHELL ELEMENTARY,http://mitchell.ccsdschools.com/,1001060,COMBO,small_yellow,B,82.5,91.8,,50.3,,
CLARENDON 2,"Manning Junior High, 1101 W.L. Hamilton Road, Manning, SC, 29102",MANNING JUNIOR HIGH,http://mjhs.clarendon2.k12.sc.us/home.aspx,1402011,MIDD,small_purple,D,61.6,,,61.6,,
PICKENS,"McKissick Elementary, 156 McKissick Road, Easley, SC, 29640",MCKISSICK ELEMENTARY,http://mke.pickens.k12.sc.us/,3901029,ELEM,small_red,F,55,55,,,,
FAIRFIELD,"McCrorey-Liston School of Technology, 1978 SC Highway 215 South, Blair, SC, 29015",MCCROREY-LISTON SCHOOL OF TECHNO,http://mle.fairfield.k12.sc.us/home.aspx,2001009,COMBO,small_yellow,B,84.8,97.5,,57,,
ANDERSON 4,"Mt. Lebanon Elementary, 2850 Lebanon Road, Pendelton, SC, 29670",MT LEBANON ELEMENTARY,http://mles.anderson4.org,404037,COMBO,small_green,A,100,100,,100,,
SUMTER 1,"Mayewood Middle, 4300 East Brewington Road, Sumter, SC, 29153",MAYEWOOD MIDDLE,http://mms.sumterschools.net/,4301006,MIDD,small_purple,D,64.1,,,64.1,,
BEAUFORT,"Mossy Oaks Elementary, 2510 Mossy Oaks Boulevard, Beaufort, SC, 29902",MOSSY OAKS ELEMENTARY,http://moe.beaufort.k12.sc.us/,701015,ELEM,small_green,A,90.2,90.2,,,,
CHARLESTON,"Morningside Middle, 1999 Singley Lane, North Charleston, SC, 29405",MORNINGSIDE MIDDLE,http://morningside.ccsdschools.com ,1001062,MIDD,small_yellow,B,85.3,,,85.3,,
AIKEN,"Mossy Creek Elementary, 421 West Five Notch Road, North Augusta, SC, 29841",MOSSY CREEK ELEMENTARY,http://mossyel.acps.schoolfusion.us/,201058,ELEM,small_red,F,54.2,54.2,,,,
CHARLESTON,"Moultrie Middle, 645 Coleman Boulevard, Mt. Pleasant, SC, 29464",MOULTRIE MIDDLE,http://moultrie.ccsdschools.com/,1001065,MIDD,small_yellow,B,87.3,,,87.3,,
CLARENDON 2,"Manning Primary, 125 North Boundary Street, Manning, SC, 29102",MANNING PRIMARY,http://mps.clarendon2.k12.sc.us/home.aspx,1402012,ELEM,measle_turquoise,C,71.5,71.5,,,,
SPARTANBURG 3,"Middle School of Pacolet, 850 Sunny Acres Road, Pacolet, SC, 29372",MIDDLE SCHOOL OF PACOLET,http://msp.spartanburg3.org/,4203027,MIDD,small_yellow,B,89.6,,,89.6,,
KERSHAW,"Mt. Pisgah Elementary, 5160 Mount Pisgah Road, Kershaw, SC, 29067",MT PISGAH ELEMENTARY,http://mtp.kcsdschools.com/,2801020,ELEM,small_yellow,B,86.9,86.9,,,,
CHARLESTON,"Mt. Pleasant Academy, 605 Center Street, Mt. Pleasant, SC, 29464",MT PLEASANT ACADEMY,http://mtpleasant.ccsdschools.com/,1001063,ELEM,small_green,A,100,100,,,,
SPARTANBURG 7,"McCarthy-Teszler Learning Center, 175 Burdette Street, Spartanburg, SC, 29307",MCCARTHY/TESZLER LEARNING CENTER,http://mtz.spartanburg7.org/,4207904,COMBO,small_green,A,96.7,,93.8,,100,
CHARLESTON,"Mt. Zion Elementary, 3464 River Road, Johns Island, SC, 29455",MT. ZION ELEMENTARY,http://mtzion.ccsdschools.com/,1001095,ELEM,small_purple,D,62,62,,,,
CHARLESTON,"Murray Lasaine Elementary, 691 Riverland Drive, Charleston, SC, 29412",MURRAY-LASAINE ELEMENTARY,http://murraylasaine.ccsdschools.com/,1001066,ELEM,small_green,A,90.1,90.1,,,,
AIKEN,"Midland Valley High, 227 Mustang Drive, Graniteville, SC, 29829",MIDLAND VALLEY HIGH,http://mvhs.acps.schoolfusion.us/,201006,HIGH,small_yellow,B,89.4,,,,,89.4
SUMTER 1,"Millwood Elementary, 24 Pinewood Road, Sumter, SC, 29150",MILLWOOD ELEMENTARY,http://mwe.sumterschools.net/,4301033,ELEM,small_yellow,B,82.5,82.5,,,,
AIKEN,"North Augusta High, 2000 Knobcone Avenue, North Augusta, SC, 29841",NORTH AUGUSTA HIGH,http://nahs.acps.schoolfusion.us/,201012,HIGH,measle_turquoise,C,79.5,,,,,79.5
AIKEN,"North Augusta Elementary, 400 East Spring Grove Avenue, North Augusta, SC, 29841",NORTH AUGUSTA ELEMENTARY,http://naugel.acps.schoolfusion.us/,201039,ELEM,small_green,A,95.8,95.8,,,,
AIKEN,"North Augusta Middle, 725 Old Edgefield Road, North Augusta, SC, 29841",NORTH AUGUSTA MIDDLE,http://naugm.acps.schoolfusion.us/,201011,MIDD,small_yellow,B,85.2,,,85.2,,
CHARLESTON,"North Charleston Elementary, 4921 Durant Avenue, North Charleston, SC, 29405",NORTH CHARLESTON ELEMENTARY,http://nces.ccsdschools.com/,1001067,ELEM,small_red,F,59.6,59.6,,,,
KERSHAW,"North Central High, 3000 Lockhart Road, Kershaw, SC, 29067",NORTH CENTRAL HIGH,http://nch.kcsdschools.com/,2801003,HIGH,small_yellow,B,85.3,,,,,85.3
CHARLESTON,"North Charleston High, 1087 East Montague Avenue, North Charleston, SC, 29405",NORTH CHARLESTON HIGH,http://nchs.ccsdschools.com/,1001002,HIGH,small_red,F,46.2,,,,,46.2
KERSHAW,"North Central Middle, 805 Keys Lane, Kershaw, SC, 29067",NORTH CENTRAL MIDDLE,http://ncm.kcsdschools.com/,2801025,MIDD,small_green,A,91.9,,,91.9,,
YORK 3,"Northside Elementary, 840 North Annafrel Street, Rock Hill, SC, 29730",NORTHSIDE ELEMENTARY,http://ne.rock-hill.k12.sc.us/,4603029,ELEM,small_yellow,B,82,82,,,,
LANCASTER,"North Elementary, 1100 Roddey Drive, Lancaster, SC, 29720",NORTH ELEMENTARY,http://nes.lancasterscschools.org/home,2901014,ELEM,small_green,A,97.6,97.6,,,,
NEWBERRY,"Newberry Elementary, 1829 Nance Street, Newberry, SC, 29108",NEWBERRY ELEMENTARY,http://newberryes.org/,3601018,ELEM,small_yellow,B,80.7,80.7,,,,
AIKEN,"New Ellenton Middle, 814 Main Street South, New Ellenton, SC, 29809",NEW ELLENTON MIDDLE,http://newellentonm.acps.schoolfusion.us/,201010,MIDD,small_green,A,93.3,,,93.3,,
YORK 4,"Nation Ford High, 1400 A.O. Jones Bouvelard, Fort Mill, SC, 29715",NATION FORD HIGH,http://nfhs.fort-mill.k12.sc.us/,4604054,HIGH,small_yellow,B,88.7,,,,,88.7
DARLINGTON,"North Hartsville Elementary, 110 School Drive, Hartsville, SC, 29550",NORTH HARTSVILLE ELEMENTARY,http://nhe.dcsdschools.org/,1601017,ELEM,small_green,A,91.4,91.4,,,,
HORRY,"North Myrtle Beach Elementary, 1283 Highway 57 South, Little River, SC, 29566",NORTH MYRTLE BEACH ELEMENTARY,http://nmbe.horrycountyschools.net/,2601048,ELEM,small_yellow,B,80.2,80.2,,,,
HORRY,"North Myrtle Beach High, 3750 Sea Mountain Highway, Little River, SC, 29566",NORTH MYRTLE BEACH HIGH,http://nmbh.horrycountyschools.net/,2601002,HIGH,measle_turquoise,C,76.8,,,,,76.8
