School Year,Division,School,Subject Area,Pass Rate,School Code,Correct,Address
2011-2012,Montgomery County ,Auburn High,Mathematics,37.63%,1530,No Exact Location,"Auburn High, Montgomery County , VA"
2011-2012,Lee County ,Dryden Elementary,Mathematics,37.67%,2010,No Exact Location,"Dryden Elementary, Lee County , VA"
2011-2012,Petersburg City ,Petersburg High,Mathematics,37.95%,70,No Exact Location,"Petersburg High, Petersburg City , VA"
2011-2012,Prince William County ,Potomac High,Mathematics,38.21%,70,No Exact Location,"Potomac High, Prince William County , VA"
2011-2012,Waynesboro City ,Waynesboro High,Mathematics,38.26%,1010,No Exact Location,"Waynesboro High, Waynesboro City , VA"
2011-2012,Fairfax County ,Mount Vernon High,Mathematics,38.27%,500,No Exact Location,"Mount Vernon High, Fairfax County , VA"
2011-2012,Portsmouth City ,Churchland High,Mathematics,38.55%,1050,No Exact Location,"Churchland High, Portsmouth City , VA"
2011-2012,Portsmouth City ,Woodrow Wilson High,Mathematics,38.71%,220,No Exact Location,"Woodrow Wilson High, Portsmouth City , VA"
2011-2012,Scott County ,Fort Blackmore Primary,Mathematics,38.89%,440,No Exact Location,"Fort Blackmore Primary, Scott County , VA"
2011-2012,Henrico County ,Hermitage High,Mathematics,38.97%,540,No Exact Location,"Hermitage High, Henrico County , VA"
2011-2012,Waynesboro City ,Wenonah Elementary,Mathematics,39.02%,1010,No Exact Location,"Wenonah Elementary, Waynesboro City , VA"
2011-2012,Norfolk City ,Campostella Elementary,Mathematics,39.06%,620,No Exact Location,"Campostella Elementary, Norfolk City , VA"
2011-2012,Newport News City ,Warwick High,Mathematics,39.33%,1010,No Exact Location,"Warwick High, Newport News City , VA"
2011-2012,Lynchburg City ,Sheffield Elementary School,Mathematics,39.38%,50,No Exact Location,"Sheffield Elementary School, Lynchburg City , VA"
2011-2012,Tazewell County ,Tazewell High,Mathematics,39.41%,871,No Exact Location,"Tazewell High, Tazewell County , VA"
2011-2012,Richmond City ,Fred D. Thompson Middle,Mathematics,39.92%,30,No Exact Location,"Fred D. Thompson Middle, Richmond City , VA"
2011-2012,Virginia Beach City ,Williams Elementary,Mathematics,40.00%,1010,No Exact Location,"Williams Elementary, Virginia Beach City , VA"
2011-2012,Harrisonburg City ,Spotswood Elementary,Mathematics,40.24%,8888,No Exact Location,"Spotswood Elementary, Harrisonburg City , VA"
2011-2012,Richmond City ,Thomas Jefferson High,Mathematics,40.38%,871,No Exact Location,"Thomas Jefferson High, Richmond City , VA"
2011-2012,Gloucester County ,Gloucester High,Mathematics,40.53%,870,No Exact Location,"Gloucester High, Gloucester County , VA"
2011-2012,Newport News City ,Horace H. Epes Elementary,Mathematics,40.70%,600,No Exact Location,"Horace H. Epes Elementary, Newport News City , VA"
2011-2012,Norfolk City ,Azalea Gardens Middle,Mathematics,40.85%,1530,No Exact Location,"Azalea Gardens Middle, Norfolk City , VA"
2011-2012,Franklin City ,S.P. Morton Elementary,Mathematics,40.93%,50,No Exact Location,"S.P. Morton Elementary, Franklin City , VA"
2011-2012,Spotsylvania County ,Spotsylvania High,Mathematics,40.97%,8888,No Exact Location,"Spotsylvania High, Spotsylvania County , VA"
2011-2012,Petersburg City ,A.P. Hill Elementary,Mathematics,41.13%,#N/A,No Exact Location,"A.P. Hill Elementary, Petersburg City , VA"
2011-2012,Fairfax County ,Stuart High,Mathematics,41.44%,871,No Exact Location,"Stuart High, Fairfax County , VA"
2011-2012,Galax City ,Galax Elementary,Mathematics,41.58%,30,No Exact Location,"Galax Elementary, Galax City , VA"
2011-2012,Washington County ,Patrick Henry High,Mathematics,41.65%,1050,No Exact Location,"Patrick Henry High, Washington County , VA"
2011-2012,Fairfax County ,Bryant Alternative High,Mathematics,41.67%,2201,No Exact Location,"Bryant Alternative High, Fairfax County , VA"
2011-2012,Lunenburg County ,Central High,Mathematics,41.71%,880,No Exact Location,"Central High, Lunenburg County , VA"
2011-2012,Isle of Wight County ,Windsor High,Mathematics,41.85%,1010,No Exact Location,"Windsor High, Isle of Wight County , VA"
2011-2012,Louisa County ,Moss-Nuckols Elementary,Mathematics,41.87%,500,No Exact Location,"Moss-Nuckols Elementary, Louisa County , VA"
2011-2012,Norfolk City ,William H. Ruffner Middle,Mathematics,42.01%,1010,No Exact Location,"William H. Ruffner Middle, Norfolk City , VA"
2011-2012,Mecklenburg County ,Bluestone Middle,Mathematics,42.02%,720,No Exact Location,"Bluestone Middle, Mecklenburg County , VA"
2011-2012,York County ,York High,Mathematics,42.09%,30,No Exact Location,"York High, York County , VA"
2011-2012,Virginia Beach City ,Kempsville High,Mathematics,42.34%,620,No Exact Location,"Kempsville High, Virginia Beach City , VA"
2011-2012,Franklin City ,Joseph P. King Jr. Middle,Mathematics,42.34%,360,No Exact Location,"Joseph P. King Jr. Middle, Franklin City , VA"
2011-2012,Lynchburg City ,Heritage Elementary,Mathematics,42.54%,10,No Exact Location,"Heritage Elementary, Lynchburg City , VA"
2011-2012,Wythe County ,Rural Retreat High,Mathematics,42.62%,50,No Exact Location,"Rural Retreat High, Wythe County , VA"
2011-2012,Lynchburg City ,William M. Bass Elementary,Mathematics,42.72%,1010,No Exact Location,"William M. Bass Elementary, Lynchburg City , VA"
2011-2012,Henrico County ,Montrose Elementary,Mathematics,42.93%,500,No Exact Location,"Montrose Elementary, Henrico County , VA"
2011-2012,Staunton City ,Bessie Weller Elementary,Mathematics,42.94%,720,No Exact Location,"Bessie Weller Elementary, Staunton City , VA"
2011-2012,Southampton County ,Riverdale Elementary,Mathematics,43.00%,50,No Exact Location,"Riverdale Elementary, Southampton County , VA"
2011-2012,Petersburg City ,Peabody Middle,Mathematics,43.11%,70,No Exact Location,"Peabody Middle, Petersburg City , VA"
2011-2012,Hampton City ,Bethel High,Mathematics,43.20%,720,No Exact Location,"Bethel High, Hampton City , VA"
2011-2012,Newport News City ,Huntington Middle,Mathematics,43.37%,600,No Exact Location,"Huntington Middle, Newport News City , VA"
2011-2012,Henry County ,Magna Vista High,Mathematics,43.54%,730,No Exact Location,"Magna Vista High, Henry County , VA"
2011-2012,Newport News City ,Willis A. Jenkins Elementary,Mathematics,43.56%,1010,No Exact Location,"Willis A. Jenkins Elementary, Newport News City , VA"
2011-2012,Virginia Beach City ,Bayside High,Mathematics,43.65%,550,No Exact Location,"Bayside High, Virginia Beach City , VA"
2011-2012,Roanoke City ,Patrick Henry High,Mathematics,43.66%,1050,No Exact Location,"Patrick Henry High, Roanoke City , VA"
2011-2012,Madison County ,Madison County High,Mathematics,43.66%,730,No Exact Location,"Madison County High, Madison County , VA"
2011-2012,Rockingham County ,Fulks Run Elementary,Mathematics,43.82%,30,No Exact Location,"Fulks Run Elementary, Rockingham County , VA"
2011-2012,Fairfax County ,Forestdale Elementary,Mathematics,44.03%,440,No Exact Location,"Forestdale Elementary, Fairfax County , VA"
2011-2012,Norfolk City ,Lafayette-Winona Middle,Mathematics,44.22%,580,No Exact Location,"Lafayette-Winona Middle, Norfolk City , VA"
2011-2012,Wythe County ,Fort Chiswell Middle,Mathematics,44.27%,440,No Exact Location,"Fort Chiswell Middle, Wythe County , VA"
2011-2012,Newport News City ,Menchville High,Mathematics,44.48%,500,No Exact Location,"Menchville High, Newport News City , VA"
2011-2012,Mathews County ,Mathews High,Mathematics,44.58%,500,No Exact Location,"Mathews High, Mathews County , VA"
2011-2012,Richmond City ,Amelia Street Special Education,Mathematics,44.74%,2203,No Exact Location,"Amelia Street Special Education, Richmond City , VA"
2011-2012,Henrico County ,Fairfield Middle,Mathematics,44.76%,780,No Exact Location,"Fairfield Middle, Henrico County , VA"
2011-2012,Pulaski County ,Pulaski County Senior High,Mathematics,44.77%,70,No Exact Location,"Pulaski County Senior High, Pulaski County , VA"
2011-2012,Norfolk City ,Granby High,Mathematics,45.10%,1031,No Exact Location,"Granby High, Norfolk City , VA"
2011-2012,Richmond City ,Westover Hills Elementary,Mathematics,45.19%,1010,No Exact Location,"Westover Hills Elementary, Richmond City , VA"
2011-2012,Page County ,Page County High,Mathematics,45.34%,570,No Exact Location,"Page County High, Page County , VA"
2011-2012,Newport News City ,Woodside High,Mathematics,45.35%,220,No Exact Location,"Woodside High, Newport News City , VA"
2011-2012,Lancaster County ,Lancaster Primary,Mathematics,45.35%,580,No Exact Location,"Lancaster Primary, Lancaster County , VA"
2011-2012,Russell County ,Swords Creek Elementary,Mathematics,45.38%,871,No Exact Location,"Swords Creek Elementary, Russell County , VA"
2011-2012,Washington County ,John S. Battle High,Mathematics,45.42%,360,No Exact Location,"John S. Battle High, Washington County , VA"
2011-2012,Portsmouth City ,William E. Waters Middle,Mathematics,45.48%,1010,No Exact Location,"William E. Waters Middle, Portsmouth City , VA"
2011-2012,Hampton City ,Kecoughtan High,Mathematics,45.66%,360,No Exact Location,"Kecoughtan High, Hampton City , VA"
2011-2012,Lee County ,Rose Hill Elementary,Mathematics,45.97%,50,No Exact Location,"Rose Hill Elementary, Lee County , VA"
2011-2012,Lynchburg City ,Linkhorne Elementary,Mathematics,46.02%,330,No Exact Location,"Linkhorne Elementary, Lynchburg City , VA"
2011-2012,Mecklenburg County ,Park View High,Mathematics,46.05%,570,No Exact Location,"Park View High, Mecklenburg County , VA"
2011-2012,Nottoway County ,Nottoway Middle,Mathematics,46.15%,760,No Exact Location,"Nottoway Middle, Nottoway County , VA"
2011-2012,Pittsylvania County ,Stony Mill Elementary,Mathematics,46.19%,871,No Exact Location,"Stony Mill Elementary, Pittsylvania County , VA"
2011-2012,Manassas Park City ,Manassas Park High,Mathematics,46.24%,500,No Exact Location,"Manassas Park High, Manassas Park City , VA"
2011-2012,Prince William County ,Woodbridge High,Mathematics,46.37%,220,No Exact Location,"Woodbridge High, Prince William County , VA"
2011-2012,Richmond City ,Oak Grove/Bellemeade Elementary,Mathematics,46.43%,760,No Exact Location,"Oak Grove/Bellemeade Elementary, Richmond City , VA"
2011-2012,Newport News City ,Mary Passage Middle,Mathematics,46.44%,500,No Exact Location,"Mary Passage Middle, Newport News City , VA"
2011-2012,Portsmouth City ,Churchland Middle,Mathematics,46.59%,1050,No Exact Location,"Churchland Middle, Portsmouth City , VA"
2011-2012,Virginia Beach City ,Seatack Elementary,Mathematics,46.70%,50,No Exact Location,"Seatack Elementary, Virginia Beach City , VA"
2011-2012,Richmond City ,Miles Jones Elementary,Mathematics,46.79%,500,No Exact Location,"Miles Jones Elementary, Richmond City , VA"
2011-2012,Virginia Beach City ,Bayside Middle,Mathematics,46.95%,550,No Exact Location,"Bayside Middle, Virginia Beach City , VA"
2011-2012,Lynchburg City ,Sandusky Middle,Mathematics,46.99%,50,No Exact Location,"Sandusky Middle, Lynchburg City , VA"
2011-2012,Richmond City ,Franklin Military Academy,Mathematics,47.02%,30,No Exact Location,"Franklin Military Academy, Richmond City , VA"
2011-2012,Frederick County ,Frederick County Middle,Mathematics,47.08%,30,No Exact Location,"Frederick County Middle, Frederick County , VA"
2011-2012,Spotsylvania County ,Chancellor High,Mathematics,47.11%,200,No Exact Location,"Chancellor High, Spotsylvania County , VA"
2011-2012,Newport News City ,David A. Dutrow Elementary,Mathematics,47.14%,2229,No Exact Location,"David A. Dutrow Elementary, Newport News City , VA"
2011-2012,Loudoun County ,Sugarland Elementary,Mathematics,47.21%,871,No Exact Location,"Sugarland Elementary, Loudoun County , VA"
2011-2012,Richmond City ,Blackwell Elementary,Mathematics,47.32%,720,No Exact Location,"Blackwell Elementary, Richmond City , VA"
2011-2012,Smyth County ,Northwood High,Mathematics,47.40%,760,No Exact Location,"Northwood High, Smyth County , VA"
2011-2012,Prince William County ,Brentsville District High,Mathematics,47.46%,940,No Exact Location,"Brentsville District High, Prince William County , VA"
