School Year,Division,School,Subject Area,Pass Rate,School Code,Correct,Address
2011-2012,Winchester City ,Daniel Morgan Middle,Mathematics,62.52%,1700,No Exact Location,"Daniel Morgan Middle, Winchester City , VA"
2011-2012,Frederick County ,Orchard View Elementary,Mathematics,62.56%,570,No Exact Location,"Orchard View Elementary, Frederick County , VA"
2011-2012,Smyth County ,Marion Middle,Mathematics,62.57%,500,No Exact Location,"Marion Middle, Smyth County , VA"
2011-2012,Virginia Beach City ,Tallwood Elementary,Mathematics,62.59%,871,No Exact Location,"Tallwood Elementary, Virginia Beach City , VA"
2011-2012,Norfolk City ,Norview High,Mathematics,62.69%,760,No Exact Location,"Norview High, Norfolk City , VA"
2011-2012,Stafford County ,Brooke Point High,Mathematics,62.88%,940,No Exact Location,"Brooke Point High, Stafford County , VA"
2011-2012,Hampton City ,Thomas Eaton Middle,Mathematics,62.92%,871,No Exact Location,"Thomas Eaton Middle, Hampton City , VA"
2011-2012,Powhatan County ,Powhatan Junior High,Mathematics,62.96%,70,No Exact Location,"Powhatan Junior High, Powhatan County , VA"
2011-2012,Fredericksburg City ,Lafayette Upper Elementary,Mathematics,62.99%,580,No Exact Location,"Lafayette Upper Elementary, Fredericksburg City , VA"
2011-2012,Portsmouth City ,Simonsdale Elementary,Mathematics,63.03%,50,No Exact Location,"Simonsdale Elementary, Portsmouth City , VA"
2011-2012,Virginia Beach City ,Luxford Elementary,Mathematics,63.06%,460,No Exact Location,"Luxford Elementary, Virginia Beach City , VA"
2011-2012,Virginia Beach City ,Landstown Elementary,Mathematics,63.07%,932,No Exact Location,"Landstown Elementary, Virginia Beach City , VA"
2011-2012,Prince William County ,Bel Air Elementary,Mathematics,63.08%,1730,No Exact Location,"Bel Air Elementary, Prince William County , VA"
2011-2012,Hampton City ,Francis W. Jones Magnet Middle,Mathematics,63.08%,440,No Exact Location,"Francis W. Jones Magnet Middle, Hampton City , VA"
2011-2012,Scott County ,Hilton Elementary,Mathematics,63.10%,540,No Exact Location,"Hilton Elementary, Scott County , VA"
2011-2012,Montgomery County ,Christiansburg Middle,Mathematics,63.10%,100,No Exact Location,"Christiansburg Middle, Montgomery County , VA"
2011-2012,Roanoke City ,Woodrow Wilson Middle,Mathematics,63.10%,220,No Exact Location,"Woodrow Wilson Middle, Roanoke City , VA"
2011-2012,Prince William County ,Osbourn Park High,Mathematics,63.12%,570,No Exact Location,"Osbourn Park High, Prince William County , VA"
2011-2012,Smyth County ,Northwood Middle,Mathematics,63.18%,760,No Exact Location,"Northwood Middle, Smyth County , VA"
2011-2012,Loudoun County ,Potomac Falls High,Mathematics,63.19%,70,No Exact Location,"Potomac Falls High, Loudoun County , VA"
2011-2012,Fairfax County ,Glen Forest Elementary,Mathematics,63.20%,30,No Exact Location,"Glen Forest Elementary, Fairfax County , VA"
2011-2012,Virginia Beach City ,Pembroke Meadows Elementary,Mathematics,63.21%,70,No Exact Location,"Pembroke Meadows Elementary, Virginia Beach City , VA"
2011-2012,Russell County ,Lebanon Elementary,Mathematics,63.23%,970,No Exact Location,"Lebanon Elementary, Russell County , VA"
2011-2012,Halifax County ,Clays Mill Elementary,Mathematics,63.33%,1050,No Exact Location,"Clays Mill Elementary, Halifax County , VA"
2011-2012,Powhatan County ,Flat Rock Elementary,Mathematics,63.42%,610,No Exact Location,"Flat Rock Elementary, Powhatan County , VA"
2011-2012,Loudoun County ,Guilford Elementary,Mathematics,63.46%,10,No Exact Location,"Guilford Elementary, Loudoun County , VA"
2011-2012,Prince William County ,Potomac View Elementary,Mathematics,63.47%,70,No Exact Location,"Potomac View Elementary, Prince William County , VA"
2011-2012,Fredericksburg City ,Walker-Grant Middle,Mathematics,63.47%,1010,No Exact Location,"Walker-Grant Middle, Fredericksburg City , VA"
2011-2012,Virginia Beach City ,Independence Middle,Mathematics,63.49%,740,No Exact Location,"Independence Middle, Virginia Beach City , VA"
2011-2012,Fairfax County ,Hybla Valley Elementary,Mathematics,63.50%,600,No Exact Location,"Hybla Valley Elementary, Fairfax County , VA"
2011-2012,Nelson County ,Nelson County High,Mathematics,63.50%,500,No Exact Location,"Nelson County High, Nelson County , VA"
2011-2012,Patrick County ,Patrick County High,Mathematics,63.56%,820,No Exact Location,"Patrick County High, Patrick County , VA"
2011-2012,Lynchburg City ,Sandusky Elementary,Mathematics,63.64%,50,No Exact Location,"Sandusky Elementary, Lynchburg City , VA"
2011-2012,Henrico County ,Ridge Elementary,Mathematics,63.71%,50,No Exact Location,"Ridge Elementary, Henrico County , VA"
2011-2012,Prince William County ,Dumfries Elementary,Mathematics,63.76%,106,No Exact Location,"Dumfries Elementary, Prince William County , VA"
2011-2012,Harrisonburg City ,Skyline Middle,Mathematics,63.79%,50,No Exact Location,"Skyline Middle, Harrisonburg City , VA"
2011-2012,Fairfax County ,Pine Spring Elementary,Mathematics,63.84%,70,No Exact Location,"Pine Spring Elementary, Fairfax County , VA"
2011-2012,Rockingham County ,Plains Elementary,Mathematics,63.89%,70,No Exact Location,"Plains Elementary, Rockingham County , VA"
2011-2012,Tazewell County ,Richlands Middle,Mathematics,63.91%,50,No Exact Location,"Richlands Middle, Tazewell County , VA"
2011-2012,Henry County ,Drewry Mason Elementary,Mathematics,63.98%,2010,No Exact Location,"Drewry Mason Elementary, Henry County , VA"
2011-2012,Madison County ,Waverly Yowell Elementary,Mathematics,63.98%,1010,No Exact Location,"Waverly Yowell Elementary, Madison County , VA"
2011-2012,Lee County ,Thomas Walker High,Mathematics,64.04%,871,No Exact Location,"Thomas Walker High, Lee County , VA"
2011-2012,Virginia Beach City ,Bayside Elementary,Mathematics,64.09%,550,No Exact Location,"Bayside Elementary, Virginia Beach City , VA"
2011-2012,Mecklenburg County ,Chase City Elementary,Mathematics,64.22%,2445,No Exact Location,"Chase City Elementary, Mecklenburg County , VA"
2011-2012,Fairfax County ,Poe Middle,Mathematics,64.25%,70,No Exact Location,"Poe Middle, Fairfax County , VA"
2011-2012,Wise County ,Eastside High,Mathematics,64.26%,106,No Exact Location,"Eastside High, Wise County , VA"
2011-2012,Norfolk City ,Bay View Elementary,Mathematics,64.26%,550,No Exact Location,"Bay View Elementary, Norfolk City , VA"
2011-2012,Page County ,Luray High,Mathematics,64.26%,9997,No Exact Location,"Luray High, Page County , VA"
2011-2012,Page County ,Stanley Elementary,Mathematics,64.35%,871,No Exact Location,"Stanley Elementary, Page County , VA"
2011-2012,Prince William County ,Kerrydale Elementary,Mathematics,64.35%,690,No Exact Location,"Kerrydale Elementary, Prince William County , VA"
2011-2012,Henry County ,Stanleytown Elementary,Mathematics,64.46%,871,No Exact Location,"Stanleytown Elementary, Henry County , VA"
2011-2012,Poquoson City ,Poquoson Elementary,Mathematics,64.59%,70,No Exact Location,"Poquoson Elementary, Poquoson City , VA"
2011-2012,Fairfax County ,Dranesville Elementary,Mathematics,64.60%,2010,No Exact Location,"Dranesville Elementary, Fairfax County , VA"
2011-2012,Roanoke County ,Hidden Valley High,Mathematics,64.62%,540,No Exact Location,"Hidden Valley High, Roanoke County , VA"
2011-2012,Norfolk City ,Tarrallton Elementary,Mathematics,64.63%,871,No Exact Location,"Tarrallton Elementary, Norfolk City , VA"
2011-2012,Virginia Beach City ,Corporate Landing Elementary,Mathematics,64.64%,1190,No Exact Location,"Corporate Landing Elementary, Virginia Beach City , VA"
2011-2012,Hampton City ,Cesar Tarrant Elementary,Mathematics,64.65%,200,No Exact Location,"Cesar Tarrant Elementary, Hampton City , VA"
2011-2012,Virginia Beach City ,Christopher Farms Elementary,Mathematics,64.66%,100,No Exact Location,"Christopher Farms Elementary, Virginia Beach City , VA"
2011-2012,Spotsylvania County ,Spotsylvania Middle,Mathematics,64.68%,8888,No Exact Location,"Spotsylvania Middle, Spotsylvania County , VA"
2011-2012,Spotsylvania County ,Lee Hill Elementary,Mathematics,64.69%,970,No Exact Location,"Lee Hill Elementary, Spotsylvania County , VA"
2011-2012,Loudoun County ,Banneker Elementary,Mathematics,64.71%,550,No Exact Location,"Banneker Elementary, Loudoun County , VA"
2011-2012,Tazewell County ,Cedar Bluff Elementary,Mathematics,64.73%,2222,No Exact Location,"Cedar Bluff Elementary, Tazewell County , VA"
2011-2012,Powhatan County ,Powhatan Elementary,Mathematics,64.77%,70,No Exact Location,"Powhatan Elementary, Powhatan County , VA"
2011-2012,Montgomery County ,Falling Branch Elementary,Mathematics,64.80%,780,No Exact Location,"Falling Branch Elementary, Montgomery County , VA"
2011-2012,Loudoun County ,Dominion High,Mathematics,64.89%,220,No Exact Location,"Dominion High, Loudoun County , VA"
2011-2012,New Kent County ,George W. Watkins Elementary,Mathematics,64.92%,30,No Exact Location,"George W. Watkins Elementary, New Kent County , VA"
2011-2012,Loudoun County ,J. Lupton Simpson Middle,Mathematics,64.95%,800,No Exact Location,"J. Lupton Simpson Middle, Loudoun County , VA"
2011-2012,Fairfax County ,Beech Tree Elementary,Mathematics,65.00%,1730,No Exact Location,"Beech Tree Elementary, Fairfax County , VA"
2011-2012,Virginia Beach City ,Lynnhaven Elementary,Mathematics,65.14%,520,No Exact Location,"Lynnhaven Elementary, Virginia Beach City , VA"
2011-2012,Spotsylvania County ,Cedar Forest Elementary,Mathematics,65.14%,2222,No Exact Location,"Cedar Forest Elementary, Spotsylvania County , VA"
2011-2012,Franklin County ,Sontag Elementary,Mathematics,65.15%,50,No Exact Location,"Sontag Elementary, Franklin County , VA"
2011-2012,Fairfax County ,Woodley Hills Elementary,Mathematics,65.15%,220,No Exact Location,"Woodley Hills Elementary, Fairfax County , VA"
2011-2012,King and Queen County ,Lawson-Marriott Elementary,Mathematics,65.15%,970,No Exact Location,"Lawson-Marriott Elementary, King and Queen County , VA"
2011-2012,Roanoke City ,Addison Aerospace Magnet Middle,Mathematics,65.17%,701,No Exact Location,"Addison Aerospace Magnet Middle, Roanoke City , VA"
2011-2012,Virginia Beach City ,Salem Middle,Mathematics,65.20%,50,No Exact Location,"Salem Middle, Virginia Beach City , VA"
2011-2012,Newport News City ,Homer L. Hines Middle,Mathematics,65.28%,600,No Exact Location,"Homer L. Hines Middle, Newport News City , VA"
2011-2012,Isle of Wight County ,Carrollton Elementary,Mathematics,65.28%,1690,No Exact Location,"Carrollton Elementary, Isle of Wight County , VA"
2011-2012,Hampton City ,Samuel P. Langley Elementary,Mathematics,65.29%,50,No Exact Location,"Samuel P. Langley Elementary, Hampton City , VA"
2011-2012,Fairfax County ,Dogwood Elementary,Mathematics,65.33%,220,No Exact Location,"Dogwood Elementary, Fairfax County , VA"
2011-2012,Fairfax County ,Woodlawn Elementary,Mathematics,65.34%,220,No Exact Location,"Woodlawn Elementary, Fairfax County , VA"
2011-2012,Roanoke City ,Hurt Park Elementary,Mathematics,65.38%,600,No Exact Location,"Hurt Park Elementary, Roanoke City , VA"
2011-2012,Spotsylvania County ,Wilderness Elementary,Mathematics,65.39%,1010,No Exact Location,"Wilderness Elementary, Spotsylvania County , VA"
2011-2012,Virginia Beach City ,Three Oaks Elementary,Mathematics,65.44%,871,No Exact Location,"Three Oaks Elementary, Virginia Beach City , VA"
2011-2012,Prince William County ,Sudley Elementary,Mathematics,65.44%,871,No Exact Location,"Sudley Elementary, Prince William County , VA"
2011-2012,Shenandoah County ,Central High,Mathematics,65.47%,880,No Exact Location,"Central High, Shenandoah County , VA"
2011-2012,Wythe County ,Jackson Memorial Elementary,Mathematics,65.49%,800,No Exact Location,"Jackson Memorial Elementary, Wythe County , VA"
2011-2012,Prince William County ,Dale City Elementary,Mathematics,65.55%,1700,No Exact Location,"Dale City Elementary, Prince William County , VA"
2011-2012,Loudoun County ,Broad Run High,Mathematics,65.59%,940,No Exact Location,"Broad Run High, Loudoun County , VA"
2011-2012,Shenandoah County ,Sandy Hook Elementary,Mathematics,65.60%,50,No Exact Location,"Sandy Hook Elementary, Shenandoah County , VA"
2011-2012,Wythe County ,Sheffey Elementary,Mathematics,65.65%,50,No Exact Location,"Sheffey Elementary, Wythe County , VA"
2011-2012,Fairfax County ,Riverside Elementary,Mathematics,65.68%,50,No Exact Location,"Riverside Elementary, Fairfax County , VA"
2011-2012,Loudoun County ,Woodgrove High,Mathematics,65.68%,220,No Exact Location,"Woodgrove High, Loudoun County , VA"
2011-2012,Montgomery County ,Prices Fork Elementary,Mathematics,65.69%,70,No Exact Location,"Prices Fork Elementary, Montgomery County , VA"
2011-2012,Fairfax County ,Herndon Middle,Mathematics,65.69%,540,No Exact Location,"Herndon Middle, Fairfax County , VA"
2011-2012,Virginia Beach City ,Woodstock Elementary,Mathematics,65.71%,220,No Exact Location,"Woodstock Elementary, Virginia Beach City , VA"
2011-2012,Fairfax County ,Fort Hunt Elementary,Mathematics,65.74%,440,No Exact Location,"Fort Hunt Elementary, Fairfax County , VA"
2011-2012,King and Queen County ,King & Queen Elementary,Mathematics,65.75%,690,No Exact Location,"King & Queen Elementary, King and Queen County , VA"
2011-2012,Loudoun County ,Forest Grove Elementary,Mathematics,65.80%,440,No Exact Location,"Forest Grove Elementary, Loudoun County , VA"
2011-2012,Roanoke City ,Roanoke Academy For Mathematics & Science Elementary,Mathematics,65.81%,50,No Exact Location,"Roanoke Academy For Mathematics & Science Elementary, Roanoke City , VA"
2011-2012,Goochland County ,Byrd Elementary,Mathematics,65.84%,680,No Exact Location,"Byrd Elementary, Goochland County , VA"
2011-2012,Loudoun County ,Cool Spring Elementary,Mathematics,65.91%,191,No Exact Location,"Cool Spring Elementary, Loudoun County , VA"
2011-2012,Newport News City ,General Stanford Elementary,Mathematics,65.94%,30,No Exact Location,"General Stanford Elementary, Newport News City , VA"
2011-2012,Prince George County ,William A. Walton Elementary,Mathematics,65.98%,1010,No Exact Location,"William A. Walton Elementary, Prince George County , VA"
2011-2012,Orange County ,Prospect Heights Middle,Mathematics,65.99%,70,No Exact Location,"Prospect Heights Middle, Orange County , VA"
2011-2012,Spotsylvania County ,Battlefield Middle,Mathematics,66.06%,550,No Exact Location,"Battlefield Middle, Spotsylvania County , VA"
2011-2012,Virginia Beach City ,Thalia Elementary,Mathematics,66.12%,871,No Exact Location,"Thalia Elementary, Virginia Beach City , VA"
2011-2012,Giles County ,Macy Mcclaugherty Elementary/Middle,Mathematics,66.14%,730,No Exact Location,"Macy Mcclaugherty Elementary/Middle, Giles County , VA"
2011-2012,Virginia Beach City ,Virginia Beach Middle,Mathematics,66.16%,1010,No Exact Location,"Virginia Beach Middle, Virginia Beach City , VA"
2011-2012,Fairfax County ,Gunston Elementary,Mathematics,66.18%,10,No Exact Location,"Gunston Elementary, Fairfax County , VA"
2011-2012,Prince William County ,Potomac Middle,Mathematics,66.20%,70,No Exact Location,"Potomac Middle, Prince William County , VA"
2011-2012,Fairfax County ,Bush Hill Elementary,Mathematics,66.24%,680,No Exact Location,"Bush Hill Elementary, Fairfax County , VA"
2011-2012,Prince William County ,Stonewall Middle,Mathematics,66.33%,871,No Exact Location,"Stonewall Middle, Prince William County , VA"
2011-2012,King William County ,Acquinton Elementary,Mathematics,66.33%,701,No Exact Location,"Acquinton Elementary, King William County , VA"
2011-2012,Henry County ,Axton Elementary,Mathematics,66.34%,1530,No Exact Location,"Axton Elementary, Henry County , VA"
2011-2012,Fairfax County ,Washington Mill Elementary,Mathematics,66.35%,1010,No Exact Location,"Washington Mill Elementary, Fairfax County , VA"
2011-2012,Virginia Beach City ,Birdneck Elementary,Mathematics,66.39%,720,No Exact Location,"Birdneck Elementary, Virginia Beach City , VA"
2011-2012,Orange County ,Locust Grove Middle,Mathematics,66.51%,9997,No Exact Location,"Locust Grove Middle, Orange County , VA"
2011-2012,Louisa County ,Louisa County High,Mathematics,66.52%,9997,No Exact Location,"Louisa County High, Louisa County , VA"
2011-2012,Henrico County ,Ruby F. Carver Elementary,Mathematics,66.54%,50,No Exact Location,"Ruby F. Carver Elementary, Henrico County , VA"
2011-2012,Frederick County ,Admiral Richard E. Byrd Middle,Mathematics,66.59%,701,No Exact Location,"Admiral Richard E. Byrd Middle, Frederick County , VA"
2011-2012,Wise County ,Central High,Mathematics,66.60%,880,No Exact Location,"Central High, Wise County , VA"
2011-2012,Prince William County ,Patriot High,Mathematics,66.63%,70,No Exact Location,"Patriot High, Prince William County , VA"
2011-2012,Richmond City ,E.S.H. Greene Elementary,Mathematics,66.67%,106,No Exact Location,"E.S.H. Greene Elementary, Richmond City , VA"
2011-2012,Rockingham County ,John W. Wayland Elementary,Mathematics,66.67%,360,No Exact Location,"John W. Wayland Elementary, Rockingham County , VA"
2011-2012,Page County ,Luray Elementary,Mathematics,66.67%,9997,No Exact Location,"Luray Elementary, Page County , VA"
2011-2012,Pittsylvania County ,Twin Springs Elementary,Mathematics,66.76%,871,No Exact Location,"Twin Springs Elementary, Pittsylvania County , VA"
2011-2012,Shenandoah County ,Stonewall Jackson High,Mathematics,66.78%,871,No Exact Location,"Stonewall Jackson High, Shenandoah County , VA"
2011-2012,Henrico County ,Henry D. Ward Elementary,Mathematics,66.80%,10,No Exact Location,"Henry D. Ward Elementary, Henrico County , VA"
2011-2012,Frederick County ,Robert E. Aylor Middle,Mathematics,66.83%,50,No Exact Location,"Robert E. Aylor Middle, Frederick County , VA"
2011-2012,Henrico County ,Maude Trevvett Elementary,Mathematics,66.84%,500,No Exact Location,"Maude Trevvett Elementary, Henrico County , VA"
2011-2012,Hampton City ,Tucker-Capps Elementary,Mathematics,66.86%,871,No Exact Location,"Tucker-Capps Elementary, Hampton City , VA"
2011-2012,Nottoway County ,Nottoway Intermediate,Mathematics,66.88%,760,No Exact Location,"Nottoway Intermediate, Nottoway County , VA"
2011-2012,Roanoke City ,Virginia Heights Elementary,Mathematics,66.89%,1010,No Exact Location,"Virginia Heights Elementary, Roanoke City , VA"
2011-2012,Virginia Beach City ,Holland Elementary,Mathematics,66.93%,600,No Exact Location,"Holland Elementary, Virginia Beach City , VA"
2011-2012,Norfolk City ,Sewells Point Elementary,Mathematics,66.94%,50,No Exact Location,"Sewells Point Elementary, Norfolk City , VA"
2011-2012,Tazewell County ,Tazewell Middle,Mathematics,66.94%,871,No Exact Location,"Tazewell Middle, Tazewell County , VA"
2011-2012,Norfolk City ,Larrymore Elementary,Mathematics,67.08%,970,No Exact Location,"Larrymore Elementary, Norfolk City , VA"
2011-2012,Rockbridge County ,Fairfield Elementary,Mathematics,67.12%,780,No Exact Location,"Fairfield Elementary, Rockbridge County , VA"
2011-2012,Fairfax County ,Fairfax High,Mathematics,67.19%,106,No Exact Location,"Fairfax High, Fairfax County , VA"
2011-2012,Lynchburg City ,Robert S. Payne Elementary,Mathematics,67.20%,50,No Exact Location,"Robert S. Payne Elementary, Lynchburg City , VA"
2011-2012,Henrico County ,Elizabeth Holladay Elementary,Mathematics,67.31%,106,No Exact Location,"Elizabeth Holladay Elementary, Henrico County , VA"
2011-2012,Roanoke City ,Round Hill Elementary,Mathematics,67.33%,50,No Exact Location,"Round Hill Elementary, Roanoke City , VA"
2011-2012,Warren County ,A.S. Rhodes Elementary,Mathematics,67.33%,#N/A,No Exact Location,"A.S. Rhodes Elementary, Warren County , VA"
2011-2012,Suffolk City ,King`s Fork Middle,Mathematics,67.43%,420,No Exact Location,"King`s Fork Middle, Suffolk City , VA"
2011-2012,Norfolk City ,Ocean View Elementary,Mathematics,67.45%,960,No Exact Location,"Ocean View Elementary, Norfolk City , VA"
2011-2012,Virginia Beach City ,Creeds Elementary,Mathematics,67.48%,1190,No Exact Location,"Creeds Elementary, Virginia Beach City , VA"
2011-2012,Rockingham County ,East Rockingham High,Mathematics,67.54%,106,No Exact Location,"East Rockingham High, Rockingham County , VA"
2011-2012,Prince William County ,Glenkirk Elementary,Mathematics,67.55%,30,No Exact Location,"Glenkirk Elementary, Prince William County , VA"
2011-2012,Newport News City ,Riverside Elementary,Mathematics,67.58%,50,No Exact Location,"Riverside Elementary, Newport News City , VA"
2011-2012,Richmond City ,Southampton Elementary,Mathematics,67.61%,50,No Exact Location,"Southampton Elementary, Richmond City , VA"
2011-2012,Smyth County ,Saltville Elementary,Mathematics,67.61%,50,No Exact Location,"Saltville Elementary, Smyth County , VA"
2011-2012,Harrisonburg City ,Stone Spring Elementary,Mathematics,67.69%,871,No Exact Location,"Stone Spring Elementary, Harrisonburg City , VA"
2011-2012,Prince William County ,Herbert J. Saunders Middle,Mathematics,67.71%,10,No Exact Location,"Herbert J. Saunders Middle, Prince William County , VA"
2011-2012,Virginia Beach City ,Pembroke Elementary,Mathematics,67.72%,70,No Exact Location,"Pembroke Elementary, Virginia Beach City , VA"
2011-2012,Prince William County ,Suella G. Ellis Elementary,Mathematics,67.77%,871,No Exact Location,"Suella G. Ellis Elementary, Prince William County , VA"
2011-2012,Virginia Beach City ,Ocean Lakes Elementary,Mathematics,67.80%,880,No Exact Location,"Ocean Lakes Elementary, Virginia Beach City , VA"
2011-2012,Scott County ,Shoemaker Elementary,Mathematics,67.80%,50,No Exact Location,"Shoemaker Elementary, Scott County , VA"
2011-2012,Virginia Beach City ,Newtown Elementary,Mathematics,67.82%,710,No Exact Location,"Newtown Elementary, Virginia Beach City , VA"
2011-2012,Rockingham County ,Broadway High,Mathematics,67.83%,940,No Exact Location,"Broadway High, Rockingham County , VA"
2011-2012,Surry County ,Luther P. Jackson Middle,Mathematics,67.83%,9997,No Exact Location,"Luther P. Jackson Middle, Surry County , VA"
2011-2012,Loudoun County ,Algonkian Elementary,Mathematics,67.87%,2203,No Exact Location,"Algonkian Elementary, Loudoun County , VA"
2011-2012,Suffolk City ,John F. Kennedy Middle,Mathematics,67.94%,360,No Exact Location,"John F. Kennedy Middle, Suffolk City , VA"
2011-2012,Fairfax County ,Belvedere Elementary,Mathematics,67.97%,720,No Exact Location,"Belvedere Elementary, Fairfax County , VA"
2011-2012,Warren County ,Warren County Middle,Mathematics,67.99%,1010,No Exact Location,"Warren County Middle, Warren County , VA"
2011-2012,Fauquier County ,Warrenton Middle,Mathematics,68.05%,1010,No Exact Location,"Warrenton Middle, Fauquier County , VA"
2011-2012,Henrico County ,Laburnum Elementary,Mathematics,68.06%,580,No Exact Location,"Laburnum Elementary, Henrico County , VA"
2011-2012,Rockingham County ,Spotswood High,Mathematics,68.07%,8888,No Exact Location,"Spotswood High, Rockingham County , VA"
2011-2012,Fairfax County ,Parklawn Elementary,Mathematics,68.10%,570,No Exact Location,"Parklawn Elementary, Fairfax County , VA"
2011-2012,Fairfax County ,Deer Park Elementary,Mathematics,68.16%,2204,No Exact Location,"Deer Park Elementary, Fairfax County , VA"
2011-2012,Roanoke City ,James Madison Middle,Mathematics,68.17%,800,No Exact Location,"James Madison Middle, Roanoke City , VA"
2011-2012,Franklin County ,Ferrum Elementary,Mathematics,68.18%,780,No Exact Location,"Ferrum Elementary, Franklin County , VA"
2011-2012,Loudoun County ,Loudoun County High,Mathematics,68.18%,9997,No Exact Location,"Loudoun County High, Loudoun County , VA"
2011-2012,Hanover County ,Beaverdam Elementary,Mathematics,68.18%,550,No Exact Location,"Beaverdam Elementary, Hanover County , VA"
2011-2012,York County ,Grafton High,Mathematics,68.19%,1031,No Exact Location,"Grafton High, York County , VA"
2011-2012,Orange County ,Locust Grove Elementary,Mathematics,68.22%,9997,No Exact Location,"Locust Grove Elementary, Orange County , VA"
2011-2012,Radford City ,Belle Heth Elementary,Mathematics,68.28%,1730,No Exact Location,"Belle Heth Elementary, Radford City , VA"
2011-2012,Frederick County ,Armel Elementary,Mathematics,68.29%,110,No Exact Location,"Armel Elementary, Frederick County , VA"
2011-2012,Prince William County ,Lake Ridge Elementary,Mathematics,68.32%,580,No Exact Location,"Lake Ridge Elementary, Prince William County , VA"
2011-2012,Suffolk City ,Kilby Shores Elementary,Mathematics,68.48%,690,No Exact Location,"Kilby Shores Elementary, Suffolk City , VA"
2011-2012,Montgomery County ,Christiansburg Elementary,Mathematics,68.52%,100,No Exact Location,"Christiansburg Elementary, Montgomery County , VA"
2011-2012,Fairfax County ,Cameron Elementary,Mathematics,68.55%,620,No Exact Location,"Cameron Elementary, Fairfax County , VA"
2011-2012,Lynchburg City ,Paul Munro Elementary,Mathematics,68.61%,70,No Exact Location,"Paul Munro Elementary, Lynchburg City , VA"
2011-2012,Powhatan County ,Pocahontas Middle,Mathematics,68.61%,70,No Exact Location,"Pocahontas Middle, Powhatan County , VA"
2011-2012,Prince William County ,Loch Lomond Elementary,Mathematics,68.64%,9997,No Exact Location,"Loch Lomond Elementary, Prince William County , VA"
2011-2012,Fairfax County ,Garfield Elementary,Mathematics,68.65%,30,No Exact Location,"Garfield Elementary, Fairfax County , VA"
2011-2012,Gloucester County ,Petsworth Elementary,Mathematics,68.66%,70,No Exact Location,"Petsworth Elementary, Gloucester County , VA"
2011-2012,Prince William County ,Featherstone Elementary,Mathematics,68.67%,780,No Exact Location,"Featherstone Elementary, Prince William County , VA"
2011-2012,Spotsylvania County ,Post Oak Middle,Mathematics,68.67%,70,No Exact Location,"Post Oak Middle, Spotsylvania County , VA"
2011-2012,Loudoun County ,Lovettsville Elementary,Mathematics,68.68%,9997,No Exact Location,"Lovettsville Elementary, Loudoun County , VA"
2011-2012,Prince William County ,Nokesville Elementary,Mathematics,68.70%,710,No Exact Location,"Nokesville Elementary, Prince William County , VA"
2011-2012,Westmoreland County ,Washington District Elementary,Mathematics,68.75%,1010,No Exact Location,"Washington District Elementary, Westmoreland County , VA"
2011-2012,Pittsylvania County ,Dan River Middle,Mathematics,68.76%,1700,No Exact Location,"Dan River Middle, Pittsylvania County , VA"
2011-2012,Prince William County ,Rippon Middle,Mathematics,68.77%,50,No Exact Location,"Rippon Middle, Prince William County , VA"
2011-2012,Stafford County ,Anthony Burns Elementary,Mathematics,68.77%,1360,No Exact Location,"Anthony Burns Elementary, Stafford County , VA"
2011-2012,Richmond City ,J.E.B. Stuart Elementary,Mathematics,68.79%,800,No Exact Location,"J.E.B. Stuart Elementary, Richmond City , VA"
2011-2012,Warren County ,Hilda J. Barbour Elementary,Mathematics,68.83%,540,No Exact Location,"Hilda J. Barbour Elementary, Warren County , VA"
2011-2012,Fairfax County ,Centreville High,Mathematics,68.85%,200,No Exact Location,"Centreville High, Fairfax County , VA"
2011-2012,Spotsylvania County ,Livingston Elementary,Mathematics,68.88%,330,No Exact Location,"Livingston Elementary, Spotsylvania County , VA"
2011-2012,Stafford County ,Stafford Middle,Mathematics,68.88%,871,No Exact Location,"Stafford Middle, Stafford County , VA"
2011-2012,Fairfax County ,Aldrin Elementary,Mathematics,68.92%,2203,No Exact Location,"Aldrin Elementary, Fairfax County , VA"
2011-2012,Fairfax County ,Groveton Elementary,Mathematics,68.92%,10,No Exact Location,"Groveton Elementary, Fairfax County , VA"
2011-2012,Warren County ,E. Wilson Morrison Elementary,Mathematics,68.93%,106,No Exact Location,"E. Wilson Morrison Elementary, Warren County , VA"
2011-2012,Radford City ,Radford High,Mathematics,68.94%,70,No Exact Location,"Radford High, Radford City , VA"
2011-2012,Fairfax County ,Terraset Elementary,Mathematics,68.98%,871,No Exact Location,"Terraset Elementary, Fairfax County , VA"
2011-2012,Mathews County ,Lee-Jackson Elementary,Mathematics,68.99%,970,No Exact Location,"Lee-Jackson Elementary, Mathews County , VA"
2011-2012,Loudoun County ,Steuart W. Weller Elementary,Mathematics,69.05%,871,No Exact Location,"Steuart W. Weller Elementary, Loudoun County , VA"
2011-2012,Richmond City ,John B. Cary Elementary,Mathematics,69.05%,800,No Exact Location,"John B. Cary Elementary, Richmond City , VA"
2011-2012,Prince William County ,George P. Mullen Elementary,Mathematics,69.08%,30,No Exact Location,"George P. Mullen Elementary, Prince William County , VA"
2011-2012,Portsmouth City ,Churchland Academy Elementary,Mathematics,69.08%,1050,No Exact Location,"Churchland Academy Elementary, Portsmouth City , VA"
2011-2012,Fairfax County ,Westfield High,Mathematics,69.12%,1010,No Exact Location,"Westfield High, Fairfax County , VA"
