School Year,Division,School,Subject Area,Pass Rate,School Code,Address,Correct
2011-2012,Chesapeake City ,Hugo A. Owens Middle,Mathematics,69.15%,600,"Hugo A. Owens Middle, 1997 Horseback Run, Chesapeake, VA, 23323",Exact Location
2011-2012,Bedford County ,Huddleston Elementary,Mathematics,52.48%,600,"Huddleston Elementary, 1027 Huddleston Drive, Huddleston, VA, 24104",Exact Location
2011-2012,Chesterfield County ,Hopkins Road Elementary,Mathematics,68.68%,600,"Hopkins Road Elementary, 6000 Hopkins Rd., Richmond, VA, 23234",Exact Location
2011-2012,Albemarle County ,Hollymead Elementary,Mathematics,79.78%,600,"Hollymead Elementary, 2775 Powell Creek Drive, Charlottesville, VA, 22911",Exact Location
2011-2012,Arlington County ,Hoffman-Boston Elementary,Mathematics,62.83%,540,"Hoffman-Boston Elementary, 1415 S Queen St, Arlington, VA, 22204",Exact Location
2011-2012,Carroll County ,Hillsville Elementary School,Mathematics,57.01%,540,"Hillsville Elementary School, 90 Patriot Lane, Hillsville, VA, 24343",Exact Location
2011-2012,Bristol City ,Highland View Elementary,Mathematics,32.22%,540,"Highland View Elementary, 1405 Eads St, Bristol, VA, 24201",Exact Location
2011-2012,Chesapeake City ,Hickory Middle,Mathematics,77.66%,540,"Hickory Middle, 1997 Hawk Blvd, Chesapeake, VA, 23322",Exact Location
2011-2012,Chesapeake City ,Hickory High,Mathematics,64.10%,540,"Hickory High, 1996 Hawk Blvd, Chesapeake, VA, 23322",Exact Location
2011-2012,Chesapeake City ,Hickory Elementary,Mathematics,80.21%,540,"Hickory Elementary, 109 Benefit Road, Chesapeake, VA, 23322",Exact Location
2011-2012,Arlington County ,Henry Elementary,Mathematics,84.66%,10,"Henry Elementary, 701 S Highland St, Arlington, VA, 22204",Exact Location
2011-2012,Franklin County ,Henry Elementary,Mathematics,69.70%,10,"Henry Elementary, 701 S Highland St, Arlington, VA, 22204",Exact Location
2011-2012,Dickenson County ,Haysi High,Mathematics,47.67%,10,"Haysi High, 196 Tiger Circle, Haysi, VA, 24256",Exact Location
2011-2012,Chesterfield County ,Harrowgate Elementary,Mathematics,71.16%,10,"Harrowgate Elementary, 15501 Harrowgate Rd., Chester, VA, 23831",Exact Location
2011-2012,Augusta County ,Guy K. Stump Elementary,Mathematics,65.06%,10,"Guy K. Stump Elementary, 115 Draft Ave, Stuarts Draft, VA, 24477",Exact Location
2011-2012,Arlington County ,Gunston Middle,Mathematics,66.30%,10,"Gunston Middle, 2700 S Lang St, Arlington, VA, 22206",Exact Location
2011-2012,Buchanan County ,Grundy High,Mathematics,64.84%,10,"Grundy High, 1300 Golden Wave Drive, Grundy, VA, 24614",Exact Location
2011-2012,Botetourt County ,Greenfield Elementary,Mathematics,71.63%,10,"Greenfield Elementary, 10751 Savoy Rd., Richmond, VA, 23235",Exact Location
2011-2012,Chesterfield County ,Greenfield Elementary,Mathematics,82.76%,10,"Greenfield Elementary, 10751 Savoy Rd., Richmond, VA, 23235",Exact Location
2011-2012,Chesapeake City ,Greenbrier Middle,Mathematics,70.74%,10,"Greenbrier Middle, 1016 Greenbrier Pkwy, Chesapeake, VA, 23320",Exact Location
2011-2012,Chesapeake City ,Greenbrier Intermediate,Mathematics,67.13%,10,"Greenbrier Intermediate, 1701 River Birch Run N, Chesapeake, VA, 23320",Exact Location
2011-2012,Charlottesville City ,Greenbrier Elementary,Mathematics,91.18%,10,"Greenbrier Elementary, 2228 Greenbrier Drive, Charlottesville, VA, 22901",Exact Location
2011-2012,Chesapeake City ,Great Bridge Middle,Mathematics,80.60%,1031,"Great Bridge Middle, 441 Battlefield Blvd S, Chesapeake, VA, 23322",Exact Location
2011-2012,Chesapeake City ,Great Bridge Intermediate,Mathematics,83.42%,1031,"Great Bridge Intermediate, 253 West Hanbury Rd, Chesapeake, VA, 23322",Exact Location
2011-2012,Chesapeake City ,Great Bridge High,Mathematics,62.91%,1031,"Great Bridge High, 301 West Hanbury Rd, Chesapeake, VA, 23322",Exact Location
2011-2012,Chesapeake City ,Grassfield High,Mathematics,77.02%,1031,"Grassfield High, 2007 Grizzly Trail, Chesapeake, VA, 23323",Exact Location
2011-2012,Chesapeake City ,Grassfield Elementary,Mathematics,75.45%,1031,"Grassfield Elementary, 2248 Averill Dr., Chesapeake, VA, 23323",Exact Location
2011-2012,Chesterfield County ,Grange Hall Elementary,Mathematics,83.67%,1031,"Grange Hall Elementary, 19301 Hull Street Rd., Moseley, VA, 23120",Exact Location
2011-2012,Bedford County ,Goodview Elementary,Mathematics,49.61%,870,"Goodview Elementary, 1374 Rivermont Academy Rd, Goodview, VA, 24095",Exact Location
2011-2012,Arlington County ,Glebe Elementary,Mathematics,83.51%,30,"Glebe Elementary, 1770 N. Glebe Road, Arlington, VA, 22207",Exact Location
2011-2012,Carroll County ,Gladeville Elementary School,Mathematics,63.70%,30,"Gladeville Elementary School, 3117 Glendale Rd, Galax, VA, 24333",Exact Location
2011-2012,Carroll County ,Gladesboro Elementary School,Mathematics,39.66%,30,"Gladesboro Elementary School, 7845 Snake Creek, Hillsville, VA, 24343",Exact Location
2011-2012,Chesapeake City ,Georgetown Primary,Mathematics,75.79%,30,"Georgetown Primary, 436 Providence Rd, Chesapeake, VA, 23325",Exact Location
2011-2012,Alexandria City ,George Washington Middle,Mathematics,60.37%,30,"George Washington Middle, 1005 Mt Vernon Ave, Alexandria, VA, 22301",Exact Location
2011-2012,Danville City ,George Washington High,Mathematics,58.21%,30,"George Washington High, 701 Broad St, Danville, VA, 24541",Exact Location
2011-2012,Alexandria City ,George Washington 2 Middle,Mathematics,48.31%,30,"George Washington 2 Middle, 1005 Mt. Vernon Avenue, Alexandria, VA, 22301",Exact Location
2011-2012,Chesapeake City ,George W. Carver Intermediate,Mathematics,52.18%,30,"George W. Carver Intermediate, 2601 Broad St, Chesapeake, VA, 23324",Exact Location
2011-2012,Alexandria City ,George Mason Elementary,Mathematics,70.40%,30,"George Mason Elementary, 2601 Cameron Mills Rd, Alexandria, VA, 22302",Exact Location
2011-2012,Richmond City ,George Mason Elementary,Mathematics,60.78%,30,"George Mason Elementary, 2601 Cameron Mills Rd, Alexandria, VA, 22302",Exact Location
2011-2012,Danville City ,Galileo Magnet High,Mathematics,77.33%,30,"Galileo Magnet High, 230 S. Ridge St., Danville, VA, 24541",Exact Location
2011-2012,Danville City ,G.L.H. Johnson Elementary,Mathematics,62.39%,30,"G.L.H. Johnson Elementary, 680 Arnett Blvd, Danville, VA, 24540",Exact Location
2011-2012,Chesapeake City ,G.A. Treakle Elementary,Mathematics,61.72%,30,"G.A. Treakle Elementary, 2500 Gilmerton Rd, Chesapeake, VA, 23323",Exact Location
2011-2012,Arlington County ,Francis Scott Key Elementary,Mathematics,78.24%,440,"Francis Scott Key Elementary, 2300 Key Blvd, Arlington, VA, 22201",Exact Location
2011-2012,Alexandria City ,Francis Hammond 3 Middle,Mathematics,43.35%,440,"Francis Hammond 3 Middle, 4646 Seminary Road, Alexandria, VA, 22304",Exact Location
2011-2012,Alexandria City ,Francis Hammond 2 Middle,Mathematics,52.98%,440,"Francis Hammond 2 Middle, 4646 Seminary Road, Alexandria, VA, 22304",Exact Location
2011-2012,Alexandria City ,Francis C. Hammond Middle,Mathematics,53.68%,440,"Francis C. Hammond Middle, 4646 Seminary Rd, Alexandria, VA, 22304",Exact Location
2011-2012,Augusta County ,Fort Defiance High,Mathematics,60.00%,440,"Fort Defiance High, 195 Fort Defiance Rd, Fort Defiance, VA, 24437",Exact Location
2011-2012,Bedford County ,Forest Middle,Mathematics,70.11%,440,"Forest Middle, 100 Ashwood Dr, Forest, VA, 24551",Exact Location
2011-2012,Danville City ,Forest Hills Elementary,Mathematics,86.99%,440,"Forest Hills Elementary, 155 Mountain View Ave, Danville, VA, 24541",Exact Location
2011-2012,Bedford County ,Forest Elementary,Mathematics,75.11%,440,"Forest Elementary, One Scholar Lane, Forest, VA, 24551",Exact Location
2011-2012,Culpeper County ,Floyd T. Binns Middle,Mathematics,72.80%,440,"Floyd T. Binns Middle, 205 Grandview Ave., Culpeper, VA, 22201",Exact Location
2011-2012,Culpeper County ,Farmington Elementary,Mathematics,76.21%,780,"Farmington Elementary, 500 Sunset Ln, Culpeper, VA, 22701",Exact Location
2011-2012,Carroll County ,Fancy Gap Elementary School,Mathematics,86.42%,780,"Fancy Gap Elementary School, 63 Winding Ridge Rd, Fancy Gap, VA, 24328",Exact Location
2011-2012,Chesterfield County ,Falling Creek Middle,Mathematics,54.49%,780,"Falling Creek Middle, 4724 Hopkins Rd., Richmond, VA, 23234",Exact Location
2011-2012,Chesterfield County ,Falling Creek Elementary,Mathematics,65.85%,780,"Falling Creek Elementary, 4800 Hopkins Rd., Richmond, VA, 23234",Exact Location
2011-2012,Buena Vista City ,F.W. Kling Jr. Elementary,Mathematics,29.17%,106,"F.W. Kling Jr. Elementary, 3400 Lombardy Ave, Buena Vista, VA, 24416",Exact Location
2011-2012,Chesterfield County ,Evergreen Elementary,Mathematics,78.72%,106,"Evergreen Elementary, 1701 Evergreen East Pkwy., Midlothian, VA, 23114",Exact Location
2011-2012,Charlotte County ,Eureka Elementary,Mathematics,79.47%,106,"Eureka Elementary, 315 Eureka School Rd, Keysville, VA, 23947",Exact Location
2011-2012,Chesterfield County ,Ettrick Elementary,Mathematics,52.08%,106,"Ettrick Elementary, 20910 Chesterfield Ave., Ettrick, VA, 23803",Exact Location
2011-2012,Essex County ,Essex Intermediate,Mathematics,56.26%,106,"Essex Intermediate, PO Box 609, Tappahannock, VA, 22560",Exact Location
2011-2012,Essex County ,Essex High,Mathematics,30.79%,106,"Essex High, PO Box 1006, Tappahannock, VA, 22560",Exact Location
2011-2012,Dickenson County ,Ervinton Elementary,Mathematics,65.43%,106,"Ervinton Elementary, 195 Ervinton Circle, Nora, VA, 24272",Exact Location
2011-2012,Chesterfield County ,Enon Elementary,Mathematics,86.31%,106,"Enon Elementary, 2001 E. Hundred Rd., Chester, VA, 23836",Exact Location
2011-2012,Buena Vista City ,Enderly Heights Elementary,Mathematics,35.00%,106,"Enderly Heights Elementary, 101 Woodland Ave, Buena Vista, VA, 24416",Exact Location
2011-2012,Culpeper County ,Emerald Hill Elementary,Mathematics,72.18%,106,"Emerald Hill Elementary, 11245 Rixeyville Rd, Culpeper, VA, 22701",Exact Location
2011-2012,Amherst County ,Elon Elementary,Mathematics,69.17%,106,"Elon Elementary, 147 Younger Dr, Madison Heights, VA, 24572",Exact Location
2011-2012,Chesterfield County ,Elizabeth Scott Elementary,Mathematics,84.00%,106,"Elizabeth Scott Elementary, 813 Beginners Trail Loop, Chester, VA, 23836",Exact Location
2011-2012,Chesterfield County ,Elizabeth Davis Middle,Mathematics,73.50%,106,"Elizabeth Davis Middle, 601 Corvus Court, Chester, VA, 23836",Exact Location
2011-2012,Chesapeake City ,Edwin W. Chittum Elementary,Mathematics,78.30%,106,"Edwin W. Chittum Elementary, 2008 Dock Landing Rd, Chesapeake, VA, 23321",Exact Location
2011-2012,Augusta County ,Edward G. Clymore Elementary,Mathematics,61.83%,106,"Edward G. Clymore Elementary, 184 Fort Defiance Rd, Fort Defiance, VA, 24437",Exact Location
2011-2012,Covington City ,Edgemont Primary,Mathematics,59.42%,106,"Edgemont Primary, 574 West Indian Valley Road, Covington, VA, 24426",Exact Location
2011-2012,Chesterfield County ,Ecoff Elementary,Mathematics,68.90%,106,"Ecoff Elementary, 5200 Ecoff Ave., Chester, VA, 23831",Exact Location
2011-2012,Culpeper County ,Eastern View High,Mathematics,43.83%,106,"Eastern View High, 16332 Cyclone Way, Culpeper, VA, 22701",Exact Location
2011-2012,Botetourt County ,Eagle Rock Elementary,Mathematics,64.00%,106,"Eagle Rock Elementary, 145 Eagles Nest Dr, Eagle Rock, VA, 24085",Exact Location
2011-2012,Arlington County ,Drew Model Elementary,Mathematics,62.90%,2010,"Drew Model Elementary, 3500 South 23rd Street, Arlington, VA, 22206",Exact Location
2011-2012,Alexandria City ,Douglas Macarthur Elementary,Mathematics,67.77%,220,"Douglas Macarthur Elementary, 1101 Janneys Ln, Alexandria, VA, 22302",Exact Location
2011-2012,Dinwiddie County ,Dinwiddie Middle,Mathematics,59.55%,2204,"Dinwiddie Middle, P O Box 340, Dinwiddie, VA, 23841",Exact Location
2011-2012,Dinwiddie County ,Dinwiddie Elementary,Mathematics,58.69%,2204,"Dinwiddie Elementary, 13811 Boydton Plank Rd, Dinwiddie, VA, 23841",Exact Location
2011-2012,Chesapeake City ,Deep Creek Middle,Mathematics,63.98%,450,"Deep Creek Middle, 1955 Deal Dr, Chesapeake, VA, 23323",Exact Location
2011-2012,Chesapeake City ,Deep Creek High,Mathematics,61.39%,450,"Deep Creek High, 2900 Margaret Booker Dr, Chesapeake, VA, 23323",Exact Location
2011-2012,Chesapeake City ,Deep Creek Elementary,Mathematics,64.44%,450,"Deep Creek Elementary, 2809 Forehand Dr, Chesapeake, VA, 23323",Exact Location
2011-2012,Chesapeake City ,Deep Creek Central Elementary,Mathematics,69.59%,450,"Deep Creek Central Elementary, 2448 Shipyard Rd, Chesapeake, VA, 23323",Exact Location
2011-2012,Clarke County ,D.G. Cooley Elementary,Mathematics,55.64%,1700,"D.G. Cooley Elementary, 34 Westwood Rd, Berryville, VA, 22611",Exact Location
2011-2012,Cumberland County ,Cumberland Middle,Mathematics,54.09%,1600,"Cumberland Middle, PO Box 184, Cumberland, VA, 23040",Exact Location
2011-2012,Cumberland County ,Cumberland High,Mathematics,35.84%,1600,"Cumberland High, PO Box 140, Cumberland, VA, 23040",Exact Location
2011-2012,Cumberland County ,Cumberland Elementary,Mathematics,43.18%,1600,"Cumberland Elementary, PO Box 190, Cumberland, VA, 23040",Exact Location
2011-2012,Culpeper County ,Culpeper Middle,Mathematics,74.22%,1600,"Culpeper Middle, 14300 Achievement Dr, Culpeper, VA, 22701",Exact Location
2011-2012,Culpeper County ,Culpeper County High,Mathematics,50.96%,1600,"Culpeper County High, 14240 Achievement Drive, Culpeper, VA, 22701",Exact Location
2011-2012,Albemarle County ,Crozet Elementary,Mathematics,65.33%,2020,"Crozet Elementary, 1407 Crozet Avenue, Crozet, VA, 22932",Exact Location
2011-2012,Chesapeake City ,Crestwood Middle,Mathematics,73.65%,870,"Crestwood Middle, 1420 Great Bridge Blvd, Chesapeake, VA, 23320",Exact Location
2011-2012,Chesapeake City ,Crestwood Intermediate,Mathematics,49.04%,870,"Crestwood Intermediate, 1240 Great Bridge Blvd, Chesapeake, VA, 23320",Exact Location
2011-2012,Chesterfield County ,Crestwood Elementary,Mathematics,71.76%,870,"Crestwood Elementary, 7600 Whittington Dr., Richmond, VA, 23225",Exact Location
2011-2012,Fairfax County ,Crestwood Elementary,Mathematics,53.47%,870,"Crestwood Elementary, 7600 Whittington Dr., Richmond, VA, 23225",Exact Location
2011-2012,Augusta County ,Craigsville Elementary,Mathematics,61.73%,1190,"Craigsville Elementary, 100 East First St, Craigsville, VA, 24430",Exact Location
2011-2012,Craig County ,Craig County High,Mathematics,55.78%,1190,"Craig County High, 25239 Craigs Creek Road, New Castle, VA, 24127",Exact Location
2011-2012,Covington City ,Covington High,Mathematics,39.15%,1190,"Covington High, 606 S. Lexington Avenue, Covington, VA, 24426",Exact Location
2011-2012,Buchanan County ,Council High,Mathematics,49.51%,1190,"Council High, 7802 Helen Henderson Hwy, Honaker, VA, 24260",Exact Location
2011-2012,Buchanan County ,Council Elementary/Middle,Mathematics,50.00%,1190,"Council Elementary/Middle, 7608 Helen Henderson Hwy, Honaker, VA, 24260",Exact Location
2011-2012,Chesterfield County ,Cosby High,Mathematics,73.89%,1190,"Cosby High, 14300 Fox Club Parkway, Midlothian, VA, 23112",Exact Location
2011-2012,Alexandria City ,Cora Kelly Magnet Elementary,Mathematics,71.25%,1190,"Cora Kelly Magnet Elementary, 3600 Commonwealth Ave, Alexandria, VA, 22305",Exact Location
2011-2012,Campbell County ,Concord Elementary,Mathematics,62.69%,191,"Concord Elementary, PO Box 95, Concord, VA, 24538",Exact Location
2011-2012,Colonial Heights City ,Colonial Heights Middle,Mathematics,75.55%,2347,"Colonial Heights Middle, 500 Conduit Rd, Colonial Heights, VA, 23834",Exact Location
2011-2012,Colonial Heights City ,Colonial Heights High,Mathematics,45.03%,2347,"Colonial Heights High, 3600 Conduit Rd, Colonial Heights, VA, 23834",Exact Location
2011-2012,Botetourt County ,Colonial Elementary,Mathematics,50.43%,2347,"Colonial Elementary, 2941 Webster Rd, Blue Ridge, VA, 24064",Exact Location
2011-2012,Colonial Beach ,Colonial Beach High,Mathematics,47.14%,2347,"Colonial Beach High, 100 First St., Colonial Beach, VA, 22443",Exact Location
2011-2012,Colonial Beach ,Colonial Beach Elementary,Mathematics,48.53%,2347,"Colonial Beach Elementary, 315 Douglas Ave., Colonial Beach, VA, 22443",Exact Location
2011-2012,Botetourt County ,Cloverdale Elementary,Mathematics,70.55%,1870,"Cloverdale Elementary, 833 Cougar Drive, Cloverdale, VA, 24077",Exact Location
2011-2012,Chesterfield County ,Clover Hill High,Mathematics,49.24%,1870,"Clover Hill High, 13301 Kelly Green Lane, Midlothian, VA, 23112",Exact Location
2011-2012,Chesterfield County ,Clover Hill Elementary,Mathematics,72.46%,1870,"Clover Hill Elementary, 5700 Woodlake Village Pkwy, Midlothian, VA, 23112",Exact Location
2011-2012,Dickenson County ,Clintwood High,Mathematics,41.76%,1870,"Clintwood High, 141 Greenwave Drive, Clintwood, VA, 24288",Exact Location
2011-2012,Alleghany County ,Clifton Middle,Mathematics,59.88%,1870,"Clifton Middle, 1000 Riverview Farm Road, Covington, VA, 24426",Exact Location
2011-2012,Clarke County ,Clarke County High,Mathematics,46.13%,1050,"Clarke County High, 627 Mosby Blvd., Berryville, VA, 22611",Exact Location
2011-2012,Charlottesville City ,Clark Elementary,Mathematics,58.90%,1050,"Clark Elementary, 1000 Belmont Avenue, Charlottesville, VA, 22902",Exact Location
2011-2012,Arlington County ,Claremont Immersion,Mathematics,78.61%,1050,"Claremont Immersion, 4700 S. Chesterfield Rd., Arlington, VA, 22206",Exact Location
2011-2012,Augusta County ,Churchville Elementary,Mathematics,56.88%,1050,"Churchville Elementary, 3710 Churchville Ave, Churchville, VA, 24421",Exact Location
2011-2012,Accomack County ,Chincoteague High,Mathematics,70.90%,100,"Chincoteague High, 4586 Main St, Chincoteague, VA, 23336",Exact Location
2011-2012,Accomack County ,Chincoteague Elementary,Mathematics,75.00%,100,"Chincoteague Elementary, 6078 Hallie Whealton Smith Dr, Chincoteague, VA, 23336",Exact Location
2011-2012,Chesterfield County ,Chesterfield Community High,Mathematics,12.89%,100,"Chesterfield Community High, 12400 Branders Bridge Road, Chester, VA, 23831",Exact Location
2011-2012,Charlottesville City ,Charlottesville High,Mathematics,48.11%,2445,"Charlottesville High, 1400 Melbourne Road, Charlottesville, VA, 22901",Exact Location
2011-2012,Charles City County ,Charles City County Middle,Mathematics,46.34%,2445,"Charles City County Middle, 10035 Courthouse Rd, Charles City, VA, 23030",Exact Location
2011-2012,Charles City County ,Charles City County High,Mathematics,34.34%,2445,"Charles City County High, 10039 Courthouse Rd, Charles City, VA, 23030",Exact Location
2011-2012,Charles City County ,Charles City County Elementary,Mathematics,44.69%,2445,"Charles City County Elementary, 10049 Courthouse Rd, Charles City, VA, 23030",Exact Location
2011-2012,Alexandria City ,Charles Barrett Elementary,Mathematics,65.56%,2445,"Charles Barrett Elementary, 1115 Martha Custis Dr, Alexandria, VA, 22302",Exact Location
2011-2012,Charlotte County ,Central Middle,Mathematics,70.72%,880,"Central Middle, PO Box 748, Charlotte Court House, VA, 23923",Exact Location
2011-2012,Amherst County ,Central Elementary,Mathematics,50.88%,880,"Central Elementary, 575 Union Hill Rd, Amherst, VA, 24521",Exact Location
2011-2012,Fluvanna County ,Central Elementary,Mathematics,65.61%,880,"Central Elementary, 575 Union Hill Rd, Amherst, VA, 24521",Exact Location
2011-2012,Rockbridge County ,Central Elementary,Mathematics,67.57%,880,"Central Elementary, 575 Union Hill Rd, Amherst, VA, 24521",Exact Location
2011-2012,Botetourt County ,Central Academy Middle,Mathematics,82.26%,880,"Central Academy Middle, 367 Poor Farm Rd, Fincastle, VA, 24090",Exact Location
2011-2012,Chesapeake City ,Cedar Road Elementary,Mathematics,80.43%,880,"Cedar Road Elementary, 1605 Cedar Rd, Chesapeake, VA, 23322",Exact Location
2011-2012,Augusta County ,Cassell Elementary,Mathematics,61.33%,2222,"Cassell Elementary, 1301 Rockfish Rd, Waynesboro, VA, 22980",Exact Location
2011-2012,Chesterfield County ,Carver Middle,Mathematics,64.74%,2222,"Carver Middle, 3800 Cougar Trail, Chester, VA, 23831",Exact Location
2011-2012,Carroll County ,Carroll County High,Mathematics,54.29%,1690,"Carroll County High, 100 Cavs Lane, Hillsville, VA, 24343",Exact Location
2011-2012,Caroline County ,Caroline Middle,Mathematics,57.42%,1690,"Caroline Middle, 13325 Devils Three Jump Road, Milford, VA, 22514",Exact Location
2011-2012,Caroline County ,Caroline High,Mathematics,45.11%,1690,"Caroline High, 19155 Rodgers Clark Blvd, Milford, VA, 22514",Exact Location
2011-2012,Arlington County ,Carlin Springs Elementary,Mathematics,70.89%,1690,"Carlin Springs Elementary, 5995 South 5th Road, Arlington, VA, 22204",Exact Location
2011-2012,Arlington County ,Campbell Elementary,Mathematics,67.81%,620,"Campbell Elementary, 737 S. Carlin Springs Rd., Arlington, VA, 22204",Exact Location
2011-2012,Chesapeake City ,Camelot Elementary,Mathematics,53.62%,1940,"Camelot Elementary, 2901 Guenevere Dr, Chesapeake, VA, 23323",Exact Location
2011-2012,Fairfax County ,Camelot Elementary,Mathematics,87.27%,1940,"Camelot Elementary, 2901 Guenevere Dr, Chesapeake, VA, 23323",Exact Location
2011-2012,Alleghany County ,Callaghan Elementary,Mathematics,52.27%,680,"Callaghan Elementary, 4018 Midland Trail, Covington, VA, 24426",Exact Location
2011-2012,Chesterfield County ,C.E. Curtis Elementary,Mathematics,74.64%,680,"C.E. Curtis Elementary, 3600 W Hundred Rd, Chester, VA, 23831",Exact Location
2011-2012,Chesterfield County ,C.C. Wells Elementary,Mathematics,75.29%,680,"C.C. Wells Elementary, 13101 S. Chester Rd., Chester, VA, 23831",Exact Location
2011-2012,Chesapeake City ,Butts Road Intermediate,Mathematics,85.08%,680,"Butts Road Intermediate, 1571 Mt Pleasant Rd, Chesapeake, VA, 23322",Exact Location
2011-2012,Charlottesville City ,Burnley-Moran Elementary,Mathematics,71.43%,310,"Burnley-Moran Elementary, 1300 Long Street, Charlottesville, VA, 22901",Exact Location
2011-2012,Charlottesville City ,Buford Middle,Mathematics,68.83%,700,"Buford Middle, 1000 Cherry Avenue, Charlottesville, VA, 22903",Exact Location
2011-2012,Augusta County ,Buffalo Gap High,Mathematics,56.12%,700,"Buffalo Gap High, 1800 Buffalo Gap Hwy, Swoope, VA, 24479",Exact Location
2011-2012,Buckingham County ,Buckingham County Middle,Mathematics,75.85%,2201,"Buckingham County Middle, 1184 High School Rd., Buckingham, VA, 23921",Exact Location
2011-2012,Buckingham County ,Buckingham County High,Mathematics,54.63%,2201,"Buckingham County High, 78 Knights Rd., Buckingham, VA, 23921",Exact Location
2011-2012,Botetourt County ,Buchanan Elementary,Mathematics,70.95%,2201,"Buchanan Elementary, 255 Schoolhouse Rd, Buchanan, VA, 24066",Exact Location
2011-2012,Brunswick County ,Brunswick High,Mathematics,29.34%,1790,"Brunswick High, 2171 Lawrenceville Plank Rd, Lawrenceville, VA, 23868",Exact Location
2011-2012,Albemarle County ,Brownsville Elementary,Mathematics,78.80%,1790,"Brownsville Elementary, 5870 Rockfish Gap Turnpike, Crozet, VA, 22932",Exact Location
2011-2012,Campbell County ,Brookville Middle,Mathematics,66.47%,1790,"Brookville Middle, 320 Bee Dr, Lynchburg, VA, 24502",Exact Location
2011-2012,Campbell County ,Brookville High,Mathematics,51.51%,1790,"Brookville High, 100 Laxton Rd, Lynchburg, VA, 24502",Exact Location
2011-2012,Campbell County ,Brookneal Elementary,Mathematics,60.70%,1790,"Brookneal Elementary, PO Box36, Brookneal, VA, 24528",Exact Location
2011-2012,Albemarle County ,Broadus Wood Elementary,Mathematics,61.60%,940,"Broadus Wood Elementary, 185 Buck Mountain Road, Earlysville, VA, 22936",Exact Location
2011-2012,Botetourt County ,Breckinridge Elementary,Mathematics,73.60%,1090,"Breckinridge Elementary, 331 Springwood Rd, Fincastle, VA, 24090",Exact Location
2011-2012,Clarke County ,Boyce Elementary,Mathematics,55.36%,2000,"Boyce Elementary, 119 W Main St, Boyce, VA, 22620",Exact Location
2011-2012,Caroline County ,Bowling Green Elementary,Mathematics,69.16%,2000,"Bowling Green Elementary, 16261 Richmond Turnpike, Bowling Green, VA, 22427",Exact Location
2011-2012,Bedford County ,Boonsboro Elementary,Mathematics,57.96%,2000,"Boonsboro Elementary, 1234 Eagle Circle, Lynchburg, VA, 24503",Exact Location
2011-2012,Chesterfield County ,Bon Air Elementary,Mathematics,78.00%,720,"Bon Air Elementary, 8701 Polk St, Bon Air, VA, 23235",Exact Location
2011-2012,Bedford County ,Body Camp Elementary,Mathematics,40.28%,720,"Body Camp Elementary, 1051 Elementary Way, Bedford, VA, 24523",Exact Location
2011-2012,Bland County ,Bland High,Mathematics,45.65%,720,"Bland High, 31 Rocket Drive, Bland, VA, 24315",Exact Location
2011-2012,Bland County ,Bland Elementary,Mathematics,59.64%,720,"Bland Elementary, 31 Rocket Drive, Bland, VA, 24315",Exact Location
2011-2012,Bedford County ,Big Island Elementary,Mathematics,69.39%,720,"Big Island Elementary, 1114 Schooldays Rd, Big Island, VA, 24526",Exact Location
2011-2012,Augusta County ,Beverley Manor Middle,Mathematics,58.85%,720,"Beverley Manor Middle, 58 Cedar Green Rd, Staunton, VA, 24401",Exact Location
2011-2012,Augusta County ,Beverley Manor Elementary,Mathematics,68.79%,720,"Beverley Manor Elementary, 116 Cedar Green Rd, Staunton, VA, 24401",Exact Location
2011-2012,Chesterfield County ,Beulah Elementary,Mathematics,70.91%,720,"Beulah Elementary, 4216 Beulah Rd, Richmond, VA, 23237",Exact Location
2011-2012,Chesterfield County ,Bettie Weaver Elementary,Mathematics,90.40%,720,"Bettie Weaver Elementary, 3600 James River Rd, Midlothian, VA, 23113",Exact Location
2011-2012,Chesterfield County ,Bensley Elementary,Mathematics,80.69%,720,"Bensley Elementary, 6600 Strathmore Rd, Richmond, VA, 23237",Exact Location
2011-2012,Albemarle County ,Benjamin F. Yancey Elementary,Mathematics,53.73%,720,"Benjamin F. Yancey Elementary, 7625 Porters Road, Esmont, VA, 22937",Exact Location
2011-2012,Chesterfield County ,Bellwood Elementary,Mathematics,83.51%,560,"Bellwood Elementary, 9536 Dawnshire Rd, Richmond, VA, 23237",Exact Location
2011-2012,Bedford County ,Bedford Middle,Mathematics,46.88%,550,"Bedford Middle, 503 Longwood Ave, Bedford, VA, 24523",Exact Location
2011-2012,Bedford County ,Bedford Elementary,Mathematics,52.63%,550,"Bedford Elementary, 806 Burks Hill Rd, Bedford, VA, 24523",Exact Location
2011-2012,Bath County ,Bath County High,Mathematics,53.85%,550,"Bath County High, 464 Charger Lane, Hot Springs, VA, 24445",Exact Location
2011-2012,Arlington County ,Barrett Elementary,Mathematics,77.12%,550,"Barrett Elementary, 4401 N Henderson Rd, Arlington, VA, 22203",Exact Location
2011-2012,Arlington County ,Barcroft Elementary,Mathematics,69.03%,550,"Barcroft Elementary, 625 S Wakefield St, Arlington, VA, 22204",Exact Location
2011-2012,Albemarle County ,Baker-Butler Elementary,Mathematics,65.09%,550,"Baker-Butler Elementary, 2740 Proffit Road, Charlottesville, VA, 22911",Exact Location
