School Year,Division,School,Subject Area,Pass Rate,School Code,Address,Correct
2011-2012,Loudoun County ,Legacy Elementary ,Mathematics,79.68%,970,"Legacy Elementary , Loudoun County , No Exact Location",No Exact Location
2011-2012,Loudoun County ,Mercer Middle ,Mathematics,67.98%,500,"Mercer Middle , Loudoun County , No Exact Location",No Exact Location
2011-2012,Loudoun County ,Newton-Lee Elementary ,Mathematics,85.75%,1020,"Newton-Lee Elementary , Loudoun County , No Exact Location",No Exact Location
2011-2012,Loudoun County ,Smart's Mill Middle ,Mathematics,70.37%,50,"Smart's Mill Middle , Loudoun County , No Exact Location",No Exact Location
2011-2012,Lynchburg City ,Dearington Elementary/Innovation ,Mathematics,40.91%,450,"Dearington Elementary/Innovation , Lynchburg City , No Exact Location",No Exact Location
2011-2012,Lynchburg City ,E.C. Glass High ,Mathematics,40.46%,106,"E.C. Glass High , Lynchburg City , No Exact Location",No Exact Location
2011-2012,Lynchburg City ,Paul Laurence Dunbar Middle for Innovation ,Mathematics,49.27%,70,"Paul Laurence Dunbar Middle for Innovation , Lynchburg City , No Exact Location",No Exact Location
2011-2012,Manassas City ,Grace E. Metz Middle ,Mathematics,49.81%,1031,"Grace E. Metz Middle , Manassas City , No Exact Location",No Exact Location
2011-2012,Martinsville City ,Albert Harris Elementary,Mathematics,47.13%,701,"Albert Harris Elementary, Martinsville City , No Exact Location",No Exact Location
2011-2012,Martinsville City ,Martinsville High,Mathematics,33.59%,500,"Martinsville High, Martinsville City , No Exact Location",No Exact Location
2011-2012,Martinsville City ,Martinsville Middle,Mathematics,61.93%,500,"Martinsville Middle, Martinsville City , No Exact Location",No Exact Location
2011-2012,Mecklenburg County ,LaCrosse Elementary ,Mathematics,51.50%,580,"LaCrosse Elementary , Mecklenburg County , No Exact Location",No Exact Location
2011-2012,New Kent County ,New Kent Elementary ,Mathematics,75.00%,1020,"New Kent Elementary , New Kent County , No Exact Location",No Exact Location
2011-2012,New Kent County ,New Kent High ,Mathematics,49.39%,1020,"New Kent High , New Kent County , No Exact Location",No Exact Location
2011-2012,New Kent County ,New Kent Middle ,Mathematics,73.43%,1020,"New Kent Middle , New Kent County , No Exact Location",No Exact Location
2011-2012,Newport News City ,Achievable Dream Middle/High ,Mathematics,31.19%,701,"Achievable Dream Middle/High , Newport News City , No Exact Location",No Exact Location
2011-2012,Newport News City ,B.C. Charles Elementary ,Mathematics,62.42%,1530,"B.C. Charles Elementary , Newport News City , No Exact Location",No Exact Location
2011-2012,Newport News City ,B.T. Washington Middle ,Mathematics,74.48%,1530,"B.T. Washington Middle , Newport News City , No Exact Location",No Exact Location
2011-2012,Newport News City ,George J. McIntosh Elementary ,Mathematics,55.45%,30,"George J. McIntosh Elementary , Newport News City , No Exact Location",No Exact Location
2011-2012,Newport News City ,J.M. Dozier Middle ,Mathematics,61.40%,800,"J.M. Dozier Middle , Newport News City , No Exact Location",No Exact Location
2011-2012,Newport News City ,L.F. Palmer Elementary ,Mathematics,57.25%,580,"L.F. Palmer Elementary , Newport News City , No Exact Location",No Exact Location
2011-2012,Newport News City ,R.O. Nelson Elementary ,Mathematics,81.14%,70,"R.O. Nelson Elementary , Newport News City , No Exact Location",No Exact Location
2011-2012,Norfolk City ,B.T. Washington High ,Mathematics,19.85%,1530,"B.T. Washington High , Norfolk City , No Exact Location",No Exact Location
2011-2012,Norfolk City ,Crossroads Elementary,Mathematics,68.25%,2020,"Crossroads Elementary, Norfolk City , No Exact Location",No Exact Location
2011-2012,Norfolk City ,Ghent Elementary,Mathematics,78.34%,30,"Ghent Elementary, Norfolk City , No Exact Location",No Exact Location
2011-2012,Norfolk City ,Lake Taylor High ,Mathematics,30.95%,580,"Lake Taylor High , Norfolk City , No Exact Location",No Exact Location
2011-2012,Norfolk City ,"P.B. Young, Sr. Elementary ",Mathematics,38.10%,570,"P.B. Young, Sr. Elementary , Norfolk City , No Exact Location",No Exact Location
2011-2012,Northampton County ,Northampton High,Mathematics,45.37%,760,"Northampton High, Northampton County , No Exact Location",No Exact Location
2011-2012,Norton City ,J.I. Burton High ,Mathematics,45.53%,800,"J.I. Burton High , Norton City , No Exact Location",No Exact Location
2011-2012,Orange County ,Gordon Barbour Elementary,Mathematics,77.27%,870,"Gordon Barbour Elementary, Orange County , No Exact Location",No Exact Location
2011-2012,Orange County ,Orange County High ,Mathematics,52.04%,570,"Orange County High , Orange County , No Exact Location",No Exact Location
2011-2012,Patrick County ,Meadows of Dan Elementary ,Mathematics,60.66%,500,"Meadows of Dan Elementary , Patrick County , No Exact Location",No Exact Location
2011-2012,Pittsylvania County ,Brosville Elementary ,Mathematics,75.86%,1790,"Brosville Elementary , Pittsylvania County , No Exact Location",No Exact Location
2011-2012,Portsmouth City ,Brighton Elementary ,Mathematics,51.45%,940,"Brighton Elementary , Portsmouth City , No Exact Location",No Exact Location
