Address,LEVEL,CODE,NAME,Title I Status,# Targets Passed/Eval,Classification,Marker_Type,"""TOTAL
POINTS
/100""
","% PROF
/30","SUBGROUP
GAPS
/30","PROG TO
2017 TARGET
/10","% IN
DISTINCTION
/5","STUDENT
GROWTH
/25","HS
GRADUATION
/20","HS SCALED SCORE
CHANGE
/5"
"E. G. Robertson School, 70 Nausauket Road, Warwick, RI 02886",Elementary School,35121,E. G. Robertson School, ,12/12,Typical,small_purple,59.00,17.00,24.00,5.00,3.00,10.00,,
"Curvin-McCabe School, 466 Cottage Street, Pawtucket, RI 02861",Elementary School,26116,Curvin-McCabe School,Y,15/18,Typical,small_purple,59.00,16.00,24.00,2.00,2.00,15.00,,
"Nathan Bishop Middle School, 101 Sessions Street, Providence, RI 02906",Middle School,28143,Nathan Bishop Middle School,Y,14/18,Typical,small_purple,59.67,12.00,18.00,10.00,3.00,16.67,,
"Lippitt School, 30 Almy Street, Warwick, RI 02886",Elementary School,35123,Lippitt School,Y,12/12,Typical,small_purple,59.67,15.00,21.00,4.00,3.00,16.67,,
"Metcalf School, 30 Nooseneck Hill Road, Exeter, RI 02822",Elementary School,97103,Metcalf School,Y,14/14,Typical,small_purple,59.83,17.00,18.00,8.00,3.50,13.33,,
"Suzanne M. Henseler Quidnessett Elementary School, 166 Mark Drive, North Kingstown, RI 02852",Elementary School,23113,Suzanne M. Henseler Quidnessett Elementa,Y,12/12,Typical,small_blue,60.00,17.00,19.50,5.00,3.50,15.00,,
"Francis J. Varieur School, 486 Pleasant Street, Pawtucket, RI 02860",Elementary School,26125,Francis J. Varieur School,Y,14/18,Typical,small_blue,60.00,15.00,24.00,3.00,3.00,15.00,,
"Burrillville Middle School, 2220 Broncos Highway, Harrisville, RI 02830",Middle School,03104,Burrillville Middle School, ,12/12,Typical,small_blue,60.00,14.00,18.00,10.00,3.00,15.00,,
"Arlington School, 155 Princess Avenue, Cranston, RI 02920",Elementary School,07125,Arlington School,Y,15/16,Typical,small_blue,60.17,17.00,22.50,2.00,2.00,16.67,,
"Richmond Elementary School, 190 Kingstown Road, Wyoming, RI 02898",Elementary School,98105,Richmond Elementary School, , 9/12,Typical,small_blue,60.33,22.00,24.00,2.00,4.00,8.33,,
"Edward R. Martin Middle School, 111 Brown Street, East Providence, RI 02914",Middle School,10109,Edward R. Martin Middle School, ,18/18,Typical,small_blue,60.50,14.00,19.50,9.00,3.00,15.00,,
"Glen Hills School, 50 Glen Hills Drive, Cranston, RI 02920",Elementary School,07128,Glen Hills School, ,12/12,Typical,small_blue,60.67,15.00,21.00,5.00,3.00,16.67,,
"Greenwood School, 93 Sharon Street, Warwick, RI 02886",Elementary School,35114,Greenwood School, ,12/12,Typical,small_blue,61.00,17.00,21.00,5.00,3.00,15.00,,
"Northern Lincoln Elementary School, 315 New River Road, Manville, RI 02838",Elementary School,17113,Northern Lincoln Elementary School,Y,12/12,Typical,small_blue,61.17,16.00,19.50,6.00,3.00,16.67,,
"Western Coventry School, 4588 Flat River Road, Coventry, RI 02816",Elementary School,06109,Western Coventry School, ,12/12,Typical,small_blue,61.50,16.00,21.00,6.00,3.50,15.00,,
"Narragansett Pier School, 235 South Pier Road, Narragansett, RI 02882",Middle School,20103,Narragansett Pier School, ,12/12,Typical,small_blue,61.50,18.00,19.50,5.00,4.00,15.00,,
"Leo A. Savoie School, 990 Mendon Road, Woonsocket, RI 02895",Elementary School,39120,Leo A. Savoie School,Y,14/14,Typical,small_blue,61.50,15.00,21.00,8.00,2.50,15.00,,
"Dr. Joseph A Whelan Elementary School, 1440 Mineral Spring Avenue, North Providence, RI 02904",Elementary School,24108,Dr. Joseph A Whelan Elementary School,Y, 9/12,Warning,small_blue,61.50,19.00,28.50,6.00,3.00,5.00,,
"Cranston High School East, 899 Park Avenue, Cranston, RI 02910",High School,07113,Cranston High School East, ,16/21,Typical,small_blue,61.83,14.00,22.50,7.00,2.00,,13.33,3.00
"West Kingston Elementary School, 3119 Ministerial Road, West Kingston, RI 02892",Elementary School,32112,West Kingston Elementary School,Y,10/10,Typical,small_blue,62.00,18.00,19.50,6.00,3.50,15.00,,
"Forest Park Elementary School, 50 Woodlawn Drive, North Kingstown, RI 02852",Elementary School,23110,Forest Park Elementary School, ,12/12,Typical,small_blue,62.00,19.00,21.00,4.00,3.00,15.00,,
"Westerly High School, 23 Ward Avenue, Westerly, RI 02891",High School,36104,Westerly High School, ,11/13,Typical,small_blue,62.17,15.00,19.50,7.00,2.00,,16.67,2.00
"Davisville Middle School, 200 School Street, North Kingstown, RI 02852",Middle School,23112,Davisville Middle School, ,12/12,Typical,small_blue,62.33,16.00,18.00,6.00,4.00,18.33,,
"Academy for Career Exploration (ACES), 130 Broadway, Providence, RI 02903",High School,28178,Academy for Career Exploration (ACES),Y, 9/ 9,Typical,small_blue,62.33,15.00,24.00,5.00,2.00,,13.33,3.00
"State Street School, 35 State Street, Westerly, RI 02891",Elementary School,36106,State Street School,Y,12/12,Typical,small_blue,62.50,19.00,21.00,9.00,3.50,10.00,,
"Nathanael Greene Middle School, 721 Chalkstone Avenue, Providence, RI 02908",Middle School,28145,Nathanael Greene Middle School,Y,18/18,Typical,small_blue,62.50,12.00,24.00,9.00,2.50,15.00,,
"M. Virginia Cunningham School, 40 Baldwin Street, Pawtucket, RI 02860",Elementary School,26121,M. Virginia Cunningham School,Y,20/20,Typical,small_blue,62.50,14.00,19.50,7.00,2.00,20.00,,
"Jamestown School-Lawn, 55 Lawn Avenue, Jamestown, RI 02835",Middle School,15101,Jamestown School-Lawn, , 8/ 8,Typical,small_blue,62.67,19.50,18.00,4.00,4.50,16.67,,
"Hope Highlands Elementary School, 300 Hope Road, Cranston, RI 02921",Elementary School,07134,Hope Highlands Elementary School, , 8/12,Typical,small_blue,62.67,17.00,24.00,2.00,3.00,16.67,,
"Steere Farm Elementary School, 915 Steere Farm Road, Pascoag, RI 02859",Elementary School,03105,Steere Farm Elementary School, ,12/12,Typical,small_blue,62.83,15.00,22.50,9.00,3.00,13.33,,
"Primrose Hill School, 60 Middle Highway, Barrington, RI 02806",Elementary School,01103,Primrose Hill School,Y, 4/ 6,Typical,small_blue,63.00,21.00,21.00,2.00,4.00,15.00,,
"Anthony Carnevale Elementary School, 50 Springfield Street, Providence, RI 02909",Elementary School,28181,Anthony Carnevale Elementary School,Y,20/20,Typical,small_blue,63.00,14.00,24.00,8.00,2.00,15.00,,
"Tiverton Middle School, 10 Quintal Drive, Tiverton, RI 02878",Middle School,33110,Tiverton Middle School, ,12/12,Typical,small_blue,63.17,18.00,21.00,9.00,3.50,11.67,,
"Aquidneck School, 70 Reservoir Avenue, Middletown, RI 02842",Elementary School,19106,Aquidneck School, ,12/12,Typical,small_blue,63.17,18.00,19.50,10.00,4.00,11.67,,
"Wakefield Elementary School, 101 High Street, Wakefield, RI 02879",Elementary School,32103,Wakefield Elementary School,Y,11/12,Typical,small_blue,63.50,19.00,22.50,3.00,4.00,15.00,,
"Peace Dale Elementary School, 109 Kersey Road, Peace Dale, RI 02879",Elementary School,32107,Peace Dale Elementary School, ,11/12,Typical,small_blue,63.67,20.00,22.50,5.00,4.50,11.67,,
"North Cumberland Middle School, 400 Nate Whipple Highway, Cumberland, RI 02864",Middle School,08116,North Cumberland Middle School, ,12/12,Typical,small_blue,63.83,18.00,21.00,8.00,3.50,13.33,,
"B.F. Norton Elementary School, 364 Broad Street, Cumberland, RI 02864",Elementary School,08107,B.F. Norton Elementary School,Y,15/16,Typical,small_blue,63.83,15.00,18.00,10.00,2.50,18.33,,
"Johnston Senior High School, 345 Cherry Hill Road, Johnston, RI 02919",High School,16112,Johnston Senior High School, , 9/15,Typical,small_blue,63.83,14.00,25.50,6.00,2.00,,13.33,3.00
"West Warwick Senior High School, 1 Webster Knight Drive, West Warwick, RI 02893",High School,38106,West Warwick Senior High School, , 2/13,Warning,small_blue,64.00,17.00,22.50,8.00,2.50,,10.00,4.00
"Portsmouth Middle School, 125 Jepson Lane, Portsmouth, RI 02871",Middle School,27112,Portsmouth Middle School, ,14/14,Typical,small_blue,64.00,18.00,19.50,7.00,4.50,15.00,,
"Middletown High School, 130 Valley Road, Middletown, RI 02842",High School,19111,Middletown High School, ,13/13,Typical,small_blue,64.33,20.00,19.50,6.00,3.00,,13.33,2.50
"Highlander Charter School, 42 Lexington Avenue, Providence, RI 02907",Middle School,28601,Highlander Charter School,Y,14/16,Typical,small_blue,64.50,14.00,24.00,4.00,2.50,20.00,,
"Scituate Middle School, 94 Trimtown Road, North Scituate, RI 02857",Middle School,30105,Scituate Middle School, ,12/12,Typical,small_blue,64.67,16.00,18.00,10.00,4.00,16.67,,
"Lincoln Senior High School, 135 Old River Road, Lincoln, RI 02865",High School,17110,Lincoln Senior High School, ,13/13,Typical,small_blue,64.67,16.00,18.00,8.00,3.00,,16.67,3.00
"Broad Rock Middle School, 351 Broad Rock Road, Wakefield, RI 02879",Middle School,32114,Broad Rock Middle School, ,12/12,Typical,small_blue,64.83,17.00,15.00,10.00,4.50,18.33,,
"Stone Hill School, 21 Village Avenue, Cranston, RI 02920",Elementary School,07127,Stone Hill School, ,10/10,Typical,small_blue,65.00,19.00,24.00,4.00,3.00,15.00,,
"Narragansett Elementary School, 55 Mumford Road, Narragansett, RI 02882",Elementary School,20102,Narragansett Elementary School,Y,12/12,Typical,small_blue,65.00,20.00,21.00,10.00,4.00,10.00,,
"Joseph H. Gaudet School, 1113 Aquidneck Avenue, Middletown, RI 02842",Middle School,19114,Joseph H. Gaudet School,Y,18/18,Typical,small_blue,65.00,16.00,21.00,5.00,3.00,20.00,,
"Frank E. Thompson Middle School, 55 Broadway, Newport, RI 02840",Middle School,21106,Frank E. Thompson Middle School, ,18/18,Typical,small_blue,65.00,13.00,15.00,9.00,3.00,25.00,,
"Toll Gate High School, 575 Centerville Road, Warwick, RI 02886",High School,35138,Toll Gate High School, ,10/13,Typical,small_blue,65.17,16.00,24.00,2.00,3.00,,16.67,3.50
"Joseph L. McCourt Middle School, 45 Highland Avenue, Cumberland, RI 02864",Middle School,08115,Joseph L. McCourt Middle School, ,14/14,Typical,small_blue,65.50,16.00,16.50,10.00,3.00,20.00,,
"Exeter-West Greenwich Regional Junior High, 930 Nooseneck Hill Road, West Greenwich, RI 02817",Middle School,97105,Exeter-West Greenwich Regional  Junior H, ,10/10,Typical,small_blue,65.50,16.00,16.50,10.00,3.00,20.00,,
"Garden City School, 70 Plantations Drive, Cranston, RI 02920",Elementary School,07122,Garden City School, ,14/14,Typical,small_blue,65.67,18.00,21.00,2.00,3.00,21.67,,
"Kickemuit Middle School, 525 Child Street, Warren, RI 02885",Middle School,96112,Kickemuit Middle School, ,12/12,Typical,small_blue,65.67,17.00,19.50,9.00,3.50,16.67,,
"Narragansett High School, 245 South Pier Road, Narragansett, RI 02882",High School,20104,Narragansett High School, , 6/10,Typical,small_blue,65.97,16.80,20.00,6.00,3.50,,16.67,3.00
"North Smithfield Elementary School, 2214 Providence Pike, North Smithfield, RI 02896",Elementary School,25110,North Smithfield Elementary School,Y,12/12,Typical,small_blue,66.00,20.00,21.00,2.00,3.00,20.00,,
"Washington Oak School, 801 Read School House Road, Coventry, RI 02816",Elementary School,06121,Washington Oak School, ,12/12,Typical,small_blue,66.17,18.00,24.00,9.00,3.50,11.67,,
"Harold F. Scott School, 833 Centerville Road, Warwick, RI 02886",Elementary School,35135,Harold F. Scott School, ,12/12,Typical,small_blue,66.17,18.00,22.50,6.00,3.00,16.67,,
"Robert F. Kennedy Elementary School, 195 Nelson Street, Providence, RI 02908",Elementary School,28138,Robert F. Kennedy Elementary School,Y,16/16,Typical,small_blue,66.50,14.00,24.00,6.00,2.50,20.00,,
"Burrillville High School, 425 East Avenue, Harrisville, RI 02830",High School,03109,Burrillville High School, , 6/ 9,Typical,small_blue,66.67,16.50,24.00,5.00,2.50,,16.67,2.00
"Archie R. Cole Middle School, 100 Cedar Avenue, East Greenwich, RI 02818",Middle School,09103,Archie R. Cole Middle School, ,10/12,Typical,small_blue,66.83,18.00,19.50,6.00,5.00,18.33,,
"East Greenwich High School, 300 Avenger Drive, East Greenwich, RI 02818",High School,09106,East Greenwich High School, , 9/ 9,Warning,small_blue,67.00,19.50,12.00,7.00,4.00,,20.00,4.50
"Coventry High School, 40 Reservoir Road, Coventry, RI 02816",High School,06119,Coventry High School, , 5/13,Typical,small_blue,67.17,16.00,22.50,5.00,3.00,,16.67,4.00
"Hampden Meadows School, 297 New Meadow Road, Barrington, RI 02806",Elementary School,01105,Hampden Meadows School, ,11/12,Typical,small_blue,67.50,19.00,19.50,4.00,5.00,20.00,,
"Springbrook Elementary School, 39 Springbrook Road, Westerly, RI 02891",Elementary School,36111,Springbrook Elementary School,Y,14/14,Typical,small_blue,67.67,20.00,22.50,10.00,3.50,11.67,,
"Cranston High School West, 80 Metropolitan Avenue, Cranston, RI 02920",High School,07126,Cranston High School West, ,15/15,Typical,small_blue,67.67,16.00,22.50,6.00,2.50,,16.67,4.00
"International Charter School, 334 Pleasant Street, Pawtucket, RI 02860",Elementary School,26601,International Charter School,Y,18/18,Typical,small_blue,68.00,17.00,24.00,10.00,2.00,15.00,,
"90 Harrison Ave, Newport, RI 02840",Elementary School,21114,William J. Underwood School,Y,10/10,Typical,small_blue,68.00,19.00,19.50,10.00,4.50,15.00,,
"Fogarty Memorial School, 736 Snake Hill Road, North Scituate, RI 02857",Elementary School,13103,Fogarty Memorial School, ,12/12,Typical,small_blue,68.00,19.00,22.50,8.00,3.50,15.00,,
"Flora S. Curtis Memorial School, 582 Benefit Street, Pawtucket, RI 02861",Elementary School,26115,Flora S. Curtis Memorial School,Y,16/16,Typical,small_blue,68.50,16.00,22.50,7.00,3.00,20.00,,
"Park View Middle School, 25 Park View Boulevard, Cranston, RI 02910",Middle School,07123,Park View Middle School, ,14/14,Typical,small_blue,68.67,17.00,22.50,10.00,2.50,16.67,,
"South Kingstown High School, 215 Columbia Street, Wakefield, RI 02879",High School,32108,South Kingstown High School, ,12/13,Typical,small_blue,68.83,20.00,19.50,9.00,3.50,,13.33,3.50
"Barrington Middle School, 261 Middle Highway, Barrington, RI 02806",Middle School,01108,Barrington Middle School, ,12/12,Typical,small_blue,68.83,23.00,22.50,5.00,5.00,13.33,,
"Woodridge School, 401 Budlong Road, Cranston, RI 02920",Elementary School,07121,Woodridge School, ,12/14,Typical,small_blue,69.00,18.00,22.50,4.00,4.50,20.00,,
"William Winsor School, 562 Putnam Pike, Smithfield, RI 02828",Elementary School,31103,William Winsor School, , 2/ 4,Typical,small_blue,69.29,24.00,20.79,5.00,4.50,15.00,,
"Dr. Harry L. Halliwell Memorial School, 358 Victory Highway, Slatersville, RI 02876",Elementary School,25106,Dr. Harry L. Halliwell Memorial School,Y,12/12,Typical,small_blue,69.33,18.00,21.00,8.00,4.00,18.33,,
"Chariho Regional High School, 453 Switch Road, Wood River Junction, RI 02894",High School,98101,Chariho Regional High School, ,12/13,Typical,small_blue,69.67,19.00,21.00,8.00,3.00,,16.67,2.00
"Cumberland High School, 2600 Mendon Road, Cumberland, RI 02864",High School,08114,Cumberland High School, , 5/13,Typical,small_blue,69.83,17.00,24.00,9.00,3.00,,13.33,3.50
"Western Hills Middle School, 400 Phenix Avenue, Cranston, RI 02920",Middle School,07129,Western Hills Middle School, ,14/14,Leading,measle_turquoise,70.00,19.00,22.50,10.00,3.50,15.00,,
"North Providence High School, 1828 Mineral Spring Avenue, North Providence, RI 02904",High School,24105,North Providence High School, ,13/15,Leading,measle_turquoise,70.17,16.00,22.50,8.00,3.00,,16.67,4.00
"Curtis Corner Middle School, 301 Curtis Corner Road, Wakefield, RI 02879",Middle School,32110,Curtis Corner Middle School, ,11/12,Leading,measle_turquoise,70.17,21.00,19.50,8.00,5.00,16.67,,
"50 Jenckes Hill Rd., Lincoln, RI",High School,17701,Wm. M. Davies Jr. Career-Technical  High,Y,15/17,Leading,measle_turquoise,70.33,21.00,24.00,6.00,2.50,,13.33,3.50
"Blackstone Valley Prep Middle School, 3 Fairlawn Way, Lincoln, RI 02865",Middle School,08602,Blackstone Valley Prep Middle School,Y,10/16,Leading,measle_turquoise,70.50,18.00,21.00,3.00,3.50,25.00,,
"Paul Cuffee Charter School, 459 Promenade Street, Providence, RI 02908",High School,28602,Paul Cuffee Charter School,Y,13/18,Leading,measle_turquoise,70.83,19.00,27.00,4.00,2.50,18.33,,
"Ashton School, 130 Scott Road, Cumberland, RI 02864",Elementary School,08112,Ashton School,Y,12/12,Leading,measle_turquoise,70.83,18.00,21.00,10.00,3.50,18.33,,
"Pocasset School, 242 Main Road, Tiverton, RI 02878",Elementary School,33107,Pocasset School,Y,12/12,Leading,measle_turquoise,71.00,22.00,25.50,10.00,3.50,10.00,,
"Hamilton Elementary School, 25 Salisbury Avenue, North Kingstown, RI 02852",Elementary School,23111,Hamilton Elementary School, ,12/12,Leading,measle_turquoise,71.33,20.00,24.00,10.00,4.00,13.33,,
"North Kingstown Senior High School, 150 Fairway Drive, North Kingstown, RI 02852",High School,23108,North Kingstown Senior High School, ,13/13,Leading,measle_turquoise,71.67,20.00,19.50,9.00,3.00,,16.67,3.50
"The Greene School, 94 John Potter Road, West Greenwich, RI 02817",High School,97601,The Greene School, , 4/ 4,Leading,measle_turquoise,72.00,24.00,,6.00,3.00,,,3.00
"Portsmouth High School, 120 Education Lane, Portsmouth, RI 02871",High School,27106,Portsmouth High School, ,11/13,Leading,measle_turquoise,72.00,21.00,22.50,2.00,3.50,,20.00,3.00
"Myron J. Francis Elementary School, 64 Bourne Avenue, Rumford, RI 02916",Elementary School,10125,Myron J. Francis Elementary School, ,12/12,Leading,measle_turquoise,72.00,18.00,24.00,6.00,4.00,20.00,,
"Barrington High School, 220 Lincoln Avenue, Barrington, RI 02806",High School,01106,Barrington High School, ,10/11,Leading,measle_turquoise,72.00,23.00,21.00,2.00,3.50,,20.00,2.50
"Hope Elementary School, 391 North Road, Hope, RI 02831",Elementary School,30102,Hope Elementary School,Y, 8/ 8,Leading,measle_turquoise,72.33,21.00,24.00,10.00,4.00,13.33,,
"Old County Road School, 200 Old County Road, Smithfield, RI 02917",Elementary School,31104,Old County Road School,Y,12/12,Leading,measle_turquoise,72.38,21.00,21.71,9.00,4.00,16.67,,
"Times2 Academy, 50 Fillmore Street, Providence, RI 02908",High School,28170,Times2 Academy,Y,17/17,Leading,measle_turquoise,72.50,17.00,24.00,6.00,2.00,15.00,20.00,3.50
"Ponaganset Middle School, 7 Rustic Hill Road, North Scituate, RI 02857",Middle School,99101,Ponaganset Middle School,Y,12/12,Leading,measle_turquoise,73.00,18.00,21.00,10.00,4.00,20.00,,
"Ponaganset High School, 137 Anan Wade Road, North Scituate, RI 02857",High School,99102,Ponaganset High School, , 5/ 9,Leading,measle_turquoise,73.17,21.00,21.00,6.00,3.50,,16.67,5.00
"Dunn's Corners School, 8 1/2 Plateau Road, Westerly, RI 02891",Elementary School,36109,Dunn's Corners School, ,12/12,Leading,measle_turquoise,73.17,23.00,25.50,9.00,4.00,11.67,,
"Randall Holden School, 61 Hoxsie Avenue, Warwick, RI 02889",Elementary School,35124,Randall Holden School, ,12/12,Leading,measle_turquoise,73.33,21.00,27.00,9.00,3.00,13.33,,
"Nayatt School, 400 Nayatt Road, Barrington, RI 02806",Elementary School,01104,Nayatt School, , 8/ 8,Leading,measle_turquoise,73.50,24.00,24.00,3.00,5.00,17.50,,
"Trinity Academy for the Performing Arts, 158 Messer Street, Providence, RI 02909",High School,28606,Trinity Academy for the Performing Arts,Y,0,Leading,measle_turquoise,73.89,18.00,27.00,7.39,1.50,20.00,,
"The Learning Community Charter School, 21 Lincoln Avenue, Central Falls, RI 02863",Middle School,04601,The Learning Community Charter School,Y,16/16,Leading,measle_turquoise,74.00,18.00,28.50,10.00,2.50,15.00,,
"RI Nurses Institute Middle College Charter High School, 150 washington Street, Providence, RI 02903",High School,28607,RI Nurses Institute Middle College Chart,Y,0,Leading,measle_turquoise,74.62,19.50,27.00,,2.00,,,
"Mt. Hope High School, 199 Chestnut Street, Bristol, RI 02809",High School,96107,Mt. Hope High School, ,11/11,Leading,measle_turquoise,74.67,20.00,21.00,10.00,3.00,,16.67,4.00
"BEACON Charter School, 320 Main Street, Woonsocket, RI 02895",High School,39601,BEACON Charter School,Y, 5/ 9,Leading,measle_turquoise,75.00,18.00,30.00,2.00,3.00,,20.00,2.00
"Jamestown School-Melrose, 76 Melrose Avenue, Jamestown, RI 02835",Elementary School,15102,Jamestown School-Melrose,Y,10/10,Leading,measle_turquoise,75.00,21.00,25.50,10.00,3.50,15.00,,
"James H. Eldredge El. School, 101 First Avenue, East Greenwich, RI 02818",Elementary School,09102,James H. Eldredge El. School,Y, 6/ 6,Leading,measle_turquoise,75.00,22.50,24.00,9.00,4.50,15.00,,
"Hope Valley Elementary School, 15 Thelma Drive, Hope Valley, RI 02832",Elementary School,98107,Hope Valley Elementary School, , 8/ 8,Leading,measle_turquoise,75.50,24.00,27.00,10.00,4.50,10.00,,
"Wilbur and McMahon Schools, 28 Commons, Little Compton, RI 02837",Middle School,18101,Wilbur and McMahon Schools,Y,12/12,Leading,measle_turquoise,75.67,21.00,24.00,10.00,4.00,16.67,,
"North Smithfield Middle School, 1850 Providence Pike, North Smithfield, RI 02896",Middle School,25109,North Smithfield Middle School, ,12/12,Leading,measle_turquoise,75.67,22.00,22.50,10.00,4.50,16.67,,
"Sowams Elementary School, 364 Sowams Road, Barrington, RI 02806",Elementary School,01109,Sowams Elementary School, , 4/ 4,Leading,measle_turquoise,75.71,27.00,22.71,2.00,4.00,20.00,,
"John J. McLaughlin Cumberland Hill School, 205 Manville Hill Road, Cumberland, RI 02864",Elementary School,08110,John J. McLaughlin Cumberland Hill Schoo, ,12/12,Leading,measle_turquoise,75.83,20.00,24.00,10.00,3.50,18.33,,
"Matunuck School, 380 Matunuck Beach Road, Wakefield, RI 02879",Elementary School,32113,Matunuck School, ,10/10,Leading,measle_turquoise,76.50,24.00,24.00,9.00,4.50,15.00,,
"Howard Hathaway School, 53 Tallman Avenue, Portsmouth, RI 02871",Elementary School,27104,Howard Hathaway School,Y,12/12,Leading,measle_turquoise,76.50,21.00,24.00,10.00,4.00,17.50,,
"Chariho Regional Middle School, 455B Switch Road, Wood River Junction, RI 02894",Middle School,98103,Chariho Regional Middle School,Y,12/12,Leading,measle_turquoise,76.50,20.00,22.50,10.00,4.00,20.00,,
"Rogers High School, 15 Wickham Road, Newport, RI 02840",High School,21111,Rogers High School, , 8/11,Leading,measle_turquoise,76.83,19.50,27.00,10.00,2.50,,13.33,4.50
"George Hanaford School, 200 Middle Road, East Greenwich, RI 02818",Elementary School,09108,George Hanaford School, , 8/ 8,Leading,measle_turquoise,76.83,22.50,24.00,7.00,5.00,18.33,,
"Jacqueline M. Walsh School for the Performing and Visual Arts, 350 Divison Street, Pawtucket, RI 02860-4502",High School,26109,Jacqueline M. Walsh School for the Perfo,Y, 5/ 5,Commended,measle_turquoise,77.00,19.50,30.00,2.00,2.00,,20.00,3.50
"Captain Isaac Paine Elementary School, 160 Foster Center Road, Foster, RI 02825",Elementary School,12101,Captain Isaac Paine Elementary School,Y, 6/ 8,Commended,measle_turquoise,77.00,22.50,27.00,9.00,3.50,15.00,,
"Scituate High School, 94 Trimtown Road, North Scituate, RI 02857",High School,30104,Scituate High School, , 3/ 5,Commended,measle_turquoise,77.14,27.00,23.14,2.00,3.00,,20.00,2.00
"Wickford Middle School, 250 Tower Hill Road, North Kingstown, RI 02852",Middle School,23105,Wickford Middle School, , 6/ 6,Commended,measle_turquoise,77.50,22.50,24.00,6.00,5.00,20.00,,
"Brown Avenue School, 14 Brown Avenue, Johnston, RI 02919",Elementary School,16106,Brown Avenue School, ,12/12,Commended,measle_turquoise,78.00,21.00,28.50,10.00,3.50,15.00,,
"Orchard Farms Elementary School, 1555 Scituate Avenue, Cranston, RI 02921",Elementary School,07136,Orchard Farms Elementary School, ,12/12,Commended,measle_turquoise,78.83,22.00,25.50,9.00,4.00,18.33,,
"Blackstone Valley Prep Elementary School, 291 Broad Street, Cumberland, RI 02864",Elementary School,08601,Blackstone Valley Prep Elementary School,Y,0,Commended,measle_turquoise,79.23,21.00,27.00,,3.50,,,
"Clayville Elementary School, 3 George Washington Highway, Clayville, RI 02815",Elementary School,30103,Clayville Elementary School, ,10/10,Commended,small_yellow,80.17,22.00,28.50,10.00,3.00,16.67,,
"Stony Lane Elementary School, 825 Stony Lane, North Kingstown, RI 02852",Elementary School,23114,Stony Lane Elementary School, ,12/12,Commended,small_yellow,80.33,24.00,28.50,5.00,4.50,18.33,,
"North Smithfield High School, 412 Greenville Road, North Smithfield, RI 02896",High School,25108,North Smithfield High School, , 5/ 5,Commended,small_yellow,80.48,27.00,24.14,9.00,3.00,,13.33,4.00
"Rockwell School, 1225 Hope Street, Bristol, RI 02809",Elementary School,96106,Rockwell School, , 8/ 8,Commended,small_yellow,81.67,22.50,30.00,8.00,4.50,16.67,,
"Fort Barton School, 99 Lawton Avenue, Tiverton, RI 02878",Elementary School,33106,Fort Barton School, , 8/ 8,Commended,small_yellow,82.00,27.00,30.00,10.00,5.00,10.00,,
"Anna M. McCabe School, 100 Pleasant View Avenue, Smithfield, RI 02917",Elementary School,31105,Anna M. McCabe School, , 4/ 4,Commended,small_yellow,82.14,24.00,24.64,10.00,3.50,20.00,,
"Blackstone Academy Charter School, 334 Pleasant Street, Pawtucket, RI 02860",High School,26602,Blackstone Academy Charter School,Y, 7/ 7,Commended,small_yellow,82.17,21.00,30.00,8.00,2.50,,16.67,4.00
"Community School, 15 Arnold Mills Road, Cumberland, RI 02864",Elementary School,08109,Community School, ,12/12,Commended,small_yellow,83.50,22.00,27.00,10.00,4.50,20.00,,
"Charlestown Elementary School, 363 Carolina Back Road, Charlestown, RI 02813",Elementary School,98104,Charlestown Elementary School, ,12/12,Commended,small_yellow,84.67,22.00,28.50,9.00,3.50,21.67,,
"Oak Lawn School, 36 Stoneham Street, Cranston, RI 02920",Elementary School,07103,Oak Lawn School, , 8/ 8,Commended,small_yellow,85.33,21.00,27.00,10.00,4.00,23.33,,
"Exeter-West Greenwich Regional High School, 930 Nooseneck Hill Road, West Greenwich, RI 02817",High School,97106,Exeter-West Greenwich Regional High Scho, , 5/ 5,Commended,small_yellow,85.71,27.00,25.71,6.00,3.00,,20.00,4.00
"Kingston Hill Academy, 850 Stony Fort Road, Saunderstown, RI 02874",Elementary School,32601,Kingston Hill Academy,Y,12/12,Commended,small_yellow,85.83,22.00,25.50,10.00,5.00,23.33,,
"Block Island School, High Street, Block Island, RI 02807-1890",High School,22101,Block Island School,Y, 4/ 4,Commended,small_yellow,85.95,30.00,25.79,10.00,3.50,16.67,,
"Stephen Olney School, 1378 Douglas Avenue, North Providence, RI 02904",Elementary School,24106,Stephen Olney School, ,12/12,Commended,small_yellow,88.00,24.00,30.00,10.00,4.00,20.00,,
"The Compass School, 537 Old North Road, Kingston, RI 02881",Middle School,23601,The Compass School,Y,10/10,Commended,small_green,90.83,28.00,30.00,10.00,4.50,18.33,,
"Smithfield Senior High School, 90 Pleasant View Avenue, Smithfield, RI 02917",High School,31107,Smithfield Senior High School, , 9/ 9,Commended,small_green,91.00,25.50,27.00,10.00,3.50,,20.00,5.00
"Classical High School, 770 Westminster Street, Providence, RI 02903",High School,28164,Classical High School,Y,15/15,Commended,small_green,94.00,27.00,30.00,10.00,3.50,,20.00,3.50
