Address,CDS,RTYPE,STYPEleMiddle Schoolentary,SPED,SIZE,CHARTER,SNAME,DNAME,Table,CNAME,INCLUDE,VALID,API12B,ST_RANK,SIM_RANK,GR_TARG,API_TARG,AA_NUM,AA_SIG,AA_API,AA_GT,AA_TARG,AI_NUM,AI_SIG,AI_API,AI_GT,AI_TARG,AS_NUM,AS_SIG,AS_API,AS_GT,AS_TARG,FI_NUM,FI_SIG,FI_API,FI_GT,FI_TARG,HI_NUM,HI_SIG,HI_API,HI_GT,HI_TARG,PI_NUM,PI_SIG,PI_API,PI_GT,PI_TARG,WH_NUM,WH_SIG,WH_API,WH_GT,WH_TARG,MR_NUM,MR_SIG,MR_API,MR_GT,MR_TARG,SD_NUM,SD_SIG,SD_API,SD_GT,SD_TARG,EL_NUM,EL_SIG,EL_API,EL_GT,EL_TARG,DI_NUM,DI_SIG,DI_API,DI_GT,DI_TARG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,PCT_MR,MEALS,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,YR_RND,CBMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,PEN_2,PEN_35,PEN_6,PEN_78,PEN_91,ENROLL,PARENT_OPT,TESTED,SCI,VCST_E28,PCST_E28,VCST_E91,PCST_E91,CW_CSTE,VCST_M28,PCST_M28,VCST_M91,PCST_M91,CW_CSTM,VCST_S28,PCST_S28,VCST_S91,PCST_S91,CWS_91,VCST_H28,PCST_H28,VCST_H91,PCST_H91,CW_CSTH,VCHS_E91,PCHS_E91,CW_CHSE,VCHS_M91,PCHS_M91,CW_CHSM,TOT_28,TOT_91,CW_SCI,VCST_LS10,PCST_LS10,CWM2_28,VCSTM2_28,PCSTM2_28,CWM2_91,VCSTM2_91,PCSTM2_91,CWS2_91,VCSTS2_91,PCSTS2_91,IRG5
"Sierra Vista Elementary, 253 East 14th Street, Upland, CA, 91786",36750696037261,S,Elementary,,,,Sierra Vista Elementary,Upland Unified,3,San Bernardino,1,267,870,8,10,A,A,20,No,837,,,7,No,,,,16,No,910,,,4,No,,,,125,Yes,826,A,A,2,No,,,,92,Yes,927,A,A,1,No,,,,139,Yes,846,A,A,40,No,859,,,30,No,770,,,8,2,6,1,48,1,33,0,52,13,0,14,7,10,No,92,96,27,30,N/A,97,5,17,44,25,10,3.17,,,24,54,21,0,0,292,1,291,179.1948616,267,128.160,0,0.000,57.2,265,84.800,0,0.000,37.9,55,11.000,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,223.96,0.00,4.9,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Sycamore Elementary, 1075 West 13th Street, Upland, CA, 91786",36750696037279,S,Elementary,,,,Sycamore Elementary,Upland Unified,3,San Bernardino,1,320,873,8,6,A,A,17,No,819,,,1,No,,,,25,No,915,,,2,No,,,,161,Yes,854,A,A,2,No,,,,100,Yes,902,A,A,12,No,825,,,150,Yes,837,A,A,55,Yes,877,A,A,55,No,736,,,5,0,8,1,51,1,30,4,47,10,0,12,8,15,No,96,96,20,29,N/A,99,2,14,44,28,11,3.33,,,23,58,19,0,0,337,2,335,182.9520526,320,153.600,0,0.000,56.7,320,102.400,0,0.000,37.8,74,14.800,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,270.80,0.00,5.5,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Joan MacQueen Middle, 2001 Tavern Road, Alpine, CA, 91901",37679676037535,S,Middle School,,,,Joan MacQueen Middle,Alpine Union Elementary,3,San Diego,1,671,864,8,6,A,A,3,No,,,,20,No,744,,,8,No,,,,6,No,,,,144,Yes,814,A,A,2,No,,,,466,Yes,887,A,A,18,No,852,,,157,Yes,802,A,A,44,No,793,,,85,No,652,,,1,3,1,1,21,0,69,3,24,10,0,2,4,12,No,96,96,N/A,31,26,96,4,13,40,21,22,3.44,,,0,0,32,68,0,703,3,698,182.8779235,670,321.600,0,0.000,51.8,669,214.080,0,0.000,34.5,211,42.200,0,0.000,0.0,212,42.400,0,0.000,6.8,0,0.000,0.0,0,0.000,0.0,620.28,0.00,6.8,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Norman L. Sullivan Middle, 7350 West Lilac Road, Bonsall, CA, 92003-5112",37679756108567,S,Middle School,,,,Norman L. Sullivan Middle,Bonsall Union Elementary,3,San Diego,1,461,870,8,10,A,A,11,No,837,,,22,No,662,,,13,No,959,,,11,No,977,,,169,Yes,811,A,A,0,No,,,,224,Yes,928,A,A,11,No,865,,,178,Yes,799,1,800,133,Yes,804,A,A,67,No,671,,,2,4,3,2,36,0,50,3,37,10,6,18,11,14,No,93,93,N/A,24,23,55,12,14,30,27,17,3.24,,,0,0,32,68,0,497,0,497,175.9060671,461,221.280,0,0.000,50.7,461,147.520,0,0.000,33.8,170,34.000,0,0.000,0.0,167,33.400,0,0.000,7.7,0,0.000,0.0,0,0.000,0.0,436.20,0.00,7.8,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Los Coches Creek Middle, 9669 Dunbar Lane, El Cajon, CA, 92021",37679910111005,S,Middle School,,,,Los Coches Creek Middle,Cajon Valley Union,3,San Diego,1,744,866,8,8,A,A,18,No,719,,,1,No,,,,4,No,,,,4,No,,,,212,Yes,836,A,A,4,No,,,,463,Yes,880,A,A,24,No,920,,,265,Yes,816,A,A,96,No,769,,,110,Yes,699,5,704,2,0,1,1,29,1,61,3,36,15,0,6,9,15,No,97,97,N/A,28,30,95,5,25,36,23,11,3.10,,,0,0,30,70,0,772,0,769,180.5058361,744,357.120,0,0.000,51.2,744,238.080,0,0.000,34.1,259,51.800,0,0.000,0.0,255,51.000,0,0.000,7.3,0,0.000,0.0,0,0.000,0.0,698.00,0.00,7.4,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Rancho San Diego Elementary, 12151 Calle Albara, El Cajon, CA, 92019-4825",37679916106025,S,Elementary,,,,Rancho San Diego Elementary,Cajon Valley Union,3,San Diego,1,351,872,8,6,A,A,17,No,736,,,1,No,,,,13,No,889,,,5,No,,,,61,Yes,848,A,A,3,No,,,,230,Yes,888,A,A,5,No,,,,115,Yes,848,A,A,95,Yes,811,A,A,48,No,730,,,5,0,4,1,17,1,65,2,31,14,0,24,3,14,No,96,97,24,27,N/A,90,5,20,34,29,12,3.24,,,26,74,0,0,0,366,1,365,182.8982847,351,168.480,0,0.000,56.4,350,112.000,0,0.000,37.5,91,18.200,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,298.68,0.00,6.1,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Jamacha Elementary, 2962 Jamul Drive, El Cajon, CA, 92019-4640",37679916110787,S,Elementary,,,,Jamacha Elementary,Cajon Valley Union,3,San Diego,1,277,888,8,9,A,A,22,No,811,,,1,No,,,,7,No,,,,1,No,,,,65,Yes,888,A,A,3,No,,,,158,Yes,892,A,A,7,No,,,,108,Yes,836,A,A,79,Yes,873,A,A,42,No,735,,,9,0,2,1,24,1,55,2,38,14,0,20,9,16,No,96,96,23,26,N/A,92,4,20,32,27,17,3.33,,,29,71,0,0,0,294,3,290,181.8265824,277,132.960,0,0.000,56.9,277,88.640,0,0.000,37.9,60,12.000,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,233.60,0.00,5.1,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Sunnyside Elementary, 5430 San Miguel Road, Bonita, CA, 91902-2209",37680236038012,S,Elementary,,,,Sunnyside Elementary,Chula Vista Elementary,3,San Diego,1,288,863,8,4,A,A,13,No,855,,,2,No,,,,6,No,,,,11,No,904,,,174,Yes,836,A,A,0,No,,,,77,Yes,903,A,A,4,No,,,,89,Yes,785,5,790,71,Yes,811,A,A,55,Yes,698,5,703,5,1,2,4,59,0,29,1,31,23,0,23,3,19,No,95,97,20,27,N/A,89,3,18,21,28,30,3.63,,,18,57,25,0,0,311,4,306,184.8257247,288,138.240,0,0.000,57.5,288,92.160,0,0.000,38.3,50,10.000,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,240.40,0.00,4.2,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Discovery Charter, 1100 Camino Biscay, Chula Vista, CA, 91910-7737",37680236111322,S,Elementary,,,D,Discovery Charter,Chula Vista Elementary,3,San Diego,1,547,884,8,7,A,A,19,No,867,,,2,No,,,,29,No,969,,,71,No,952,,,324,Yes,850,A,A,6,No,,,,91,Yes,927,A,A,3,No,,,,154,Yes,847,A,A,175,Yes,830,A,A,54,No,768,,,4,0,5,13,60,1,16,1,28,20,0,30,3,7,No,94,95,22,28,N/A,77,3,17,24,34,22,3.55,,,18,58,20,4,0,592,2,590,184.9865596,547,262.560,0,0.000,57.2,546,174.720,0,0.000,38.1,109,21.800,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,459.08,0.00,4.7,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Chula Vista Learning Community Charter, 590 K Street, Chula Vista, CA, 91911-1118",37680236115778,S,Elementary,,,D,Chula Vista Learning Community Charter,Chula Vista Elementary,3,San Diego,1,618,881,8,9,A,A,8,No,,,,1,No,,,,1,No,,,,1,No,,,,589,Yes,879,A,A,0,No,,,,18,No,907,,,0,No,,,,357,Yes,856,A,A,396,Yes,854,A,A,49,No,719,,,1,0,0,0,95,0,3,0,56,21,0,53,11,6,No,99,100,21,28,N/A,68,14,20,21,26,19,3.17,,,14,45,15,25,0,629,0,629,181.5127593,618,296.640,0,0.000,54.4,618,197.760,0,0.000,36.2,176,35.200,0,0.000,0.0,80,16.000,0,0.000,2.9,0,0.000,0.0,0,0.000,0.0,545.60,0.00,6.5,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Paul Ecke-Central Elementary, 185 Union Street, Encinitas, CA, 92024-2119",37680806038145,S,Elementary,,,,Paul Ecke-Central Elementary,Encinitas Union Elementary,3,San Diego,1,324,865,8,4,A,A,4,No,,,,5,No,,,,9,No,,,,2,No,,,,84,Yes,747,5,752,2,No,,,,213,Yes,907,A,A,5,No,,,,87,Yes,722,5,727,68,Yes,712,5,717,57,Yes,765,5,770,1,1,3,1,27,1,64,1,27,1,1,19,3,16,No,97,97,21,31,N/A,96,8,8,14,30,40,3.85,,,19,65,15,0,0,337,1,336,185.1154960,324,155.520,0,0.000,56.6,324,103.680,0,0.000,37.7,78,15.600,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,274.80,0.00,5.7,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Capri Elementary, 941 Capri Road, Encinitas, CA, 92024-1214",37680806066989,S,Elementary,,,,Capri Elementary,Encinitas Union Elementary,3,San Diego,1,449,879,8,4,A,A,1,No,,,,1,No,,,,8,No,,,,2,No,,,,148,Yes,785,5,790,0,No,,,,268,Yes,922,A,A,21,No,935,,,119,Yes,747,5,752,113,Yes,760,5,765,61,No,736,,,0,0,2,0,33,0,59,5,24,1,2,20,5,12,No,98,98,21,31,N/A,98,10,9,13,29,39,3.79,,,20,61,19,0,0,462,2,460,185.7125685,448,215.040,0,0.000,57.1,449,143.680,0,0.000,38.2,89,17.800,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,376.52,0.00,4.7,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Reidy Creek Elementary, 2869 North Broadway, Escondido, CA, 92026",37680980107862,S,Elementary,,,,Reidy Creek Elementary,Escondido Union,3,San Diego,1,450,865,8,4,A,A,12,No,769,,,2,No,,,,15,No,912,,,21,No,898,,,146,Yes,819,A,A,3,No,,,,251,Yes,889,A,A,0,No,,,,151,Yes,801,A,A,92,Yes,783,5,788,66,No,730,,,3,0,4,4,33,1,56,0,34,15,0,18,3,14,No,96,97,23,29,N/A,83,8,16,31,29,16,3.30,,,26,74,0,0,0,470,1,469,184.4881850,450,216.000,0,0.000,56.3,450,144.000,0,0.000,37.6,117,23.400,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,383.40,0.00,6.1,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"L. R. Green Elementary, 3115 Las Palmas Avenue, Escondido, CA, 92025",37680986107882,S,Elementary,,,,L. R. Green Elementary,Escondido Union,3,San Diego,1,477,878,8,4,A,A,9,No,,,,2,No,,,,38,No,803,,,15,No,984,,,151,Yes,804,A,A,2,No,,,,257,Yes,928,A,A,0,No,,,,156,Yes,802,A,A,106,Yes,815,A,A,71,No,789,,,2,0,8,3,32,0,54,0,33,17,0,18,4,14,No,97,97,18,20,N/A,96,9,12,24,32,22,3.48,,,26,74,0,0,0,491,0,491,185.9464951,477,228.960,0,0.000,55.9,477,152.640,0,0.000,37.2,141,28.200,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,409.80,0.00,6.9,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Mary Fay Pendleton Elementary, 110 Marine Drive, Oceanside, CA, 92058-8234",37681146038301,S,Elementary,,,,Mary Fay Pendleton Elementary,Fallbrook Union Elementary,3,San Diego,1,549,873,8,9,A,A,76,No,849,,,7,No,,,,6,No,,,,14,No,899,,,133,Yes,848,A,A,6,No,,,,274,Yes,891,A,A,33,No,851,,,187,Yes,841,A,A,17,No,864,,,63,No,721,,,14,1,1,3,25,1,50,6,27,13,0,2,1,10,No,92,92,28,33,N/A,96,8,27,37,26,2,2.86,,,23,47,14,15,0,600,0,599,179.2555444,549,263.520,0,0.000,56.3,549,175.680,0,0.000,37.5,111,22.200,0,0.000,0.0,34,6.800,0,0.000,1.5,0,0.000,0.0,0,0.000,0.0,468.20,0.00,4.7,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Iowa Street, 321 North Iowa Street, Fallbrook, CA, 92028-2108",37681146096911,S,Elementary,,,,Iowa Street,Fallbrook Union Elementary,3,San Diego,1,177,877,8,9,A,A,2,No,,,,0,No,,,,0,No,,,,2,No,,,,16,No,826,,,5,No,,,,151,Yes,885,A,A,1,No,,,,43,No,848,,,5,No,,,,8,No,,,,2,0,0,1,8,3,84,1,8,20,0,2,0,3,No,93,95,28,26,19,87,19,43,28,9,2,2.31,,,17,46,15,23,0,216,8,192,180.6345769,177,84.960,0,0.000,55.5,175,56.000,0,0.000,36.6,40,8.000,0,0.000,0.0,20,4.000,0,0.000,2.6,0,0.000,0.0,0,0.000,0.0,152.96,0.00,5.2,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Valhalla High, 1725 Hillsdale Road, El Cajon, CA, 92019-3742",37681303730066,S,High School,,,,Valhalla High,Grossmont Union High,3,San Diego,1,1457,819,8,6,A,A,65,No,742,,,10,No,,,,31,No,895,,,38,No,873,,,300,Yes,771,5,776,1,No,,,,1010,Yes,833,A,A,0,No,,,,394,Yes,740,5,745,320,Yes,691,5,696,138,Yes,588,11,599,5,1,2,3,21,0,68,0,24,37,0,13,15,10,No,97,98,N/A,N/A,32,89,8,19,27,24,21,3.31,,,0,0,0,0,100,1523,0,1509,176.8821974,0,0.000,1455,436.500,26.4,0,0.000,1423,284.600,17.2,0,0.000,1415,311.300,18.8,0,0.000,975,224.250,13.6,575,172.500,10.4,560,168.000,10.2,0.00,1651.85,3.0,499,49.900,0.0,0,0.000,0.2,34,3.400,0.1,28,1.400,
"West Hills High, 8756 Mast Boulevard, Santee, CA, 92071-2046",37681303730702,S,High School,,,,West Hills High,Grossmont Union High,3,San Diego,1,1399,812,8,3,A,A,37,No,733,,,16,No,841,,,21,No,807,,,40,No,873,,,242,Yes,766,5,771,10,No,,,,1033,Yes,822,A,A,0,No,,,,256,Yes,759,5,764,103,Yes,707,5,712,154,Yes,558,12,570,3,1,1,3,17,1,73,0,18,50,0,5,6,11,No,97,98,N/A,N/A,31,99,2,18,42,23,15,3.32,,,0,0,0,0,100,1453,0,1441,178.2382077,0,0.000,1399,419.700,27.7,0,0.000,1379,275.800,18.2,0,0.000,1062,233.640,15.4,0,0.000,936,215.280,14.2,516,154.800,10.2,512,153.600,10.1,0.00,1517.57,3.1,475,47.500,0.0,0,0.000,0.1,20,2.000,1.0,305,15.250,
"Helix High, 7323 University Avenue, La Mesa, CA, 91941-6055",37681303732732,S,High School,,,D,Helix High,Grossmont Union High,3,San Diego,1,1734,804,8,8,A,A,290,Yes,766,5,771,10,No,,,,84,No,867,,,25,No,792,,,749,Yes,791,5,796,34,No,746,,,371,Yes,849,A,A,168,Yes,824,A,A,1052,Yes,780,5,785,40,No,686,,,150,Yes,569,12,581,17,1,5,1,44,2,21,10,60,43,0,2,0,8,No,97,98,N/A,N/A,28,100,13,24,36,18,10,2.89,,,0,0,0,0,100,1815,1,1798,174.0848198,0,0.000,1725,517.500,26.9,0,0.000,1709,341.800,17.8,0,0.000,1655,364.100,19.0,0,0.000,1130,259.900,13.5,637,191.100,9.9,613,183.900,9.6,0.00,1920.95,3.0,585,58.500,0.0,0,0.000,0.1,23,2.300,0.1,37,1.850,
"Santana High, 9915 North Magnolia Avenue, Santee, CA, 92071-1903",37681303737905,S,High School,,,,Santana High,Grossmont Union High,3,San Diego,1,931,810,8,6,A,A,15,No,796,,,10,No,,,,7,No,,,,9,No,,,,151,Yes,736,5,741,7,No,,,,732,Yes,823,A,A,0,No,,,,172,Yes,737,5,742,82,No,656,,,100,No,569,,,2,1,1,1,16,1,78,0,19,49,0,6,4,11,No,96,97,N/A,N/A,26,96,3,23,45,19,11,3.13,,,0,0,0,0,100,981,3,970,176.4321574,0,0.000,931,279.300,28.2,0,0.000,879,175.800,17.7,0,0.000,581,127.820,12.9,0,0.000,593,136.390,13.8,360,108.000,10.9,363,108.900,11.0,0.00,990.66,3.3,325,32.500,0.0,0,0.000,0.5,50,5.000,1.7,339,16.950,
"Julian High, 1656 Highway 78, Julian, CA, 92036-0417",37681713733219,S,High School,,,,Julian High,Julian Union High,3,San Diego,1,112,807,8,7,A,A,0,No,,,,11,No,744,,,1,No,,,,1,No,,,,24,No,687,,,1,No,,,,73,Yes,856,A,A,0,No,,,,49,No,749,,,11,No,639,,,6,No,,,,0,9,1,1,21,1,65,1,41,19,0,4,6,7,No,96,96,N/A,N/A,20,92,15,27,25,15,19,2.97,,,0,0,0,0,100,119,0,117,174.6762450,0,0.000,112,33.600,27.3,0,0.000,98,19.600,15.9,0,0.000,75,16.500,13.4,0,0.000,78,17.940,14.6,46,13.800,11.2,48,14.400,11.7,0.00,122.89,3.3,41,4.100,0.0,0,0.000,1.1,14,1.400,1.3,31,1.550,
#N/A,37681890121061,S,Elementary,,S,D,Mandarin Language Academy,Lakeside Union Elementary,3,San Diego,1,27,864,8,,A,A,0,No,,,,2,No,,,,1,No,,,,1,No,,,,9,No,,,,0,No,,,,13,No,928,,,1,No,,,,8,No,,,,2,No,,,,0,No,,,,0,7,4,4,32,0,50,4,29,7,0,7,0,0,No,96,96,24,22,N/A,96,0,11,33,33,22,3.67,,,25,75,0,0,0,28,0,28,,27,12.960,0,0.000,60.0,27,8.640,0,0.000,40.0,0,0.000,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,21.60,0.00,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Riverview Elementary, 9308 Winter Gardens Boulevard, Lakeside, CA, 92040-4539",37681896038384,S,Elementary,,,,Riverview Elementary,Lakeside Union Elementary,3,San Diego,1,325,875,8,2,A,A,7,No,,,,3,No,,,,7,No,,,,1,No,,,,106,Yes,848,A,A,2,No,,,,194,Yes,888,A,A,5,No,,,,87,Yes,838,A,A,27,No,854,,,35,No,773,,,2,1,2,0,33,1,60,2,26,8,0,6,2,10,No,100,100,23,27,N/A,99,2,15,30,25,27,3.59,,,34,66,0,0,0,325,0,325,187.7670076,325,156.000,0,0.000,57.4,324,103.680,0,0.000,38.2,60,12.000,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,271.68,0.00,4.4,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"La Mesa Middle, 4200 Parks Avenue, La Mesa, CA, 91941-5214",37681976038491,S,Middle School,,,,La Mesa Middle,La Mesa-Spring Valley,3,San Diego,1,647,865,8,10,A,A,103,Yes,812,A,A,3,No,,,,37,No,909,,,16,No,896,,,260,Yes,854,A,A,4,No,,,,194,Yes,927,A,A,14,No,819,,,360,Yes,835,A,A,108,Yes,788,5,793,68,No,634,,,16,0,5,3,40,1,30,2,54,15,0,8,13,9,No,91,95,N/A,N/A,31,89,8,26,38,18,9,2.93,,,0,0,0,100,0,713,2,711,175.0644504,640,307.200,0,0.000,48.2,639,204.480,0,0.000,32.1,314,62.800,0,0.000,0.0,313,62.600,0,0.000,9.8,0,0.000,0.0,0,0.000,0.0,637.88,0.00,9.8,0,0.000,0.1,8,0.800,0.0,0,0.000,0.0,0,0.000,Y
"Lemon Avenue Elementary, 8787 Lemon Avenue, La Mesa, CA, 91941-5214",37681976038517,S,Elementary,,,,Lemon Avenue Elementary,La Mesa-Spring Valley,3,San Diego,1,419,875,8,8,A,A,18,No,826,,,2,No,,,,7,No,,,,4,No,,,,105,Yes,840,A,A,5,No,,,,240,Yes,894,A,A,38,No,875,,,142,Yes,806,A,A,22,No,789,,,45,No,702,,,5,0,2,2,27,1,55,9,34,13,0,5,2,8,No,93,96,28,33,N/A,92,2,21,38,25,14,3.27,,,22,59,20,0,0,453,7,446,182.0717625,419,201.120,0,0.000,57.0,419,134.080,0,0.000,38.0,89,17.800,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,353.00,0.00,5.0,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
#N/A,37682136085062,S,Elementary,,S,,Pine Valley Elementary,Mountain Empire Unified,3,San Diego,1,50,879,8,,A,A,0,No,,,,0,No,,,,0,No,,,,0,No,,,,9,No,,,,0,No,,,,0,No,,,,0,No,,,,20,No,801,,,1,No,,,,3,No,,,,0,0,0,0,19,0,2,0,40,0,0,2,0,6,No,96,96,22,N/A,N/A,100,2,13,46,29,10,3.31,,,56,44,0,0,0,52,0,52,,50,24.000,0,0.000,60.0,50,16.000,0,0.000,40.0,0,0.000,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,40.00,0.00,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Mt. Carmel High, 9550 Carmel Mountain Road, San Diego, CA, 92129-2799",37682963730074,S,High School,,,,Mt. Carmel High,Poway Unified,3,San Diego,1,1385,821,8,3,A,A,64,No,718,,,6,No,,,,221,Yes,886,A,A,172,Yes,821,A,A,181,Yes,733,5,738,11,No,735,,,676,Yes,834,A,A,54,No,818,,,254,Yes,744,5,749,162,Yes,681,6,687,151,Yes,625,9,634,5,0,16,12,13,1,49,4,17,13,0,6,12,11,No,97,98,N/A,N/A,36,92,4,8,19,38,32,3.87,,,0,0,0,0,100,1443,1,1433,179.8304690,0,0.000,1382,414.600,27.4,0,0.000,1357,271.400,17.9,0,0.000,1254,275.880,18.2,0,0.000,903,207.690,13.7,481,144.300,9.5,483,144.900,9.6,0.00,1512.67,3.1,464,46.400,0.0,0,0.000,0.2,28,2.800,0.3,94,4.700,
"Meadowbrook Middle, 12320 Meadowbrook Lane, Poway, CA, 92064-3599",37682966038988,S,Middle School,,,,Meadowbrook Middle,Poway Unified,3,San Diego,1,1219,874,8,2,A,A,47,No,853,,,8,No,,,,209,Yes,958,A,A,85,No,882,,,233,Yes,773,5,778,8,No,,,,596,Yes,886,A,A,33,No,892,,,304,Yes,776,5,781,250,Yes,786,5,791,146,Yes,667,7,674,4,1,17,7,19,1,49,3,24,13,0,11,13,10,No,97,97,N/A,30,34,89,4,8,20,35,33,3.83,,,0,0,34,66,0,1261,1,1259,187.2349378,1219,585.120,0,0.000,51.8,1215,388.800,0,0.000,34.4,387,77.400,0,0.000,0.0,387,77.400,0,0.000,6.9,0,0.000,0.0,0,0.000,0.0,1128.72,0.00,6.9,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Pomerado Elementary, 12321 Ninth Street, Poway, CA, 92064-3597",37682966039002,S,Elementary,,,,Pomerado Elementary,Poway Unified,3,San Diego,1,293,870,8,5,A,A,5,No,,,,1,No,,,,24,No,959,,,18,No,859,,,96,Yes,798,2,800,0,No,,,,139,Yes,904,A,A,10,No,,,,109,Yes,806,A,A,98,Yes,827,A,A,50,No,700,,,2,0,8,6,33,0,48,3,37,5,0,31,4,15,No,98,99,25,31,N/A,92,7,12,30,31,20,3.44,,,23,77,0,0,0,301,0,301,184.2080198,293,140.640,0,0.000,55.9,293,93.760,0,0.000,37.3,85,17.000,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,251.40,0.00,6.8,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Olive Peirce Middle, 1521 Hanson Lane, Ramona, CA, 92065-3306",37683046105563,S,Middle School,,,,Olive Peirce Middle,Ramona City Unified,3,San Diego,1,794,871,8,9,A,A,13,No,890,,,11,No,871,,,5,No,,,,1,No,,,,262,Yes,816,A,A,5,No,,,,488,Yes,897,A,A,2,No,,,,304,Yes,807,A,A,144,Yes,757,5,762,106,No,663,,,2,1,1,0,33,1,61,0,36,0,1,12,12,11,No,95,96,N/A,N/A,35,91,9,19,33,26,13,3.14,,,0,0,0,100,0,837,3,834,179.9906499,794,381.120,0,0.000,48.3,790,252.800,0,0.000,32.0,389,77.800,0,0.000,0.0,387,77.400,0,0.000,9.8,0,0.000,0.0,0,0.000,0.0,789.32,0.00,9.9,0,0.000,0.0,2,0.200,0.0,0,0.000,0.0,0,0.000,
"Ramona Community, 1010 Ramona Street, Ramona, CA, 92065-2207",37683046106264,S,Elementary,,,,Ramona Community,Ramona City Unified,3,San Diego,1,401,886,8,10,A,A,3,No,,,,5,No,,,,3,No,,,,0,No,,,,47,No,827,,,1,No,,,,309,Yes,898,A,A,1,No,,,,73,Yes,829,A,A,12,No,739,,,28,No,735,,,1,1,1,0,12,0,77,0,17,0,0,2,2,5,No,96,99,21,32,19,94,2,14,29,30,25,3.64,,,13,32,11,21,23,421,6,415,180.6343934,316,151.680,85,25.500,46.9,315,100.800,82,16.400,31.1,85,17.000,77,16.940,4.5,45,9.000,61,14.030,6.1,36,10.800,2.9,39,11.700,3.1,278.48,98.92,5.3,31,3.100,0.0,0,0.000,0.0,1,0.100,0.1,7,0.350,
