Address,CDS,RTYPE,STYPEleMiddle Schoolentary,SPED,SIZE,CHARTER,SNAME,DNAME,Table,CNAME,INCLUDE,VALID,API12B,ST_RANK,SIM_RANK,GR_TARG,API_TARG,AA_NUM,AA_SIG,AA_API,AA_GT,AA_TARG,AI_NUM,AI_SIG,AI_API,AI_GT,AI_TARG,AS_NUM,AS_SIG,AS_API,AS_GT,AS_TARG,FI_NUM,FI_SIG,FI_API,FI_GT,FI_TARG,HI_NUM,HI_SIG,HI_API,HI_GT,HI_TARG,PI_NUM,PI_SIG,PI_API,PI_GT,PI_TARG,WH_NUM,WH_SIG,WH_API,WH_GT,WH_TARG,MR_NUM,MR_SIG,MR_API,MR_GT,MR_TARG,SD_NUM,SD_SIG,SD_API,SD_GT,SD_TARG,EL_NUM,EL_SIG,EL_API,EL_GT,EL_TARG,DI_NUM,DI_SIG,DI_API,DI_GT,DI_TARG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,PCT_MR,MEALS,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,YR_RND,CBMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,PEN_2,PEN_35,PEN_6,PEN_78,PEN_91,ENROLL,PARENT_OPT,TESTED,SCI,VCST_E28,PCST_E28,VCST_E91,PCST_E91,CW_CSTE,VCST_M28,PCST_M28,VCST_M91,PCST_M91,CW_CSTM,VCST_S28,PCST_S28,VCST_S91,PCST_S91,CWS_91,VCST_H28,PCST_H28,VCST_H91,PCST_H91,CW_CSTH,VCHS_E91,PCHS_E91,CW_CHSE,VCHS_M91,PCHS_M91,CW_CHSM,TOT_28,TOT_91,CW_SCI,VCST_LS10,PCST_LS10,CWM2_28,VCSTM2_28,PCSTM2_28,CWM2_91,VCSTM2_91,PCSTM2_91,CWS2_91,VCSTS2_91,PCSTS2_91,IRG5
"La Quinta High, 79-255 Westward Ho Drive, La Quinta, CA, 92253",33670583330669,S,High School,,,,La Quinta High,Desert Sands Unified,3,Riverside,1,2141,832,9,10,A,A,56,No,826,,,7,No,,,,53,No,856,,,21,No,918,,,1282,Yes,802,A,A,1,No,,,,703,Yes,883,A,A,7,No,,,,1198,Yes,796,4,800,372,Yes,722,5,727,190,Yes,639,8,647,3,0,2,1,60,0,33,0,55,20,1,5,22,8,No,96,97,N/A,N/A,22,97,13,26,31,20,10,2.87,,,0,0,0,0,100,2235,1,2219,174.4137391,0,0.000,2131,639.300,26.9,0,0.000,2104,420.800,17.7,0,0.000,2080,457.600,19.2,0,0.000,1366,314.180,13.2,779,233.700,9.8,785,235.500,9.9,0.00,2380.63,3.1,749,74.900,0.0,0,0.000,0.1,35,3.500,0.0,23,1.150,
"Palm Desert Charter Middle, 74-200 Rutledge Way, Palm Desert, CA, 92260-2646",33670586031991,S,Middle School,,,Y,Palm Desert Charter Middle,Desert Sands Unified,3,Riverside,1,1237,888,9,10,A,A,20,No,857,,,4,No,,,,52,No,996,,,18,No,907,,,531,Yes,830,A,A,2,No,,,,576,Yes,929,A,A,32,No,909,,,615,Yes,833,A,A,229,Yes,754,5,759,97,No,737,,,2,0,4,1,44,0,46,3,49,13,0,5,21,6,No,97,97,N/A,24,21,93,11,18,29,25,17,3.18,,,0,0,34,66,0,1288,1,1285,180.9530477,1237,593.760,0,0.000,51.5,1237,395.840,0,0.000,34.3,408,81.600,0,0.000,0.0,408,81.600,0,0.000,7.1,0,0.000,0.0,0,0.000,0.0,1152.80,0.00,7.1,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Gerald R. Ford Elementary, 44-210 Warner Trail, Indian Wells, CA, 92210",33670586109789,S,Elementary,,,,Gerald R. Ford Elementary,Desert Sands Unified,3,Riverside,1,501,919,9,10,A,A,3,No,,,,4,No,,,,18,No,943,,,5,No,,,,186,Yes,872,A,A,2,No,,,,263,Yes,947,A,A,19,No,937,,,200,Yes,876,A,A,85,Yes,865,A,A,50,No,798,,,1,1,4,1,37,0,52,4,41,3,0,12,6,9,No,95,96,28,30,N/A,99,6,14,34,31,14,3.34,,,25,75,0,0,0,534,2,531,182.5277727,501,240.480,0,0.000,56.6,501,160.320,0,0.000,37.7,121,24.200,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,425.00,0.00,5.7,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"James Earl Carter Elementary, 74-251 Hovley Lane East, Palm Desert, CA, 92260",33670586113880,S,Elementary,,,,James Earl Carter Elementary,Desert Sands Unified,3,Riverside,1,434,911,9,10,A,A,7,No,,,,1,No,,,,28,No,970,,,4,No,,,,177,Yes,869,A,A,2,No,,,,195,Yes,935,A,A,18,No,966,,,237,Yes,882,A,A,128,Yes,865,A,A,55,No,830,,,2,0,6,1,41,1,45,4,55,4,0,21,8,11,No,94,95,25,28,N/A,99,10,20,30,25,15,3.15,,,26,74,0,0,0,463,0,462,180.2134564,434,208.320,0,0.000,56.7,434,138.880,0,0.000,37.8,102,20.400,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,367.60,0.00,5.5,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Cottonwood Elementary, 44260 Sage Road, Aguanga, CA, 92536-9696",33670826032080,S,Elementary,,,,Cottonwood Elementary,Hemet Unified,3,Riverside,1,188,902,9,10,A,A,2,No,,,,3,No,,,,6,No,,,,4,No,,,,69,Yes,881,A,A,0,No,,,,100,Yes,912,A,A,4,No,,,,141,Yes,890,A,A,35,No,850,,,23,No,833,,,1,1,3,2,35,0,56,2,73,6,0,14,3,13,No,94,96,30,21,20,100,18,31,36,9,6,2.55,,,16,35,13,36,0,201,0,200,173.0591630,188,90.240,0,0.000,53.0,188,60.160,0,0.000,35.3,66,13.200,0,0.000,0.0,34,6.800,0,0.000,4.0,0,0.000,0.0,0,0.000,0.0,170.40,0.00,7.7,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Idyllwild, 26700 State Highway 243, Idyllwild, CA, 92549-0097",33670826032114,S,Elementary,,,,Idyllwild,Hemet Unified,3,Riverside,1,193,900,9,10,A,A,0,No,,,,1,No,,,,3,No,,,,0,No,,,,51,Yes,882,A,A,2,No,,,,126,Yes,903,A,A,10,No,,,,115,Yes,871,A,A,15,No,867,,,28,No,851,,,0,1,1,0,26,1,65,5,60,5,0,7,0,13,No,96,97,27,15,18,100,15,22,37,17,8,2.80,,,15,45,14,26,0,202,0,202,176.0653807,193,92.640,0,0.000,55.3,193,61.760,0,0.000,36.9,43,8.600,0,0.000,0.0,22,4.400,0,0.000,2.6,0,0.000,0.0,0,0.000,0.0,167.40,0.00,5.1,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Oak Meadows Elementary, 28600 Poinsettia Street, Murrieta, CA, 92563-7429",33671160108639,S,Elementary,,,,Oak Meadows Elementary,Menifee Union Elementary,3,Riverside,1,569,891,9,10,A,A,60,No,887,,,7,No,,,,20,No,938,,,46,No,935,,,198,Yes,861,A,A,4,No,,,,234,Yes,902,A,A,0,No,,,,216,Yes,852,A,A,65,No,815,,,61,No,781,,,11,1,4,8,35,1,40,0,38,7,0,8,3,10,No,94,94,25,27,N/A,78,5,17,48,25,4,3.07,,,27,73,0,0,0,609,2,606,181.5403662,569,273.120,0,0.000,56.3,568,181.760,0,0.000,37.5,152,30.400,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,485.28,0.00,6.3,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Nuview Bridge Early College High, 30401 Reservoir Avenue, Nuevo, CA, 92567-9361",33671573331014,S,High School,,,Y,Nuview Bridge Early College High,Nuview Union,3,Riverside,1,339,843,9,9,A,A,20,No,847,,,0,No,,,,2,No,,,,5,No,,,,216,Yes,837,A,A,3,No,,,,91,Yes,854,A,A,1,No,,,,193,Yes,838,A,A,68,Yes,813,A,A,2,No,,,,6,0,1,1,63,1,27,1,55,3,0,1,30,1,No,99,99,N/A,N/A,25,90,21,32,31,12,4,2.46,,,0,0,0,0,100,347,5,342,175.9517953,0,0.000,337,101.100,28.8,0,0.000,338,67.600,19.2,0,0.000,299,65.780,18.7,0,0.000,190,43.700,12.4,103,30.900,8.8,104,31.200,8.9,0.00,351.23,2.8,98,9.800,0.0,0,0.000,0.0,1,0.100,0.3,21,1.050,
"California Military Institute, 755 North A Street, Perris, CA, 92570-1958",33672070101170,S,High School,,,Y,California Military Institute,Perris Union High,3,Riverside,1,709,856,9,10,A,A,42,No,821,,,1,No,,,,15,No,908,,,5,No,,,,597,Yes,855,A,A,0,No,,,,37,No,868,,,12,No,871,,,629,Yes,854,A,A,279,Yes,820,A,A,8,No,,,,6,0,2,1,84,0,6,2,87,3,0,14,38,1,No,96,97,N/A,26,27,100,22,30,32,12,5,2.49,,,0,7,16,40,37,736,0,736,176.4457208,446,214.080,263,78.900,41.7,446,142.720,256,51.200,27.6,192,38.400,261,57.420,8.2,139,27.800,147,33.810,8.8,82,24.600,3.5,84,25.200,3.6,423.00,280.03,6.6,81,8.100,0.0,0,0.000,0.1,7,0.700,0.0,2,0.100,
"Lake Mathews Elementary, 12252 Blackburn Road, Riverside, CA, 92503-7083",33672150100545,S,Elementary,,,,Lake Mathews Elementary,Riverside Unified,3,Riverside,1,546,909,9,9,A,A,35,No,849,,,1,No,,,,50,No,933,,,33,No,939,,,174,Yes,885,A,A,6,No,,,,231,Yes,929,A,A,0,No,,,,162,Yes,866,A,A,80,No,848,,,59,No,798,,,7,0,9,6,32,1,42,0,30,13,0,8,7,10,No,97,98,28,30,N/A,98,3,12,32,36,18,3.53,,,21,60,19,0,0,566,0,564,185.2468719,546,262.080,0,0.000,57.5,546,174.720,0,0.000,38.3,96,19.200,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,456.00,0.00,4.2,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
