School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,,CCRPI Score,address
2012,625,Chatham County,5060,Jenkins High School,"09, 10, 11, 12",H,42.9,8.8,8.4,0.5,1.2,1.7,small_purple,61.8,"Jenkins High School, 1800 E de Renne Ave , Savannah, GA, 31406-2148"
2012,625,Chatham County,3056,Groves High School,"09, 10, 11, 12",H,40.3,9.9,11.3,0,0.7,0.7,small_purple,62.2,"Groves High School, 100 Wheathill Rd , Garden City, GA, 31408-1642"
2012,644,DeKalb County,172,Cedar Grove High School,"09, 10, 11, 12",H,40.5,10.2,11.3,0,0.5,0.5,small_purple,62.5,"Cedar Grove High School, 2360 River Rd , Ellenwood, GA, 30294-1128"
2012,675,Henry County,295,Stockbridge High School,"09, 10, 11, 12",H,45.1,8,9.4,0,0.3,0.3,small_purple,62.8,"Stockbridge High School, 1151 Old Conyers Rd , Stockbridge, GA, 30281-2605"
2012,628,Cherokee County,194,Polaris Evening School,"09, 10, 11, 12",H,37.6,10.9,13.8,0,0.8,0.8,small_purple,63.1,"Polaris Evening School, 2010 Towne Lake Hills South Dr, Woodstock, GA, 30189-5288"
2012,667,Gwinnett County,1050,Berkmar High School,"09, 10, 11, 12",H,44,8.7,10.3,0,0.3,0.3,small_purple,63.3,"Berkmar High School, 405 Pleasant Hill Rd NW, Lilburn, GA, 30047-2733"
2012,644,DeKalb County,4054,Cross Keys High School,"09, 10, 11, 12",H,41.5,10,10.3,0.5,1.2,1.7,small_purple,63.5,"Cross Keys High School, 1626 N Druid Hills Rd NE, Atlanta, GA, 30319-4156"
2012,644,DeKalb County,3070,McNair High School,"09, 10, 11, 12",H,38.9,9.8,15,0,0,0,small_purple,63.7,"McNair High School, 1804 Bouldercrest Rd SE , Atlanta, GA, 30316-3902"
2012,660,Fulton County,5069,Westlake High School,"09, 10, 11, 12",H,43.7,8.6,11.3,0.5,0,0.5,small_purple,64.1,"Westlake High School, 2400 Union Rd SW, Atlanta, GA, 30331-8023"
2012,644,DeKalb County,176,Redan High School,"09, 10, 11, 12",H,43.5,9,10.3,0.5,0.9,1.4,small_purple,64.2,"Redan High School, 5247 Redan Rd, Stone Mountain, GA, 30088-2803"
2012,722,Rockdale County,192,Salem High School,"09, 10, 11, 12",H,46.6,8.5,8.4,0.5,0.3,0.8,small_purple,64.3,"Salem High School, 3551 Underwood Rd SE , Conyers, GA, 30013-2901"
2012,644,DeKalb County,202,Lithonia High School,"09, 10, 11, 12",H,41,9.8,12.2,0.5,1,1.5,small_purple,64.5,"Lithonia High School, 2440 Phillips Rd, Lithonia, GA, 30058-5374"
2012,710,Paulding County,2552,Paulding County High School,"09, 10, 11, 12",H,46.6,9.4,8.4,0,1,1,small_blue,65.4,"Paulding County High School, 1297 Villa Rica Hwy , Dallas, GA, 30157-7095"
2012,667,Gwinnett County,189,Phoenix High School,"09, 10, 11, 12",H,39.9,11.7,14.1,0,0,0,small_blue,65.7,"Phoenix High School, 501 W Pike St, Lawrenceville, GA, 30045-4301"
2012,608,Bartow County,114,New Cass High School,"09, 10, 11, 12",H,46.1,8.3,11.3,0,0.6,0.6,small_blue,66.3,"New Cass High School, 1000 Colonel Way NE, White, GA, 30184-2619"
2012,644,DeKalb County,1070,Tucker High School,"09, 10, 11, 12",H,48.5,9.5,7.5,0,0.8,0.8,small_blue,66.3,"Tucker High School, 5036 Lavista Rd , Tucker, GA, 30084-3500"
2012,667,Gwinnett County,2558,South Gwinnett High School,"09, 10, 11, 12",H,49.2,8.3,9.4,0,0.3,0.3,small_blue,67.2,"South Gwinnett High School, 2288 Main St E, Snellville, GA, 30078-3333"
2012,625,Chatham County,5070,Windsor Forest High School,"PK, 09, 10, 11, 12",H,43.2,9.8,11.3,0.5,2.5,3,small_blue,67.3,"Windsor Forest High School, 12419 Largo Dr , Savannah, GA, 31419-2056"
2012,675,Henry County,3050,Henry County High School,"09, 10, 11, 12",H,45.9,9.5,10.3,0,1.7,1.7,small_blue,67.4,"Henry County High School, 401 Tomlinson St, Mcdonough, GA, 30253-2412"
2012,629,Clarke County,5556,Clarke Central High School,"09, 10, 11, 12",H,46.3,9.4,10.3,0,1.8,1.8,small_blue,67.8,"Clarke Central High School, 350 S Milledge Ave, Athens, GA, 30605-1048"
2012,629,Clarke County,102,Cedar Shoals High School,"09, 10, 11, 12",H,44.1,8.9,13.1,0,1.8,1.8,small_blue,67.9,"Cedar Shoals High School, 1300 Cedar Shoals Dr, Athens, GA, 30605-3541"
2012,747,Walton County,205,Monroe Area High School,"09, 10, 11, 12",H,45.1,10.8,10.3,0,1.7,1.7,small_blue,67.9,"Monroe Area High School, 300 Double Springs Church Rd SW , Monroe, GA, 30656-2501"
2012,633,Cobb County,4066,Pebblebrook High School,"09, 10, 11, 12",H,44,9.6,13.1,0,1.5,1.5,small_blue,68.2,"Pebblebrook High School, 991 Old Alabama Rd SW , Mableton, GA, 30126-4109"
2012,633,Cobb County,3056,South Cobb High School,"09, 10, 11, 12",H,44.4,9.9,11.3,0,2.7,2.7,small_blue,68.3,"South Cobb High School, 1920 Clay Rd , Austell, GA, 30106-2202"
2012,660,Fulton County,386,Independence Alternative School,"09, 10, 11, 12",H,43.2,10.3,15,0,0,0,small_blue,68.5,"Independence Alternative School, 86 School Dr , Alpharetta, GA, 30004-1554"
2012,633,Cobb County,2066,Osborne High School,"09, 10, 11, 12",H,40.7,11.3,14.1,0,2.6,2.6,small_blue,68.7,"Osborne High School, 2451 Favor Rd SW, Marietta, GA, 30060-7338"
2012,625,Chatham County,2052,Beach High School,"09, 10, 11, 12",H,41,11.8,15,0.5,0.5,1,small_blue,68.8,"Beach High School, 3001 Hopkins St , Savannah, GA, 31405-1613"
2012,644,DeKalb County,5067,Southwest DeKalb High School,"09, 10, 11, 12",H,46.7,10.1,10.3,0.5,1.9,2.4,small_blue,69.5,"Southwest DeKalb High School, 2863 Kelley Chapel Rd , Decatur, GA, 30034-2208"
2012,608,Bartow County,105,Adairsville High School,"09, 10, 11, 12",H,47.6,8.5,12.2,0,1.2,1.2,small_blue,69.5,"Adairsville High School, 519 Old Highway 41 NW , Adairsville, GA, 30103-5346"
2012,691,Long County,205,Long County High School,"09, 10, 11, 12",H,48.9,8.1,11.3,0,1.2,1.2,small_blue,69.5,"Long County High School, 550 S McDonald St , Ludowici, GA, 31316-6030"
2012,675,Henry County,104,Luella High School,"09, 10, 11, 12",H,50.2,9.7,9.4,0,0.6,0.6,small_blue,69.9,"Luella High School, 603 Walker Dr, Locust Grove, GA, 30248-2052"
2012,710,Paulding County,101,Hiram High School,"09, 10, 11, 12",H,48.9,9.3,11.3,0,0.5,0.5,small_blue,70,"Hiram High School, 702 Virgie Ballentine Dr , Hiram, GA, 30141-3130"
2012,710,Paulding County,292,East Paulding High School,"09, 10, 11, 12",H,50.2,9.9,9.4,0,0.7,0.7,small_blue,70.2,"East Paulding High School, 3320 E Paulding Dr, Dallas, GA, 30157-3210"
2012,722,Rockdale County,3052,Rockdale County High School,"09, 10, 11, 12",H,49,8.6,11.3,1,0.4,1.4,small_blue,70.3,"Rockdale County High School, 1174 Bulldog Cir NE , Conyers, GA, 30012-4708"
2012,608,Bartow County,198,Woodland High School,"09, 10, 11, 12",H,49.9,9.3,9.4,0,1.7,1.7,small_blue,70.3,"Woodland High School, 800 Old Alabama Rd SE , Cartersville, GA, 30120-6883"
2012,658,Forsyth County,218,Forsyth Academy,"10, 11, 12",H,48.1,11,11.3,0,,0,small_blue,70.4,"Forsyth Academy, 1130 Dahlonega Hwy, Cumming, GA, 30040-4536"
2012,622,Carroll County,5054,Villa Rica High School,"09, 10, 11, 12",H,47.4,10.7,12.2,0,0.4,0.4,small_blue,70.7,"Villa Rica High School, 600 Rocky Branch Rd , Villa Rica, GA, 30180-2208"
2012,633,Cobb County,1054,Campbell High School,"09, 10, 11, 12",H,47.9,9.7,10.3,0.5,2.6,3.1,small_blue,71,"Campbell High School, 5265 Ward St SE, Smyrna, GA, 30080-1944"
2012,644,DeKalb County,2055,Druid Hills High School,"09, 10, 11, 12",H,48.9,10.3,10.3,0,1.8,1.8,small_blue,71.3,"Druid Hills High School, 1798 Haygood Dr NE , Atlanta, GA, 30307-1119"
2012,710,Paulding County,106,South Paulding High School,"09, 10, 11, 12",H,51.2,9.5,9.4,0,1.2,1.2,small_blue,71.3,"South Paulding High School, 1364 Winn Rd , Douglasville, GA, 30134-5301"
2012,675,Henry County,214,Locust Grove High,"09, 10, 11, 12",H,49.5,9.8,12.2,0,0,0,small_blue,71.5,"Locust Grove High, 3275 S Ola Rd, Locust Grove, GA, 30248-4039"
2012,622,Carroll County,189,Temple High School,"09, 10, 11, 12",H,47.9,10.5,12.2,0.5,0.5,1,small_blue,71.6,"Temple High School, 589 Sage St , Temple, GA, 30179-3724"
2012,7820110,State Charter Schools- Odyssey School,110,Odyssey School,"KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10",H,50.9,8.3,11.3,0,1.2,1.2,small_blue,71.7,"Odyssey School, 14 St. Johns Circle , Newnan, GA, 30263"
2012,669,Hall County,1552,East Hall High School,"09, 10, 11, 12",H,49,7.7,13.1,0,2,2,small_blue,71.8,"East Hall High School, 3534 E Hall Rd , Gainesville, GA, 30507-7111"
2012,658,Forsyth County,219,i-Achieve Academy,"06, 07, 08, 09, 10, 11, 12",H,47.9,9,15,0,,0,small_blue,71.9,"i-Achieve Academy, 1130 Dahlonega Hwy, Cumming, GA, 30040-4536"
2012,648,Douglas County,100,Chapel Hill High School,"09, 10, 11, 12",H,49.7,9.8,9.4,0,3,3,small_blue,71.9,"Chapel Hill High School, 4899 Chapel Hill Rd , Douglasville, GA, 30135-4909"
2012,644,DeKalb County,105,Miller Grove High School,"09, 10, 11, 12",H,46.2,10.4,12.2,0,3.2,3.2,small_blue,72,"Miller Grove High School, 2645 Dekalb Medical Pkwy , Lithonia, GA, 30058-4990"
2012,667,Gwinnett County,103,Norcross High School,"09, 10, 11, 12",H,52,10.2,10.3,0,0,0,small_blue,72.5,"Norcross High School, 5300 Spalding Dr , Norcross, GA, 30092-2605"
2012,722,Rockdale County,176,Heritage High School,"09, 10, 11, 12",H,50.7,8.9,12.2,0.5,0.3,0.8,small_blue,72.6,"Heritage High School, 2400 Granade Rd SW , Conyers, GA, 30094-6226"
2012,644,DeKalb County,276,Stone Mountain High School,"09, 10, 11, 12",H,46.1,10.3,13.1,0,3.2,3.2,small_blue,72.7,"Stone Mountain High School, 4555 Central Dr, Stone Mountain, GA, 30083-2528"
2012,709,Oglethorpe County,2050,Oglethorpe County High School,"09, 10, 11, 12",H,48.5,8,13.1,0,3.1,3.1,small_blue,72.7,"Oglethorpe County High School, 749 Athens Rd , Lexington, GA, 30648-1911"
2012,607,Barrow County,101,Apalachee High School,"09, 10, 11, 12",H,50.7,9.5,11.3,0,1.4,1.4,small_blue,72.9,"Apalachee High School, 940 Haymon Morris Rd , Winder, GA, 30680-7889"
2012,667,Gwinnett County,3750,Central Gwinnett High School,"09, 10, 11, 12",H,48.6,10,13.1,0.5,1.3,1.8,small_blue,73.5,"Central Gwinnett High School, 564 W Crogan St, Lawrenceville, GA, 30045-4725"
2012,648,Douglas County,4050,Douglas County High School,"09, 10, 11, 12",H,50.4,9.4,12.2,0,1.5,1.5,small_blue,73.5,"Douglas County High School, 8705 Campbellton St , Douglasville, GA, 30134-2202"
2012,667,Gwinnett County,185,Shiloh High School,"09, 10, 11, 12",H,50.4,9.6,12.2,0.5,0.8,1.3,small_blue,73.5,"Shiloh High School, 4210 Shiloh Rd , Snellville, GA, 30039-6147"
2012,644,DeKalb County,3060,Lakeside High School,"09, 10, 11, 12",H,52.6,9.5,11.3,0,0.2,0.2,small_blue,73.6,"Lakeside High School, 3801 Briarcliff Rd NE , Atlanta, GA, 30345-3856"
2012,669,Hall County,4752,Johnson High School,"09, 10, 11, 12",H,50.5,9,11.3,0,2.9,2.9,small_blue,73.7,"Johnson High School, 3305 Poplar Springs Rd , Gainesville, GA, 30507-8661"
2012,715,Polk County,5050,Cedartown High School,"09, 10, 11, 12",H,46.1,9.8,15,0,2.9,2.9,small_blue,73.8,"Cedartown High School, 167 Frank Lott Dr , Cedartown, GA, 30125-6041"
2012,622,Carroll County,2052,Central High School,"09, 10, 11, 12",H,50.9,10,12.2,0,0.7,0.7,small_blue,73.8,"Central High School, 113 Central High Rd, Carrollton, GA, 30116-4452"
2012,607,Barrow County,3052,Winder-Barrow High School,"09, 10, 11, 12",H,49.8,10.5,10.3,0,3.4,3.4,small_blue,74,"Winder-Barrow High School, 272 N 5th Ave, Winder, GA, 30680-4501"
2012,622,Carroll County,3050,Bowdon High School,"09, 10, 11, 12",H,50.5,8.5,14.1,0,1.2,1.2,small_blue,74.3,"Bowdon High School, 504 W College St , Bowdon, GA, 30108-1314"
2012,667,Gwinnett County,1018,Lanier High School,"09, 10, 11, 12",H,50.6,9.6,13.1,0.5,0.9,1.4,small_blue,74.7,"Lanier High School, 918 Buford Hwy, Sugar Hill, GA, 30518-4819"
2012,622,Carroll County,212,Mt. Zion High School,"09, 10, 11, 12",H,49.7,9.9,13.1,0.5,1.7,2.2,small_blue,74.9,"Mt. Zion High School, 280 Eureka Church Rd, Carrollton, GA, 30117"
2012,715,Polk County,102,Rockmart High School,"09, 10, 11, 12",H,48.2,10.4,13.1,0.5,2.9,3.4,measle_turquoise,75.1,"Rockmart High School, 990 Cartersville Hwy , Rockmart, GA, 30153-3700"
2012,707,Newton County,206,Alcovy High School,"09, 10, 11, 12",H,48.8,10.3,13.1,0,2.9,2.9,measle_turquoise,75.1,"Alcovy High School, 14567 Highway 36 , Covington, GA, 30014-5611"
2012,675,Henry County,391,Eagle's Landing High School,"09, 10, 11, 12",H,51.7,10.7,11.3,0,1.6,1.6,measle_turquoise,75.3,"Eagle's Landing High School, 301 Tunis Rd, Mcdonough, GA, 30253-4204"
2012,689,Liberty County,105,Bradwell Institute,"09, 10, 11, 12",H,49,11.2,11.3,0,3.9,3.9,measle_turquoise,75.4,"Bradwell Institute, 100 Pafford St , Hinesville, GA, 31313-3115"
2012,667,Gwinnett County,4052,Dacula High School,"09, 10, 11, 12",H,53.6,8.5,12.2,0,1.1,1.1,measle_turquoise,75.4,"Dacula High School, 123 Broad St, Dacula, GA, 30019-2139"
2012,644,DeKalb County,497,Stephenson High School,"09, 10, 11, 12",H,49.3,10.6,12.2,0,3.6,3.6,measle_turquoise,75.7,"Stephenson High School, 701 Stephenson Rd, Stone Mountain, GA, 30087-4616"
2012,704,Morgan County,1050,Morgan County High School,"09, 10, 11, 12",H,53.4,8.5,12.2,0.5,1.2,1.7,measle_turquoise,75.8,"Morgan County High School, 1231 College Dr, Madison, GA, 30650-1462"
2012,660,Fulton County,3066,Riverwood International Charter School,"09, 10, 11, 12",H,54.5,9.7,10.3,0,1.3,1.3,measle_turquoise,75.8,"Riverwood International Charter School, 5900 Heards Dr NW, Atlanta, GA, 30328-4713"
2012,707,Newton County,173,Newton High School,"09, 10, 11, 12",H,48.4,10.7,14.1,0,2.8,2.8,measle_turquoise,76,"Newton High School, 140 Ram Dr, Covington, GA, 30014-1956"
2012,660,Fulton County,4062,North Springs High School,"09, 10, 11, 12",H,51,9.6,13.1,0,2.5,2.5,measle_turquoise,76.2,"North Springs High School, 7447 Roswell Rd NE , Atlanta, GA, 30328-1026"
2012,675,Henry County,105,Dutchtown High,"09, 10, 11, 12",H,53,10.4,11.3,0.5,1.1,1.6,measle_turquoise,76.3,"Dutchtown High, 149 Mitchell Rd, Hampton, GA, 30228-1729"
2012,669,Hall County,189,West Hall High School,"09, 10, 11, 12",H,52.7,10,11.3,0,2.4,2.4,measle_turquoise,76.4,"West Hall High School, 5500 McEver Rd, Oakwood, GA, 30566-3507"
2012,615,Bryan County,502,Bryan County High School,"09, 10, 11, 12",H,50,8.9,13.1,0,4.5,4.5,measle_turquoise,76.5,"Bryan County High School, 1234 Camellia Dr , Pembroke, GA, 31321-5519"
2012,747,Walton County,111,Walnut Grove High School,"09, 10, 11, 12",H,52.4,9.6,13.1,0,1.4,1.4,measle_turquoise,76.5,"Walnut Grove High School, 4863 Guthrie Cemetery Rd, Loganville, GA, 30052-4468"
2012,648,Douglas County,187,Alexander High School,"09, 10, 11, 12",H,50.1,9.8,11.3,0,5.4,5.4,measle_turquoise,76.6,"Alexander High School, 6500 Alexander Pkwy , Douglasville, GA, 30135-3596"
2012,628,Cherokee County,5050,Cherokee High School,"09, 10, 11, 12",H,53.4,9.6,12.2,0.5,1.1,1.6,measle_turquoise,76.8,"Cherokee High School, 930 Marietta Hwy , Canton, GA, 30114-3619"
2012,667,Gwinnett County,1410,Mountain View High School,"09, 10, 11, 12",H,54.2,8,14.1,0,0.7,0.7,measle_turquoise,77,"Mountain View High School, 2351 Sunny Hill Rd, Lawrenceville, GA, 30043-2214"
2012,695,Madison County,5050,Madison County High School,"09, 10, 11, 12",H,50,9.7,13.1,0,5.3,5.3,measle_turquoise,78.1,"Madison County High School, 600 Madison St, Danielsville, GA, 30633-7030"
2012,689,Liberty County,192,Liberty County High School,"09, 10, 11, 12",H,51.5,11.2,11.3,0,4.3,4.3,measle_turquoise,78.3,"Liberty County High School, 3216 E Oglethorpe Hwy, Hinesville, GA, 31313-1306"
2012,669,Hall County,102,Chestatee High School,"09, 10, 11, 12",H,53.6,10,12.2,0,2.9,2.9,measle_turquoise,78.7,"Chestatee High School, 3005 Sardis Rd, Gainesville, GA, 30506-2232"
2012,667,Gwinnett County,1710,Archer High School,"09, 10, 11, 12",H,55.3,9.1,13.1,0,1.4,1.4,measle_turquoise,78.9,"Archer High School, 2255 New Hope Rd, Lawrenceville, GA, 30045-6560"
2012,633,Cobb County,1069,Wheeler High School,"09, 10, 11, 12",H,53.3,10.9,12.2,0.5,2.2,2.7,measle_turquoise,79.1,"Wheeler High School, 375 Holt Rd NE, Marietta, GA, 30068-3560"
2012,710,Paulding County,109,North Paulding High School,"09, 10, 11, 12",H,56,10.4,11.3,0,1.6,1.6,measle_turquoise,79.3,"North Paulding High School, 300 N Paulding Dr , Dallas, GA, 30132-6675"
2012,669,Hall County,202,Flowery Branch High,"09, 10, 11, 12",H,54.6,9.2,13.1,0,2.5,2.5,measle_turquoise,79.4,"Flowery Branch High, 6603 Spout Springs Rd, Flowery Branch, GA, 30542-5529"
2012,633,Cobb County,1064,McEachern High School,"09, 10, 11, 12",H,52.1,11.2,12.2,0,4,4,measle_turquoise,79.5,"McEachern High School, 2400 New MacLand Rd, Powder Springs, GA, 30127-1765"
2012,667,Gwinnett County,5550,Duluth High School,"09, 10, 11, 12",H,55.2,10.1,13.1,0,1.2,1.2,measle_turquoise,79.6,"Duluth High School, 3737 Brock Rd , Duluth, GA, 30096-2724"
2012,660,Fulton County,198,Centennial High School,"09, 10, 11, 12",H,55.8,9.5,12.2,0,2.1,2.1,measle_turquoise,79.6,"Centennial High School, 9310 Scott Rd, Roswell, GA, 30076-3417"
2012,675,Henry County,408,Woodland High School,"09, 10, 11, 12",H,56.1,10.6,12.2,0,1,1,measle_turquoise,79.9,"Woodland High School, 800 Moseley Dr , Stockbridge, GA, 30281-2904"
2012,667,Gwinnett County,195,Collins Hill High School,"09, 10, 11, 12",H,58.1,10,12.2,0.5,0.8,1.3,measle_turquoise,81.6,"Collins Hill High School, 50 Taylor Rd, Suwanee, GA, 30024-3695"
2012,660,Fulton County,191,Roswell High School,"09, 10, 11, 12",H,56.4,10.6,13.1,0.5,1.2,1.7,measle_turquoise,81.8,"Roswell High School, 11595 King Rd, Roswell, GA, 30075-2207"
2012,644,DeKalb County,610,"Arabia Mountain High School - Academy of Engineering, Medicine and Environm","09, 10, 11, 12",H,56.8,9.8,13.1,0.5,1.7,2.2,measle_turquoise,81.9,"Arabia Mountain High School - Academy of Engineering, Medicine and Environm, 6775 S Goddard Rd, Lithonia, GA, 30038-4124"
2012,667,Gwinnett County,101,Grayson High School,"09, 10, 11, 12",H,57.6,9.3,14.1,0.5,0.6,1.1,measle_turquoise,82.1,"Grayson High School, 50 Hope Hollow Rd, Loganville, GA, 30052-7897"
2012,625,Chatham County,411,Islands High School,"09, 10, 11, 12",H,55,10.5,14.1,0.5,2.4,2.9,measle_turquoise,82.5,"Islands High School, 170 Whitemarsh Island Rd, Savannah, GA, 31410-2098"
2012,667,Gwinnett County,1312,Ivy Prepatory Academy School,"06, 07, 08, 09",H,56.6,10.4,15,0.5,0,0.5,measle_turquoise,82.5,"Ivy Prepatory Academy School, 5575 Peachtree Pkwy, Norcross, GA, 30092-2551"
2012,633,Cobb County,103,Kell High School,"09, 10, 11, 12",H,57.3,9.7,13.1,1,1.6,2.6,measle_turquoise,82.7,"Kell High School, 4770 Lee Waters Rd , Marietta, GA, 30066-1141"
2012,644,DeKalb County,5052,Chamblee Charter High School,"09, 10, 11, 12",H,58.7,10.1,13.1,0,0.8,0.8,measle_turquoise,82.7,"Chamblee Charter High School, 3688 Chamblee Dunwoody Rd , Chamblee, GA, 30341-2143"
2012,707,Newton County,295,Eastside High School,"09, 10, 11, 12",H,55.2,11.4,14.1,0,2.2,2.2,measle_turquoise,82.9,"Eastside High School, 10245 By Pass Rd, Covington, GA, 30014-4010"
2012,615,Bryan County,182,Richmond Hill High School,"09, 10, 11, 12",H,56.9,10.3,14.1,0,1.6,1.6,measle_turquoise,82.9,"Richmond Hill High School, 1 Wildcat Dr, Richmond Hill, GA, 31324-8809"
