School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,CCRPI Score
2012,611,Bibb County,0383,Williams Elementary School,"KK, 01, 02, 03, 04, 05",E,34.6,6,3.8,0.5,0,0.5,44.9
2012,647,Dougherty County,0105,Jackson Heights Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,32.2,8.6,3.8,0.5,0,0.5,45.1
2012,731,Taliaferro County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,30.7,7.8,NA,0,0,0,45.3
2012,607,Barrow County,0113,College and Career Preparatory Academy,"09, 10, 11, 12",H,30.9,7.7,NA,0,0,0,45.4
2012,730,Talbot County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,29.8,8.1,7.5,0,0,0,45.4
2012,731,Taliaferro County,0102,Taliaferro County School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,30.7,7.8,NA,0.5,0,0.5,45.8
2012,614,Brooks County,0112,Academic Enhancement Program,"06, 07, 08, 09, 10, 11, 12",M,31.3,7.8,NA,0,0,0,46
2012,761,Atlanta Public Schools,0114,"Booker T. Washington High School - Health, Sciences and Nutrition Small Sch","09, 10, 11",H,32.4,8,5.6,0,0,0,46
2012,730,Talbot County,0190,Central Elementary/High School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,30.5,8.1,7.5,0,0,0,46.1
2012,622,Carroll County,0113,Open Campus High School,"10, 11, 12",H,29.3,10,NA,0,,0,46.2
2012,721,Richmond County,0107,Lighthouse Care Center of Augusta,"06, 07, 08, 09, 10, 11",H,32,7.3,NA,0,,0,46.2
2012,761,Atlanta Public Schools,0118,The Best Academy at Benjamin S. Carson High School,"09, 10",H,32.1,7.9,6.3,0,0,0,46.3
2012,705,Murray County,0108,Mountain Creek Academy School,"06, 07, 08, 09, 10, 11, 12",M,25.2,NA,13.8,0.5,0,0.5,46.4
2012,660,Fulton County,0176,Banneker High School,"09, 10, 11, 12",H,33.2,8.6,4.7,0,0.5,0.5,47
2012,761,Atlanta Public Schools,0405,University Community Academy,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08",M,28.6,7.9,10.5,0,0,0,47
2012,611,Bibb County,1005,Brookdale Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,35.3,8.3,3.8,0,0,0,47.4
2012,647,Dougherty County,0399,"Martin Luther King, Jr. Elementary School","PK, KK, 01, 02, 03, 04, 05",E,33.8,5.9,5.3,0.5,1.9,2.4,47.4
2012,707,Newton County,0113,Challenge Charter Academy,"06, 07, 08, 09, 10, 11, 12",M,31,8.4,NA,0.5,0.6,1.1,47.5
2012,611,Bibb County,0109,Bruce Elementary,"PK, KK, 01, 02, 03, 04, 05",E,33.3,9.5,3.8,1,0,1,47.6
2012,629,Clarke County,0104,Classic City High School,"09, 10, 11, 12",H,32.7,7.8,NA,0,0,0,47.6
2012,644,DeKalb County,0810,Elizabeth Andrews High School,"10, 11, 12",H,27.1,10.2,10.3,0,0,0,47.6
2012,718,Quitman County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,36.6,7.2,3.8,0,0,0,47.6
2012,611,Bibb County,0386,Southwest High School,"09, 10, 11, 12",H,29.4,7.1,11.3,0,0,0,47.8
2012,706,Muscogee County,4067,South Columbus Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,33.6,7.3,6,1,0,1,47.9
2012,718,Quitman County,0199,Quitman County Elementary,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08",E,36.6,4.5,6.8,0,0,0,47.9
2012,718,Quitman County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,36.6,4.5,6.8,0,0,0,47.9
2012,761,Atlanta Public Schools,1063,Hutchinson Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,34.3,6.8,5.3,0.5,1,1.5,47.9
2012,667,Gwinnett County,0388,Gwinnett InterVention Education (GIVE) Center East,"06, 07, 08, 09, 10, 11, 12",H,25.3,7.8,15,0,0,0,48.1
2012,718,Quitman County,0199,Quitman County Elementary,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08",M,36.6,7.2,3.8,0.5,0,0.5,48.1
2012,611,Bibb County,2060,Hartley Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,36.4,6.8,4.5,0.5,0,0.5,48.2
2012,670,Hancock County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,34.1,8.1,6,0,0,0,48.2
2012,706,Muscogee County,0102,Fox Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,32.3,7.4,7.5,1,0,1,48.2
2012,761,Atlanta Public Schools,5558,Dunbar Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,32.4,7,8.3,0.5,0,0.5,48.2
2012,633,Cobb County,0186,Oakwood Digital Academy,"09, 10, 11, 12",H,32,8.9,7.5,0,0,0,48.4
2012,669,Hall County,0105,Lanier Career Academy,"07, 08, 09, 10, 11, 12",H,25.2,8.2,15,0,0,0,48.4
2012,761,Atlanta Public Schools,3069,White Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,34.9,8.3,3.8,0.5,0.9,1.4,48.4
2012,670,Hancock County,0188,Lewis Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,34.1,8.1,6,0.5,0,0.5,48.7
2012,635,Colquitt County,4050,Cox Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,36.8,7.8,3.8,0.5,0,0.5,48.9
2012,731,Taliaferro County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,34.6,7.2,NA,0,0,0,49.2
2012,731,Taliaferro County,0102,Taliaferro County School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,34.6,7.2,NA,0,0,0,49.2
2012,761,Atlanta Public Schools,0708,Therrell School of Health and Science,"09, 10, 11, 12",H,33.8,6.4,7.5,0.5,1,1.5,49.2
2012,761,Atlanta Public Schools,5569,Woodson Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,34.8,7.2,6.8,0.5,0,0.5,49.3
2012,761,Atlanta Public Schools,5560,Grove Park Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,33.2,7.9,8.3,0,0,0,49.4
2012,611,Bibb County,0198,Westside High,"09, 10, 11, 12",H,35.8,8.3,5.6,0,0,0,49.7
2012,644,DeKalb County,3056,Flat Shoals Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,35.8,6.6,6.8,0.5,0,0.5,49.7
2012,660,Fulton County,0118,Hapeville Charter Career Academy,"09, 10, 11",H,38.2,6.9,4.7,0,0,0,49.8
2012,721,Richmond County,0177,Meadowbrook Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,36.3,9.2,3.8,0.5,0,0.5,49.8
2012,761,Atlanta Public Schools,2057,Connally Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,37.7,8,3.8,0.5,0,0.5,50
2012,730,Talbot County,0190,Central Elementary/High School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,31.5,8.2,10.5,0,0,0,50.2
2012,730,Talbot County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,31.5,8.2,10.5,0,0,0,50.2
2012,631,Clayton County,0115,Charles R. Drew High School,"09, 10, 11, 12",H,30.4,8.7,11.3,0,0,0,50.4
2012,761,Atlanta Public Schools,1408,The Best Academy at Benjamin S. Carson,"06, 07, 08",M,38.8,7.1,4.5,0,0,0,50.4
