School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,CCRPI Score
2012,750,Washington County,4050,Ridge Road Elementary School,"03, 04, 05",E,50.9,8.9,9,1,2,3,71.8
2012,751,Wayne County,0294,Arthur Williams Middle School,"06, 07, 08",M,53.2,8.8,9.8,0,0,0,71.8
2012,759,Worth County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,52.5,8.8,8.3,0,2.2,2.2,71.8
2012,761,Atlanta Public Schools,0304,Deerwood Academy School,"PK, KK, 01, 02, 03, 04, 05",E,51,8.7,9,1.5,1.6,3.1,71.8
2012,619,Calhoun County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,41.4,11.1,15,0,4.4,4.4,71.9
2012,624,Charlton County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,52.5,9.7,9,0,0.7,0.7,71.9
2012,626,Chattahoochee County,0106,Chattahoochee County Middle School,"06, 07, 08",M,51.9,6.6,11.3,0.5,1.6,2.1,71.9
2012,644,DeKalb County,4058,Hightower Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.2,9.1,9,1,4.6,5.6,71.9
2012,648,Douglas County,0100,Chapel Hill High School,"09, 10, 11, 12",H,49.7,9.8,9.4,0,3,3,71.9
2012,658,Forsyth County,0219,i-Achieve Academy,"06, 07, 08, 09, 10, 11, 12",H,47.9,9,15,0,,0,71.9
2012,710,Paulding County,0299,Allgood Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,51.8,9.2,7.5,1,2.4,3.4,71.9
2012,755,Whitfield County,1050,Antioch Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47,8.5,9.8,1,5.6,6.6,71.9
2012,617,Burke County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,45.5,9.6,11.3,0,5.6,5.6,72
2012,617,Burke County,0288,Burke County High School,"09, 10, 11, 12",H,45.5,9.6,11.3,0,5.6,5.6,72
2012,618,Butts County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,49.2,8,10.5,0,4.3,4.3,72
2012,625,Chatham County,3062,Low Elementary School,"PK, KK, 01, 02, 03, 04, 05, 06, 08, 09, 12",E,50,9.2,9,1,2.8,3.8,72
2012,644,DeKalb County,0105,Miller Grove High School,"09, 10, 11, 12",H,46.2,10.4,12.2,0,3.2,3.2,72
2012,647,Dougherty County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,48.9,9.2,10.5,0,3.4,3.4,72
2012,669,Hall County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,50.6,9.5,11.3,0,0.6,0.6,72
2012,697,McDuffie County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,54.4,9.3,8.3,0,0,0,72
2012,734,Telfair County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,51.3,9.7,9,0,2,2,72
2012,738,Toombs County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,52.7,8.7,9,0,1.6,1.6,72
2012,606,Banks County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,50.7,8.4,12.2,0,0.8,0.8,72.1
2012,621,Candler County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,49.7,10.1,9.4,0,2.9,2.9,72.1
2012,733,Taylor County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,51,10.1,9.8,0,1.2,1.2,72.1
2012,645,Dodge County,0103,Dodge County High School,"09, 10, 11, 12",H,47.1,9.8,14.1,0.5,0.7,1.2,72.2
2012,649,Early County,2050,Early County High School,"09, 10, 11, 12",H,47.9,9.8,11.3,0.5,2.7,3.2,72.2
2012,668,Habersham County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,50.7,9.1,10.3,0,2.1,2.1,72.2
2012,677,Irwin County,0173,Irwin County Middle School,"06, 07, 08",M,53.8,8.8,8.3,0,1.3,1.3,72.2
2012,677,Irwin County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,53.8,8.8,8.3,0,1.3,1.3,72.2
2012,709,Oglethorpe County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,48.5,8,13.1,0,2.6,2.6,72.2
2012,772,Dalton City,0105,Blue Ridge School,"PK, KK, 01, 02, 03, 04, 05",E,51.2,9,8.3,1,2.7,3.7,72.2
2012,619,Calhoun County,4050,Calhoun County Middle/High School,"06, 07, 08, 09, 10, 11, 12",H,41.8,11.1,15,0,4.4,4.4,72.3
2012,621,Candler County,0101,Metter High School ,"09, 10, 11, 12",H,49.9,10.1,9.4,0,2.9,2.9,72.3
2012,631,Clayton County,0295,Lake Ridge Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,52,9.4,9.8,0.5,0.6,1.1,72.3
2012,668,Habersham County,2052,Habersham Central High School,"09, 10, 11, 12",H,51.2,9,10.3,0,1.8,1.8,72.3
2012,675,Henry County,5050,Locust Grove Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47.2,9.1,10.5,0.5,5,5.5,72.3
2012,755,Whitfield County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,49.9,8.8,9,0,4.6,4.6,72.3
2012,759,Worth County,0193,Worth County Middle School,"06, 07, 08",M,52.5,8.8,8.3,0.5,2.2,2.7,72.3
2012,631,Clayton County,0176,Mount Zion Elementary School,"03, 04, 05",E,52.3,10,8.3,0.5,1.3,1.8,72.4
2012,647,Dougherty County,2062,Sylvester Road Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.5,8.4,8.3,0.5,6.7,7.2,72.4
2012,682,Jenkins County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,50,8.4,12,0,2,2,72.4
2012,751,Wayne County,0394,Martha Rawls Smith Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.6,9.7,9,0.5,4.6,5.1,72.4
2012,793,Vidalia City,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,53.7,9,9,0,0.7,0.7,72.4
2012,611,Bibb County,0405,Rosa Taylor Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50.2,9.3,10.5,0.5,2,2.5,72.5
2012,625,Chatham County,0299,Southwest Middle School,"06, 07, 08",M,53,8.2,8.3,1,2,3,72.5
2012,630,Clay County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08",M,48,7.2,11.3,0,6,6,72.5
2012,631,Clayton County,0181,Pointe South Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50.1,9.8,9.8,0.5,2.3,2.8,72.5
2012,633,Cobb County,3058,Fair Oaks Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,46.9,9.6,9,0.5,6.5,7,72.5
2012,648,Douglas County,0188,Chestnut Log Middle School,"06, 07, 08",M,51.7,8.6,10.5,0,1.7,1.7,72.5
2012,667,Gwinnett County,0103,Norcross High School,"09, 10, 11, 12",H,52,10.2,10.3,0,0,0,72.5
2012,676,Houston County,4050,Lindsey Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48,8.2,12,1,3.3,4.3,72.5
2012,697,McDuffie County,0112,Thomson-McDuffie Middle School,"06, 07, 08",M,54.4,9.3,8.3,0.5,0,0.5,72.5
2012,714,Pike County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,51.5,8.2,11.3,0,1.5,1.5,72.5
2012,738,Toombs County,0103,Toombs County Middle School,"06, 07, 08",M,52.7,8.7,9,0.5,1.6,2.1,72.5
2012,753,Wheeler County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,49.7,9.8,11.3,0,1.7,1.7,72.5
2012,753,Wheeler County,3052,Wheeler County High School,"06, 07, 08, 09, 10, 11, 12",H,49.7,9.8,11.3,0,1.7,1.7,72.5
2012,785,Rome City,3052,Main Elementary School,"PK, KK, 01, 02, 03, 04, 05, 06",M,46.1,10,NA,0.5,6,6.5,72.5
2012,631,Clayton County,2062,West Clayton Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48,9.3,14.3,1,0,1,72.6
2012,635,Colquitt County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,54.1,8.4,7.5,0,2.6,2.6,72.6
2012,706,Muscogee County,1066,Reese Road Leadership Academy,"PK, KK, 01, 02, 03, 04, 05",E,49.7,10.3,9.8,1,1.8,2.8,72.6
2012,715,Polk County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,47,10,13.1,0,2.5,2.5,72.6
2012,722,Rockdale County,0176,Heritage High School,"09, 10, 11, 12",H,50.7,8.9,12.2,0.5,0.3,0.8,72.6
2012,758,Wilkinson County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,52.3,11.1,7.5,0,1.7,1.7,72.6
2012,792,Valdosta City,2052,Southeast Elementary School,"KK, 01, 02, 03, 04, 05",E,47.9,9.9,9.8,0,5,5,72.6
2012,ALL,All Systems,ALL,All Schools,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",H,50.2,9.8,12.2,0,0.4,0.4,72.6
2012,629,Clarke County,3058,Fowler Drive Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50.2,9.6,9,0,3.9,3.9,72.7
2012,631,Clayton County,0173,Kilpatrick Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,52,9.3,8.3,0.5,2.6,3.1,72.7
2012,644,DeKalb County,0276,Stone Mountain High School,"09, 10, 11, 12",H,46.1,10.3,13.1,0,3.2,3.2,72.7
2012,644,DeKalb County,0897,Druid Hills Middle School,"06, 07, 08",M,54.7,9.7,8.3,0,0,0,72.7
2012,709,Oglethorpe County,2050,Oglethorpe County High School,"09, 10, 11, 12",H,48.5,8,13.1,0,3.1,3.1,72.7
2012,624,Charlton County,0112,Bethune Middle School,"04, 05, 06, 07, 08",M,52.7,9.9,9,0.5,0.7,1.2,72.8
2012,660,Fulton County,0289,Woodland Middle School,"06, 07, 08",M,52.3,9.1,9,0.5,1.9,2.4,72.8
2012,732,Tattnall County,0101,Reidsville Middle School,"06, 07, 08",M,52.9,8.9,8.3,0.5,2.2,2.7,72.8
2012,781,Marietta City,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,50,10.4,12.2,0,0.2,0.2,72.8
2012,606,Banks County,0199,Banks County High School,"09, 10, 11, 12",H,51,8.4,12.2,0.5,0.8,1.3,72.9
2012,607,Barrow County,0101,Apalachee High School,"09, 10, 11, 12",H,50.7,9.5,11.3,0,1.4,1.4,72.9
2012,611,Bibb County,0205,Howard Middle School,"06, 07, 08",M,55.6,9,7.5,0,0.8,0.8,72.9
2012,631,Clayton County,0107,Sequoyah Middle School,"06, 07, 08",M,51.5,9.2,9.8,0.5,1.9,2.4,72.9
2012,644,DeKalb County,0597,Miller Grove Middle School,"06, 07, 08",M,51.7,10,9.8,0.5,0.9,1.4,72.9
2012,657,Floyd County,5050,Coosa High School,"09, 10, 11, 12",H,47.9,9.9,13.1,0,2,2,72.9
2012,682,Jenkins County,0101,Jenkins County Middle School,"06, 07, 08",M,50,8.4,12,0.5,2,2.5,72.9
2012,699,Meriwether County,0200,Mountain View Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,49.3,10.8,9.8,1,2,3,72.9
2012,711,Peach County,1050,Byron Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,54.4,8.9,7.5,1.5,0.6,2.1,72.9
2012,729,Sumter County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,49.3,10.4,10.5,0,2.7,2.7,72.9
2012,630,Clay County,0104,Clay County Middle School,"06, 07, 08",M,48,7.2,11.3,0.5,6,6.5,73
2012,635,Colquitt County,5054,Sunset Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,52.3,8.4,9,1,2.3,3.3,73
2012,660,Fulton County,0116,Main Street Charter Academy Elementary,"KK, 01, 02, 03, 04, 05",E,54.6,7.7,9,0.5,1.2,1.7,73
2012,688,Lee County,0193,Lee County High School,"09, 10, 11, 12",H,50.4,9.8,12.2,0,0.6,0.6,73
2012,721,Richmond County,0105,Deer Chase Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50.9,8.8,12,0,1.3,1.3,73
2012,734,Telfair County,0104,Telfair County Elementary,"PK, KK, 01, 02, 03, 04, 05",E,51.3,9.7,9,1,2,3,73
2012,781,Marietta City,0101,Marietta High School ,"09, 10, 11, 12",H,50.2,10.4,12.2,0,0.2,0.2,73
2012,650,Echols County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,54.4,6.8,8.3,0,3.6,3.6,73.1
2012,716,Pulaski County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,50.5,9.8,12.8,0,0,0,73.1
2012,761,Atlanta Public Schools,0117,Atlanta Preparatory Academy,"KK, 01, 02, 03, 04, 05, 06, 07",M,46.8,8.7,12.8,0,4.8,4.8,73.1
2012,644,DeKalb County,0190,Pine Ridge Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,46.2,10,13.5,1,2.5,3.5,73.2
2012,653,Emanuel County,2050,Emanuel County Institute,"06, 07, 08, 09, 10, 11, 12",H,47.6,9.8,12.2,0.5,3.1,3.6,73.2
2012,703,Montgomery County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,49.7,9.7,8.3,0,5.5,5.5,73.2
2012,706,Muscogee County,1058,Dimon Elementary ,"PK, KK, 01, 02, 03, 04, 05",E,52.6,10.5,8.3,1,0.8,1.8,73.2
2012,714,Pike County,0194,Pike County High School,"09, 10, 11, 12",H,51.6,8.2,11.3,0.5,1.6,2.1,73.2
2012,726,Spalding County,1052,Jackson Road Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47.6,9.3,9.8,1,5.5,6.5,73.2
2012,742,Turner County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,46.3,9.6,13.1,0,4.2,4.2,73.2
2012,607,Barrow County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,49.7,10,12.2,0,1.4,1.4,73.3
2012,652,Elbert County,3050,Bowman Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.7,9.4,10.5,0.5,4.2,4.7,73.3
2012,699,Meriwether County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,51.8,8.7,9.8,0,3,3,73.3
2012,7820612,State Charter Schools- Ivy Prep Academy at Kirkwood for Girls School,0612,Ivy Prep Academy at Kirkwood for Girls School,"KK, 01, 02, 03, 04, 05, 06",E,51.7,8.8,6.8,0,6,6,73.3
2012,7820612,State Charter Schools- Ivy Prep Academy at Kirkwood for Girls School,ALL,All Schools,"KK, 01, 02, 03, 04, 05, 06",E,51.7,8.8,6.8,0,6,6,73.3
2012,707,Newton County,3050,Livingston Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,49.1,8.5,12,1,2.8,3.8,73.4
2012,731,Taliaferro County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,50.6,8.4,NA,0,4,4,73.4
2012,774,Dublin City,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,51.4,10.7,11.3,0,0,0,73.4
2012,644,DeKalb County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,53.4,9.6,10.5,0,0,0,73.5
2012,648,Douglas County,4050,Douglas County High School,"09, 10, 11, 12",H,50.4,9.4,12.2,0,1.5,1.5,73.5
2012,648,Douglas County,0107,Bill Arp Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50.7,9.9,10.5,1.5,0.9,2.4,73.5
2012,667,Gwinnett County,0185,Shiloh High School,"09, 10, 11, 12",H,50.4,9.6,12.2,0.5,0.8,1.3,73.5
2012,667,Gwinnett County,3750,Central Gwinnett High School,"09, 10, 11, 12",H,48.6,10,13.1,0.5,1.3,1.8,73.5
2012,669,Hall County,4556,South Hall Middle School,"06, 07, 08",M,52.3,9.5,8.3,1.5,1.9,3.4,73.5
2012,732,Tattnall County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,53,8.6,9.8,0,2.1,2.1,73.5
2012,616,Bulloch County,2050,Bryant Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,54.9,10.7,7.5,0,0.5,0.5,73.6
2012,624,Charlton County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,51.2,9.6,11.3,0,1.5,1.5,73.6
2012,644,DeKalb County,3060,Lakeside High School,"09, 10, 11, 12",H,52.6,9.5,11.3,0,0.2,0.2,73.6
2012,649,Early County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,51.4,10,10.5,0,1.7,1.7,73.6
2012,706,Muscogee County,1060,Edgewood Elementary School,"KK, 01, 02, 03, 04, 05",E,51.2,9,7.5,1.5,4.4,5.9,73.6
2012,716,Pulaski County,3050,Pulaski County Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50.5,9.8,12.8,0.5,0,0.5,73.6
2012,728,Stewart County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,47.2,10.7,11.3,0,4.4,4.4,73.6
2012,7820110,State Charter Schools- Odyssey School,0110,Odyssey School,"KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10",M,53.4,8.5,8.3,0,3.4,3.4,73.6
2012,7820110,State Charter Schools- Odyssey School,ALL,All Schools,"KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10",M,53.4,8.5,8.3,0,3.4,3.4,73.6
2012,793,Vidalia City,5050,Sally Dailey Meadows Elementary School,"02, 03, 04, 05",E,53.4,9,9,1.5,0.7,2.2,73.6
2012,663,Glynn County,5052,Goodyear Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50,9.1,9.8,1,3.8,4.8,73.7
2012,669,Hall County,4752,Johnson High School,"09, 10, 11, 12",H,50.5,9,11.3,0,2.9,2.9,73.7
2012,703,Montgomery County,0107,New Montgomery County Elementary School,"PK, KK, 01, 02, 03, 04, 05, 06",E,49.7,9.7,8.3,0.5,5.5,6,73.7
2012,707,Newton County,0196,Cousins Middle School,"06, 07, 08",M,53.8,9.4,9,0.5,1,1.5,73.7
2012,726,Spalding County,0107,Kennedy Road Middle School,"06, 07, 08",M,51.6,8.9,9,0,4.2,4.2,73.7
2012,622,Carroll County,2052,Central High School,"09, 10, 11, 12",H,50.9,10,12.2,0,0.7,0.7,73.8
2012,631,Clayton County,1060,Northcutt Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,52.5,10.4,9.8,0.5,0.6,1.1,73.8
2012,640,Crisp County,0297,A. S. Clark Elementary School,"03, 04, 05",E,49.6,9,9.8,0.5,4.9,5.4,73.8
2012,706,Muscogee County,0501,Midland Academy,"PK, KK, 01, 02, 03, 04, 05",E,53.6,9.4,8.3,2,0.5,2.5,73.8
2012,707,Newton County,0122,Flint Hill Elementary,"PK, KK, 01, 02, 03, 04, 05",E,54,9.3,8.3,1,1.2,2.2,73.8
2012,715,Polk County,5050,Cedartown High School,"09, 10, 11, 12",H,46.1,9.8,15,0,2.9,2.9,73.8
2012,7820512,State Charter Schools- Ivy Preparatory Young Mens Leadership Academy School,0512,Ivy Preparatory Young Men's Leadership Academy School,"KK, 01, 02, 03, 04, 05, 06",M,48.9,10.2,NA,0,4.3,4.3,73.8
2012,7820512,State Charter Schools- Ivy Preparatory Young Mens Leadership Academy School,ALL,All Schools,"KK, 01, 02, 03, 04, 05, 06",M,48.9,10.2,NA,0,4.3,4.3,73.8
2012,647,Dougherty County,5058,Radium Springs Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,51.1,9.6,8.3,0.5,4.4,4.9,73.9
2012,660,Fulton County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,52.7,10,10.3,0,0.9,0.9,73.9
2012,665,Grady County,1550,Northside Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.4,9,8.3,1,7.2,8.2,73.9
2012,710,Paulding County,0404,Irma C. Austin Middle School,"06, 07, 08",M,55.1,9.3,9,0,0.5,0.5,73.9
2012,731,Taliaferro County,0102,Taliaferro County School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,50.6,8.4,NA,0.5,4,4.5,73.9
2012,737,Tift County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,50.3,8.9,9.8,0,4.9,4.9,73.9
2012,761,Atlanta Public Schools,1560,Garden Hills Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50.2,8.9,9.8,0.5,4.5,5,73.9
2012,607,Barrow County,3052,Winder-Barrow High School,"09, 10, 11, 12",H,49.8,10.5,10.3,0,3.4,3.4,74
2012,611,Bibb County,0104,Burdell Elementary School,"KK, 01, 02, 03, 04, 05",E,49,10,11.3,0.5,3.2,3.7,74
2012,616,Bulloch County,4052,Portal Middle/High School,"PK, 06, 07, 08, 09, 10, 11, 12",H,46.6,10.2,13.1,0.5,3.6,4.1,74
2012,631,Clayton County,0175,Brown Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,51.6,10,8.3,0.5,3.6,4.1,74
2012,648,Douglas County,0189,Factory Shoals Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,49.6,9.1,12,0.5,2.8,3.3,74
2012,785,Rome City,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,53.3,9,11.3,0,0.4,0.4,74
2012,629,Clarke County,0191,Cleveland Road Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,51.9,9.2,9,0,4,4,74.1
2012,644,DeKalb County,4062,Montclair Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,51.1,8.7,9.8,0.5,4,4.5,74.1
2012,649,Early County,0194,Early County Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,51.4,10,10.5,0.5,1.7,2.2,74.1
2012,650,Echols County,0112,Echols County Elementary/Middle School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08",E,54.4,6.8,8.3,1,3.6,4.6,74.1
2012,697,McDuffie County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,53.5,8.5,10.5,0,1.6,1.6,74.1
2012,701,Mitchell County,0111,North Mitchell County Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47.7,8.5,9,0.5,8.4,8.9,74.1
2012,721,Richmond County,1062,Rollins Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,49.2,10.1,13.5,0.5,0.8,1.3,74.1
2012,724,Screven County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,50,10.1,9,0,5,5,74.1
2012,728,Stewart County,0201,Stewart County High School,"09, 10, 11, 12",H,47.7,10.7,11.3,0,4.4,4.4,74.1
2012,747,Walton County,0193,Carver Middle School,"06, 07, 08",M,50.6,8.8,12.8,0.5,1.4,1.9,74.1
2012,758,Wilkinson County,0175,Wilkinson County Elementary School,"03, 04, 05",E,52.3,11.1,7.5,1.5,1.7,3.2,74.1
2012,781,Marietta City,3050,Hickory Hills Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,52,9.6,8.3,1.5,2.7,4.2,74.1
2012,660,Fulton County,4060,Mimosa Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,52.2,9.1,7.5,1,4.4,5.4,74.2
2012,685,Lamar County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,53.2,9.1,10.5,0,1.4,1.4,74.2
2012,706,Muscogee County,0278,Shaw High School,"09, 10, 11, 12",H,47.7,10.3,12.2,0,4,4,74.2
2012,616,Bulloch County,5054,Sallie Zetterower Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,53.5,9.9,9,0,1.9,1.9,74.3
2012,622,Carroll County,3050,Bowdon High School,"09, 10, 11, 12",H,50.5,8.5,14.1,0,1.2,1.2,74.3
2012,635,Colquitt County,0111,Willie J. Williams Middle School,"06, 07",M,51.8,9.7,9.8,1,2,3,74.3
2012,660,Fulton County,3058,Lee Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,51.4,9.9,9.8,0.5,2.7,3.2,74.3
2012,686,Lanier County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,48.9,9.3,12.2,0,3.9,3.9,74.3
2012,686,Lanier County,0201,Lanier County High School,"09, 10, 11, 12",H,48.9,9.3,12.2,0,3.9,3.9,74.3
2012,750,Washington County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,54.2,9.1,9,0,2,2,74.3
2012,752,Webster County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,45.5,11.6,15,0,2.2,2.2,74.3
2012,772,Dalton City,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,53.1,9.4,10.3,0,1.5,1.5,74.3
2012,605,Baldwin County,ALL,All Schools,"KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,51.6,9.6,10.5,0,2.7,2.7,74.4
2012,661,Gilmer County,0103,Mountain View Elementary,"KK, 01, 02, 03, 04",E,52.8,9.4,9.8,1,1.4,2.4,74.4
2012,663,Glynn County,3552,Brunswick High School,"09, 10, 11, 12",H,48.7,9.4,13.1,0,3.2,3.2,74.4
2012,667,Gwinnett County,1013,Ferguson Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,51.3,10.5,8.3,0.5,3.8,4.3,74.4
2012,685,Lamar County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,47.9,10.5,12.2,0,3.8,3.8,74.4
2012,685,Lamar County,0175,Lamar County Comprehensive High School,"09, 10, 11, 12",H,47.9,10.5,12.2,0,3.8,3.8,74.4
2012,687,Laurens County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,49.2,9.1,13.1,0,3,3,74.4
