Mailing Address,District Name,School Name,2011-2012 Rating,Performance Indicators,Marker_Type,Performance Index,4-Year Graduation Rate,5-Year Graduation Rate,Value-Added: All Students,Value-Added: Gifted Students,Value-Added: Lowest 20% in Achievement,Value-Added: Students with Disabilities,Annual Measurable Objectives,District IRN,School IRN,2011 PI Score,School IRN,School IRN
"Prospect Elem, 1843 Stanwood Rd, East Cleveland, OH, 44112",East Cleveland City School District,Prospect Elementary School,Continuous Improvement,F,small_red,D,-,-,A,-,B,-,F,043901,030791,77.37556561,030791,30791
"Shaw High, 15320 Euclid Ave, East Cleveland, OH, 44112",East Cleveland City School District,Shaw High School,Continuous Improvement,F,small_red,D,F,F,-,-,-,-,F,043901,034199,77.82248521,034199,34199
"Superior Elem, 1865 Garfield Rd, East Cleveland, OH, 44112",East Cleveland City School District,Superior Elementary School,Continuous Improvement,F,small_red,D,-,-,A,-,A,A,F,043901,036533,71.23333333,036533,36533
"Euclid Central Middle, 20701 Euclid Ave, Euclid, OH, 44117",Euclid City,Euclid Central Middle School,Continuous Improvement,F,small_red,D,-,-,F,D,C,D,F,043950,010793,80.16006098,010793,10793
"Forest Park Middle, 27000 Elinore Ave, Euclid, OH, 44132",Euclid City,Forest Park Middle School,Academic Watch,F,small_red,D,-,-,F,F,D,F,F,043950,011965,76.16654702,011965,11965
"Memorial Park Elem, 22800 Fox Ave, Euclid, OH, 44123",Euclid City,Memorial Park Elementary Schoola,Academic Emergency,F,small_red,D,-,-,C,-,B,C,F,043950,000474,66.74479167,000474,474
"Roosevelt Elem, 551 E 200th St,  Euclid, OH, 44119",Euclid City,Roosevelt Elementary Schoola,Continuous Improvement,F,small_red,D,-,-,A,A,A,B,F,043950,032326,77.89568345,032326,32326
"Upson Elem, 490 E 260th St, Euclid, OH, 44132",Euclid City,Shoreview Elementary School,Academic Emergency,F,small_red,D,-,-,B,-,C,F,F,043950,037978,68.61403509,037978,37978
"Elmwood Elem, 5275 Turney Rd, Garfield Heights, OH, 44125",Garfield Heights City Schools,Elmwood Elementary School,Continuous Improvement,F,small_red,D,-,-,-,-,-,-,F,044040,010413,86.39423077,010413,10413
"Garfield Heights Middle, 12000 Maple Leaf Dr, Garfield Heights, OH, 44125",Garfield Heights City Schools,Garfield Heights Middle School,Continuous Improvement,F,small_red,D,-,-,C,D,C,C,F,044040,013144,83.75570198,013144,13144
"Maple Leaf Intermediate Elem, 5764 Turney Rd, Garfield Heights, OH, 44125",Garfield Heights City Schools,Maple Leaf Intermediate Elementary School,Academic Emergency,F,small_red,D,-,-,F,F,F,C,F,044040,022574,74.453125,022574,22574
"Obama School Elem, 5800 Glenwood Ave, Maple Heights, OH, 44137",Maple Heights City, Barack Obama School,Academic Watch,F,small_red,D,-,-,F,D,F,F,F,044305,009029,77.99715909,009029,9029
"Maple Heights High, 5500 Clement Ave, Maple Heights, OH, 44137",Maple Heights City,Maple Heights High School,Continuous Improvement,F,small_red,D,F,F,-,-,-,-,F,044305,022566,83.69465649,022566,22566
"Milkovich Middle, 19800 Stafford Ave, Maple Heights, OH, 44137",Maple Heights City,Milkovich Middle School,Continuous Improvement,F,small_red,D,-,-,D,A,F,F,F,044305,009522,81.6579537,009522,9522
"James E Hanna Elem, 11212 Snow Rd, Parma, OH, 44130",Parma City,James E Hanna Elementary Schoola,Continuous Improvement,F,small_red,D,-,-,D,C,C,C,F,044636,034819,87.59887006,034819,34819
"Richmond Heights Elem, 447 Richmond Rd, Richmond Heights, OH, 44143",Richmond Heights Local,Richmond Heights Elementary School,Continuous Improvement,F,small_red,D,-,-,F,D,F,D,F,046599,031575,84.97816594,031575,31575
"Eastwood ES Elem, 4050 Eastwood Ln, Warrensville, OH, 44122",Warrensville Heights City,Eastwood Elementary School,Academic Watch,F,small_red,D,-,-,C,C,C,C,F,045005,012392,76.61111111,012392,12392
"Warrensville Heights High, 4270 Northfield Rd, Warrensville Heig, OH, 44128",Warrensville Heights City,Warrensville Heights High School,Academic Watch,F,small_red,D,F,F,-,-,-,-,F,045005,039263,76.78195489,039263,39263
"Warrensville Heights Middle, 4285 Warrensville Center Rd, Warrensville Heig, OH, 44128",Warrensville Heights City,Warrensville Heights Middle School,Academic Emergency,F,small_red,D,-,-,B,-,C,B,F,045005,039271,66.19006849,039271,39271
"Hancock Elem, 2314 Hancock St, Sandusky, OH, 44870",Sandusky City,Hancock Elementary School,Continuous Improvement,F,small_red,D,-,-,C,-,C,-,F,044743,015040,81.64456233,015040,15040
"Mills Elem, 1918 Mills St, Sandusky, OH, 44870",Sandusky City,Mills Elementary School,Effective,F,small_red,D,-,-,A,-,B,A,F,044743,024901,81.25364431,024901,24901
"Alum Crest High, 2200 Winslow Dr,  Columbus, OH, 43207",Columbus City School District,Alum Crest High School,Continuous Improvement*,F,small_red,D,D,C,-,-,-,-,-,043802,000513,53.45454545,000513,513
"Beechcroft High, 6100 Beechcroft Rd, Columbus, OH, 43229",Columbus City School District,Beechcroft High School,Continuous Improvement*,F,small_red,D,C,C,-,-,-,-,F,043802,068528,84.98529412,068528,68528
"Broadleigh Elem, 3039 Maryland Ave, Columbus, OH, 43209",Columbus City School District,Broadleigh Elementary School,Academic Watch*,F,small_red,D,-,-,A,-,B,-,F,043802,003665,66.03921569,003665,3665
"Brookhaven High, 4077 Karl Rd, Columbus, OH, 43224",Columbus City School District,Brookhaven High School,Academic Watch*,F,small_red,D,F,F,-,-,-,-,F,043802,003764,77.50666667,003764,3764
"Buckeye Middle, 2950 Parsons Ave, Columbus, OH, 43207",Columbus City School District,Buckeye Middle School,Academic Emergency*,F,small_red,D,-,-,F,F,F,C,F,043802,004135,75.9377701,004135,4135
"Burroughs Elem, 551 S Richardson Ave, Columbus, OH, 43204",Columbus City School District,Burroughs Elementary School,Academic Watch*,F,small_red,D,-,-,D,C,D,B,F,043802,004341,69,004341,4341
"Cassady Alternative Elem, 2500 N Cassady Ave, Columbus, OH, 43219",Columbus City School District,Cassady Alternative Elementary School,Academic Emergency*,F,small_red,D,-,-,D,-,C,C,F,043802,024653,71.89602446,024653,24653
"Champion Middle, 284 N 22nd St, Columbus, OH, 43203",Columbus City School District,Champion Middle School,Academic Emergency*,F,small_red,D,-,-,B,C,A,C,F,043802,005827,65.53505535,005827,5827
"Clearbrook Middle, 31 N 17th St, Columbus, OH, 43203",Columbus City School District,Clearbrook Middle School,Academic Emergency*,F,small_red,D,-,-,D,-,C,F,F,043802,066431,51.57894737,066431,66431
"Col Africentric Early College, 300 E Livingston Ave, Columbus, OH, 43215",Columbus City School District,Columbus Africentric Early College ,Academic Watch*,F,small_red,D,D,B,C,D,C,C,F,043802,142034,80,142034,142034
"Col. Africentric EC ES Elem, 300 E Livingston Ave, Columbus, OH, 43215",Columbus City School District,Columbus Africentric Early College Elementary School,Academic Emergency*,F,small_red,D,-,-,B,-,A,-,F,043802,025163,69.20415225,025163,25163
"Columbus Prep for Boys Middle, 3450 Medway Ave, Columbus, OH, 43213",Columbus City School District,Columbus City Preparatory School for Boys,Continuous Improvement*,F,small_red,D,-,-,C,C,B,B,F,043802,011997,83.1779661,011997,11997
"COLUMBUS GLOBAL ACADEMY High, 2001 Hamilton Ave, Columbus, OH, 43211",Columbus City School District,COLUMBUS GLOBAL ACADEMY,Academic Emergency*,F,small_red,D,F,F,C,-,C,-,F,043802,138099,71.47751606,138099,138099
"Como Elem, 2989 Reis Ave, Columbus, OH, 43224",Columbus City School District,Como Elementary School,Academic Watch*,F,small_red,D,-,-,F,C,D,-,F,043802,007120,80.10135135,007120,7120
"Dana Avenue Elem, 300 Dana Ave, Columbus, OH, 43223",Columbus City School District,Dana Avenue Elementary School,Effective*,F,small_red,D,-,-,A,B,B,B,F,043802,008037,77.79874214,008037,8037
"Duxberry Park Alternative Elem, 1779 E Maynard Ave, Columbus, OH, 43219",Columbus City School District,Duxberry Park Alternative Elementary School,Academic Watch*,F,small_red,D,-,-,F,D,F,-,F,043802,008912,82.16216216,008912,8912
"Eakin Elem, 3774 Eakin Rd, Columbus, OH, 43228",Columbus City School District,Eakin Elementary School,Effective*,F,small_red,D,-,-,A,-,B,-,F,043802,009233,75.77854671,009233,9233
"East Columbus Elem, 3100 E. 7th Ave, Columbus, OH, 43219",Columbus City School District,East Columbus Elementary School,Academic Emergency*,F,small_red,D,-,-,D,-,C,-,F,043802,009001,70.10380623,009001,9001
"East on Arcadia High, 1500 E Broad St, Columbus, OH, 43205",Columbus City School District,East High School ,Academic Watch*,F,small_red,D,F,F,-,-,-,-,F,043802,009514,81.68,009514,9514
"East Linden ES Elem, 2505 Brentnell Blvd, Columbus, OH, 43211",Columbus City School District,East Linden Elementary School,Academic Emergency*,F,small_red,D,-,-,C,-,B,-,F,043802,009076,67.76515152,009076,9076
"Eastgate Elem, 1925 Stratford Way, Columbus, OH, 43219",Columbus City School District,Eastgate Elementary School,Academic Emergency*,F,small_red,D,-,-,C,C,C,B,F,043802,000435,75.21126761,000435,435
"Easthaven Elem, 2360 Garnet Pl, Columbus, OH, 43232",Columbus City School District,Easthaven Elementary School,Academic Watch*,F,small_red,D,-,-,B,C,A,-,F,043802,009613,78.43575419,009613,9613
"Fairmoor Elem, 3281 Mayfair Park Pl, Columbus, OH, 43213",Columbus City School District,Fairmoor Elementary School,Academic Emergency*,F,small_red,D,-,-,F,D,D,D,F,043802,011189,70.27253669,011189,11189
"Fairwood Alternative Elem, 726 Fairwood Ave, Columbus, OH, 43205",Columbus City School District,Fairwood Alternative Elementary School,Continuous Improvement*,F,small_red,D,-,-,A,-,A,A,F,043802,011312,53.99456522,011312,11312
"Fifth Intnational K-7 Elem, 100 W 4th Ave, Columbus, OH, 43201",Columbus City School District,Fifth Avenue International K-7 School ,Continuous Improvement*,F,small_red,D,-,-,A,C,A,A,F,043802,011593,79.97572816,011593,11593
"Forest Park Elem, 5535 Sandalwood Blvd, Columbus, OH, 43229",Columbus City School District,Forest Park Elementary School,Academic Watch*,F,small_red,D,-,-,B,D,B,C,F,043802,011957,81.87830688,011957,11957
"Hamilton Elem, 2047 Hamilton Ave, Columbus, OH, 43211",Columbus City School District,Hamilton STEM Academy (K-6),Academic Watch*,F,small_red,D,-,-,C,-,C,F,F,043802,014902,75.71428571,014902,14902
"Heyl Avenue Elem, 760 Reinhard Ave, Columbus, OH, 43206",Columbus City School District,Heyl Avenue Elementary Schoola,Academic Watch*,F,small_red,D,-,-,A,-,A,A,F,043802,015982,56.640625,015982,15982
"Hilltonia Middle, 2345 W Mound St, Columbus, OH, 43204",Columbus City School District,Hilltonia Middle School,Academic Watch*,F,small_red,D,-,-,F,C,C,C,F,043802,016386,75.55652936,016386,16386
"Huy Elem, 1545 Huy Rd, Columbus, OH, 43224",Columbus City School District,Huy Elementary School ,Academic Watch*,F,small_red,D,-,-,B,A,C,A,F,043802,017228,79.31547619,017228,17228
"Independence High, 5175 Refugee Rd, Columbus, OH, 43232",Columbus City School District,Independence High School,Academic Watch*,F,small_red,D,D,C,-,-,-,-,F,043802,067736,79.38129496,067736,67736
"Innis Elem, 3399 Kohr Blvd, Columbus, OH, 43224",Columbus City School District,Innis Elementary School,Academic Emergency*,F,small_red,D,-,-,F,-,D,C,F,043802,067744,71.98250729,067744,67744
"Johnson Park Middle, 1130 S Waverly St, Columbus, OH, 43227",Columbus City School District,Johnson Park Middle School,Academic Watch*,F,small_red,D,-,-,C,B,C,A,F,043802,018465,73.63841808,018465,18465
"Leawood Elem, 1677 S Hamilton Rd, Columbus, OH, 43227",Columbus City School District,Leawood Elementary School,Academic Emergency*,F,small_red,D,-,-,C,-,B,B,F,043802,020024,62.91366906,020024,20024
"Liberty Elem, 2949 Whitlow Rd, Columbus, OH, 43232",Columbus City School District,Liberty Elementary School,Academic Watch*,F,small_red,D,-,-,B,B,C,C,F,043802,067751,65.60885609,067751,67751
"Lincoln Park Elem, 579 E Markison Ave, Columbus, OH, 43207",Columbus City School District,Lincoln Park Elementary School,Continuous Improvement*,F,small_red,D,-,-,A,-,A,A,C,043802,020974,58.01652893,020974,20974
"Lindbergh Elem, 2541 Lindbergh Dr, Columbus, OH, 43223",Columbus City School District,Lindbergh Elementary School,Academic Watch*,F,small_red,D,-,-,C,C,C,D,F,043802,021014,75.03937008,021014,21014
"Linden Elem, 2626 Cleveland Ave, Columbus, OH, 43211",Columbus City School District,Linden STEM Academy (K-6),Academic Emergency*,F,small_red,D,-,-,B,A,B,C,F,043802,021022,70.28419183,021022,21022
"Linden-Mckinley  STEM High, 100 E Arcadia Ave, Columbus, OH, 43202",Columbus City School District,Linden-Mckinley STEM Academy,Academic Emergency*,F,small_red,D,F,F,F,D,F,C,F,043802,021030,73.41545353,021030,21030
"Livingston Elem, 825 E Livingston Ave, Columbus, OH, 43205",Columbus City School District,Livingston Elementary School,Academic Emergency*,F,small_red,D,-,-,D,-,C,C,F,043802,021147,62.48466258,021147,21147
"Marion-Franklin High, 1265 Koebel Rd, Columbus, OH, 43207",Columbus City School District,Marion-Franklin High School,Continuous Improvement*,F,small_red,D,D,F,-,-,-,-,F,043802,022855,89.65517241,022855,22855
"Maybury Elem, 2633 Maybury Rd, Columbus, OH, 43232",Columbus City School District,Maybury Elementary School,Academic Watch*,F,small_red,D,-,-,D,-,D,C,F,043802,023275,84.75409836,023275,23275
"Medina Middle, 1425 Huy Rd, Columbus, OH, 43224",Columbus City School District,Medina Middle School,Academic Emergency*,F,small_red,D,-,-,F,F,F,C,F,043802,024067,72.10472279,024067,24067
"Mifflin Alternative Middle, 3000 Agler Rd, Columbus, OH, 43219",Columbus City School District,Mifflin Alternative Middle School,Academic Emergency*,F,small_red,D,-,-,F,F,F,C,F,043802,070078,70.60344828,070078,70078
"Mifflin High, 3245 Oak Spring St, Columbus, OH, 43219",Columbus City School District,Mifflin High School,Academic Watch*,F,small_red,D,F,F,-,-,-,-,F,043802,024661,81.88709677,024661,24661
"Moler Elem, 1560 Moler Rd, Columbus, OH, 43207",Columbus City School District,Moler Elementary School,Academic Emergency*,F,small_red,D,-,-,B,-,B,D,F,043802,025171,74.67248908,025171,25171
"Monroe Alternative Middle, 474 N Monroe Ave, Columbus, OH, 43203",Columbus City School District,Monroe Alternative Middle School,Continuous Improvement*,F,small_red,D,-,-,D,F,B,B,F,043802,025346,82.45379877,025346,25346
"North Linden Elem, 1718 E Cooke Rd, Columbus, OH, 43224",Columbus City School District,North Linden Elementary School,Effective*,F,small_red,D,-,-,A,B,A,B,F,043802,026245,76.39676113,026245,26245
"Northtowne Elem, 4767 Northtowne Blvd, Columbus, OH, 43229",Columbus City School District,Northtowne Elementary School,Academic Emergency*,F,small_red,D,-,-,D,-,D,C,F,043802,027813,76.05150215,027813,27813
"Oakmont Elem, 5666 Oakmont Dr, Columbus, OH, 43232",Columbus City School District,Oakmont  Elementary School,Academic Watch*,F,small_red,D,-,-,C,-,C,C,F,043802,028316,75.89211618,028316,28316
"Ohio Avenue Elem, 505 S Ohio Ave, Columbus, OH, 43205",Columbus City School District,Ohio Avenue Elementary School,Academic Emergency*,F,small_red,D,-,-,C,-,C,C,F,043802,028423,67.33711048,028423,28423
"Olde Orchard Alt @ Old Shady L, 1488 Shady Lane Rd, Columbus, OH, 43227",Columbus City School District,Olde Orchard Alt Elementary School @ Old Shady Lane ES,Continuous Improvement*,F,small_red,D,-,-,C,C,C,C,F,043802,028530,80.96774194,028530,28530
"Parkmoor  ES Elem, 1711 Penworth Dr, Columbus, OH, 43229",Columbus City School District,Parkmoor Elementary School,Academic Watch*,F,small_red,D,-,-,C,B,C,D,F,043802,029181,79.7260274,029181,29181
"Parsons Elem, 3231 Lee Ellen Pl, Columbus, OH, 43207",Columbus City School District,Parsons Elementary School,Continuous Improvement*,F,small_red,D,-,-,C,C,D,C,F,043802,029355,85.49425287,029355,29355
"Salem Elem, 1040 Garvey Rd, Columbus, OH, 43229",Columbus City School District,Salem Elementary School,Academic Watch*,F,small_red,D,-,-,B,-,C,D,F,043802,033464,85.382263,033464,33464
"Shady Lane Elem, 1444 Shady Lane Rd, Columbus, OH, 43227",Columbus City School District,Shady Lane Elementary School,Academic Watch*,F,small_red,D,-,-,F,-,F,-,F,043802,034082,79.19881306,034082,34082
"Sherwood Middle, 1400 Shady Lane Rd, Columbus, OH, 43227",Columbus City School District,Sherwood Middle School,Academic Watch*,F,small_red,D,-,-,D,C,C,C,F,043802,034439,75.98532495,034439,34439
"Siebert Elem, 385 Reinhard Ave, Columbus, OH, 43206",Columbus City School District,Siebert Elementary School,Academic Watch*,F,small_red,D,-,-,C,D,B,C,F,043802,034587,75.8125,034587,34587
"South High, 1160 Ann St, Columbus, OH, 43206",Columbus City School District,South High School ,Academic Watch*,F,small_red,D,F,F,-,-,-,-,F,043802,035063,73.90361446,035063,35063
"South Mifflin Elem, 2365 Middlehurst Dr, Columbus, OH, 43219",Columbus City School District,South Mifflin STEM Academy (K-6),Academic Watch*,F,small_red,D,-,-,A,-,A,-,F,043802,033258,62.44897959,033258,33258
"Southmoor Middle, 1201 Moler Rd, Columbus, OH, 43207",Columbus City School District,Southmoor Middle Schoola,Continuous Improvement*,F,small_red,D,-,-,A,B,A,C,F,043802,035253,69.61832061,035253,35253
"Southwood Elem, 1500 S 4th St, Columbus, OH, 43207",Columbus City School District,Southwood Elementary School ,Academic Watch*,F,small_red,D,-,-,B,-,B,A,F,043802,035279,78.88178914,035279,35279
"Starling Middle, 120 S Central Ave, Columbus, OH, 43222",Columbus City School District,Starling Middle School,Academic Watch*,F,small_red,D,-,-,F,C,D,C,F,043802,035824,77.27102804,035824,35824
"Sullivant Elem, 791 Griggs Ave, Columbus, OH, 43223",Columbus City School District,Sullivant Elementary School,Academic Emergency*,F,small_red,D,-,-,C,-,D,F,F,043802,036392,65.07177033,036392,36392
"Valley Forge Elem, 1321 Urban Dr, Columbus, OH, 43229",Columbus City School District,Valley Forge Elementary School,Academic Emergency*,F,small_red,D,-,-,D,C,C,-,F,043802,038091,75.71428571,038091,38091
"Walnut Ridge High, 4841 E Livingston Ave, Columbus, OH, 43227",Columbus City School District,Walnut Ridge High School,Continuous Improvement*,F,small_red,D,F,F,-,-,-,-,F,043802,039107,93.3530572,039107,39107
"Watkins Elem, 1520 Watkins Rd, Columbus, OH, 43207",Columbus City School District,Watkins Elementary School,Academic Emergency*,F,small_red,D,-,-,D,-,B,B,F,043802,006387,69.15068493,006387,6387
"Wedgewood Middle, 3800 Briggs Rd, Columbus, OH, 43228",Columbus City School District,Wedgewood Middle School,Continuous Improvement*,F,small_red,D,-,-,D,F,C,C,F,043802,040162,80.38120567,040162,40162
"Weinland Park Elem, 211 E 7th Ave, Columbus, OH, 43201",Columbus City School District,Weinland Park Elementary School,Academic Emergency*,F,small_red,D,-,-,B,-,C,C,F,043802,040188,64.21052632,040188,40188
"West Broad Elem, 2744 W Broad St, Columbus, OH, 43204",Columbus City School District,West Broad Elementary School,Academic Watch*,F,small_red,D,-,-,A,B,B,C,F,043802,038562,70.6013363,038562,38562
"West High, 179 S Powell Ave, Columbus, OH, 43204",Columbus City School District,West High School,Continuous Improvement*,F,small_red,D,F,F,-,-,-,-,F,043802,040527,83.60638298,040527,40527
"West Mound Elem, 2051 W Mound St, Columbus, OH, 43223",Columbus City School District,West Mound Elementary School,Academic Emergency*,F,small_red,D,-,-,F,-,C,C,F,043802,038828,87.8342246,038828,38828
"Westgate Alternative Elem, 3080 Wicklow Rd, Columbus, OH, 43204",Columbus City School District,Westgate Alternative Elementary School,Continuous Improvement*,F,small_red,D,-,-,D,C,C,C,F,043802,040725,92.3480663,040725,40725
"Westmoor Middle, 3001 Valleyview Dr, Columbus, OH, 43204",Columbus City School District,Westmoor Middle School,Continuous Improvement*,F,small_red,D,-,-,D,C,C,C,F,043802,040782,83.35774059,040782,40782
"Windsor Elem, 1219 E 12th Ave, Columbus, OH, 43211",Columbus City School District,Windsor STEM Acadmey (K-6),Academic Emergency*,F,small_red,D,-,-,C,-,C,-,F,043802,041749,66.51612903,041749,41749
"Yorktown Middle, 5600 E Livingston Ave, Columbus, OH, 43232",Columbus City School District,Yorktown Middle School,Continuous Improvement*,F,small_red,D,-,-,C,F,A,C,F,043802,042499,80.5387931,042499,42499
"Asbury Elem, 5127 Harbor Blvd, Columbus, OH, 43232",Groveport Madison Local,Asbury Elementary School,Continuous Improvement,F,small_red,D,-,-,D,-,D,D,F,046979,001073,86.76724138,001073,1073
"Stiles Elem, 4700 Stiles Ave, Columbus, OH, 43228",South-Western City,Stiles Elementary School,Continuous Improvement,F,small_red,D,-,-,B,-,B,C,F,044800,036129,80.86666667,036129,36129
"Kae Avenue Elem, 4738 Kae Ave,  Whitehall, OH, 43213",Whitehall City,Kae Avenue Elementary School,Academic Watch,F,small_red,D,-,-,B,-,A,-,F,045070,018580,73.02845528,018580,18580
"Academy Of World Languages Ele, 2030 Fairfax Ave, Cincinnati, OH, 45207",Cincinnati City,Academy Of World Languages Elementary School,Continuous Improvement*,F,small_red,D,-,-,A,-,A,D,F,043752,094623,79.43148688,094623,94623
"Aiken College and Career High, 2240 Baltimore Ave, Cincinnati, OH, 45225",Cincinnati City,Aiken College and Career High School,Continuous Improvement*,F,small_red,D,F,F,-,-,-,-,F,043752,147538,90.33807829,147538,147538
"Bond Hill Academy Elem, 1510 California Ave, Cincinnati, OH, 45237",Cincinnati City,Bond Hill Academy Elementary School,Continuous Improvement*,F,small_red,D,-,-,C,-,C,C,F,043752,003152,83.22820037,003152,3152
"Chase Elem, 4151 Turrill St, Cincinnati, OH, 45223",Cincinnati City,Chase Elementary School,Continuous Improvement*,F,small_red,D,-,-,B,-,B,C,F,043752,006015,76.15776081,006015,6015
"Cheviot Elem, 4040 Harrison Ave, Cincinnati, OH, 45211",Cincinnati City,Cheviot Elementary School,Continuous Improvement*,F,small_red,D,-,-,C,-,C,C,F,043752,006239,80.14388489,006239,6239
"Taylor Elem, 1930 Fricke Road, Cincinnati, OH, 45225",Cincinnati City,Ethel M. Taylor Academy,Academic Watch*,F,small_red,D,-,-,F,-,F,C,F,043752,024927,76.0041841,024927,24927
"Douglass/Windsor Elem, 2627 Park Ave, Cincinnati, OH, 45206",Cincinnati City,Frederick Douglass Elementary School,Continuous Improvement*,F,small_red,D,-,-,A,-,A,A,F,043752,008698,74.77876106,008698,8698
"Hays/Porter Elem, 1030 Cutter St, Cincinnati, OH, 45203",Cincinnati City,George Hays-Jennie Porter Elementary,Effective*,F,small_red,D,-,-,A,-,A,A,C,043752,015818,70.49450549,015818,15818
"Hughes STEM High, 2515 Clifton Ave,  Cincinnati, OH, 45219",Cincinnati City,Hughes STEM High School,Continuous Improvement*,F,small_red,D,-,-,F,-,F,-,F,043752,011609,90.06976744,011609,11609
"Midway Elem, 3156 Glenmore Ave, Cincinnati, OH, 45211",Cincinnati City,Midway Elementary School,Effective*,F,small_red,D,-,-,A,-,A,B,F,043752,024612,79.18114144,024612,24612
"Mt. Airy Elem, 5730 Colerain Ave, Cincinnati, OH, 45239",Cincinnati City,Mt. Airy Elementary School,Academic Watch*,F,small_red,D,-,-,C,-,C,B,F,043752,025726,72.50331126,025726,25726
"Pleasant Hill Elem, 1350 W North Bend Rd, Cincinnati, OH, 45224",Cincinnati City,Pleasant Hill Elementary School,Academic Watch*,F,small_red,D,-,-,F,-,D,C,F,043752,030288,72.36141907,030288,30288
"Pleasant Ridge Elem, 5945 Montgomery Rd, Cincinnati, OH, 45213",Cincinnati City,Pleasant Ridge Montessori School,Continuous Improvement*,F,small_red,D,-,-,A,-,B,B,F,043752,030312,64.33760684,030312,30312
"Quebec Heights Elem, 2475 White St, Cincinnati, OH, 45214",Cincinnati City,Quebec Heights Elementary Schoola,Academic Emergency*,F,small_red,D,-,-,B,-,C,C,F,043752,030957,54.1563786,030957,30957
"Rees E. Price Elementary Elem, 1228 Considine Ave, Cincinnati, OH, 45204",Cincinnati City,Rees E. Price Elementary School,Academic Watch*,F,small_red,D,-,-,C,-,C,C,F,043752,147280,73.20433437,147280,147280
"Riverview East Elem, 3555 Kellogg Ave, Cincinnati, OH, 45226",Cincinnati City,Riverview East Academy,Academic Watch*,F,small_red,D,F,F,F,-,D,-,F,043752,145722,82.16911765,145722,145722
"Roberts Paideia Elem, 1702 Grand Ave, Cincinnati, OH, 45214",Cincinnati City,Roberts Academy:  A Paideia Learning Community,Academic Watch*,F,small_red,D,-,-,D,-,C,C,F,043752,032086,73.98190045,032086,32086
"Rockdale Academy Elem, 335 Rockdale Ave, Cincinnati, OH, 45229",Cincinnati City,Rockdale Academy Elementary School,Academic Watch*,F,small_red,D,-,-,F,-,F,F,F,043752,032177,76.24242424,032177,32177
"Roll Hill School Elem, 2411 Baltimore Ave, Cincinnati, OH, 45225",Cincinnati City,Roll Hill School,Continuous Improvement*,F,small_red,D,-,-,D,-,D,D,F,043752,148320,80.04761905,148320,148320
"Roselawn Condon Elem, 7735 Greenland Pl, Cincinnati, OH, 45237",Cincinnati City,Roselawn Condon Elementary School,Continuous Improvement*,F,small_red,D,-,-,D,-,C,-,F,043752,032680,79.82084691,032680,32680
"Rothenberg Prep Elem, 2120 Vine St, Cincinnati, OH, 45202",Cincinnati City,Rothenberg Preparatory Academy,Continuous Improvement*,F,small_red,D,-,-,A,-,A,A,F,043752,032797,74.66666667,032797,32797
"Virtual High, 425 Ezzard Charles Dr, Cincinnati, OH, 45203",Cincinnati City,Virtual High School,Academic Watch*,F,small_red,D,F,F,-,-,-,-,F,043752,142398,72.44897959,142398,142398
"Western Hills Engineering High, 2144 Ferguson Rd, Cincinnati, OH, 45238",Cincinnati City,Western Hills Engineering High School,Academic Emergency*,F,small_red,D,F,F,-,-,-,-,F,043752,145565,68.80851064,145565,145565
"Western Hills University High, 2144 Ferguson Rd, Cincinnati, OH, 45238",Cincinnati City,Western Hills University High School,Continuous Improvement*,F,small_red,D,F,F,-,-,-,-,F,043752,145557,92.28571429,145557,145557
"Westwood Elem, 2601 Westwood Northern Blvd, Cincinnati, OH, 45211",Cincinnati City,Westwood Elementary School,Academic Watch*,F,small_red,D,-,-,F,-,D,D,F,043752,040865,72.33933162,040865,40865
"William H Taft Elem, 270 Southern Ave, Cincinnati, OH, 45219",Cincinnati City,William H Taft Elementary School,Continuous Improvement*,F,small_red,D,-,-,A,-,A,C,F,043752,036780,70.56179775,036780,36780
"Woodward Career Technical High, 7005 Reading Rd, Cincinnati, OH, 45237",Cincinnati City,Woodward Career Technical High School ,Academic Watch*,F,small_red,D,F,F,-,-,-,-,F,043752,147520,80.66378066,147520,147520
#N/A,Lockland Local,Arlington Heights Academy,Continuous Improvement,F,small_red,D,F,B,-,-,-,-,-,044230,000663,89.33333333,000663,663
"Lockland Elem, 200 N Cooper Ave, Lockland, OH, 45215",Lockland Local,Lockland Elementary School,Effective,F,small_red,D,-,-,A,-,B,-,F,044230,021170,85.61946903,021170,21170
"Mt Healthy Junior High Middle, 8101 Hamilton Ave, Cincinnati, OH, 45231",Mt Healthy City,Mt Healthy Junior High School,Continuous Improvement,F,small_red,D,-,-,D,C,D,F,F,044412,035105,77.61825726,035105,35105
"North Elem, 2701 Struble Rd, Cincinnati, OH, 45231",Mt Healthy City,North Elementary School,Effective,F,small_red,D,-,-,A,C,A,B,F,044412,026658,81.58546656,026658,26658
"North College Hill Elem, 6955 Grace Ave, North College Hil, OH, 45239",North College Hill City,North College Hill Elementary School,Effective,F,small_red,D,-,-,A,-,C,C,F,044511,006775,87.18905473,006775,6775
"Lincoln Heights Elem, 1113 Adams St, Cincinnati, OH, 45215",Princeton City,Lincoln Heights Elementary School,Academic Watch,F,small_red,D,-,-,B,-,C,C,F,044677,020917,80.44642857,020917,20917
