Mailing Address,District Name,School Name,2011-2012 Rating,Performance Indicators,Marker_Type,Performance Index,4-Year Graduation Rate,5-Year Graduation Rate,Value-Added: All Students,Value-Added: Gifted Students,Value-Added: Lowest 20% in Achievement,Value-Added: Students with Disabilities,Annual Measurable Objectives,District IRN,School IRN,2011 PI Score,School IRN,School IRN
"Rosa Parks Elementary School E, 1210 S Verity Pkwy, Middletown, OH, 45044",Middletown City,Rosa Parks Elementary School,Continuous Improvement,F,small_red,C,-,-,A,B,B,B,F,044404,008933,75.72127139,008933,8933
"Wildwood Elem, 3300 Wildwood Rd, Middletown, OH, 45042",Middletown City,Wildwood Elementary School,Continuous Improvement,F,small_red,C,-,-,C,C,B,C,F,044404,041277,89.35416667,041277,41277
"New Miami Elem, 606 Seven Mile Ave, Hamilton, OH, 45011",New Miami Local,New Miami Elementary School,Effective,F,small_red,C,-,-,C,-,C,C,F,046136,026864,99.36046512,026864,26864
"New Miami Middle School Middle, 600 Seven Mile Ave, Hamilton, OH, 45011",New Miami Local,New Miami Middle School,Continuous Improvement,F,small_red,C,-,-,F,-,F,F,F,046136,010134,90.07371007,010134,10134
"Lagonda Elem, 800 E McCreight Ave, Springfield, OH, 45503",Springfield City,Lagonda Elementary School,Excellent,F,small_red,C,-,-,A,-,B,A,B,044818,019430,83.42042755,019430,19430
"Mann Elem, 521 Mount Joy St, Springfield, OH, 45505",Springfield City,Mann Elementary School,Effective,F,small_red,C,-,-,A,C,B,A,F,044818,022459,82.88354898,022459,22459
"Roosevelt Middle, 721 E Home Rd, Springfield, OH, 45503",Springfield City,Roosevelt Middle School,Continuous Improvement,F,small_red,C,-,-,B,B,B,C,F,044818,032540,85.75587906,032540,32540
"SHS High, 701 E Home Rd, Springfield, OH, 45503",Springfield City,Springfield High School,Continuous Improvement,F,small_red,C,D,F,-,-,-,-,F,044818,035527,89.90379747,035527,35527
"Felicity-Franklin Middle, Felicity-Franklin Middle Schoo, Felicity, OH, 45120",Felicity-Franklin Local,Felicity-Franklin Local Middle School,Effective,F,small_red,C,-,-,D,D,F,D,F,046334,125351,91.24675325,125351,125351
"East Liverpool Jr High Middle, 100 Maine Blvd, East Liverpool, OH, 43920",East Liverpool City,East Liverpool Junior High,Continuous Improvement,F,small_red,C,-,-,D,B,D,C,F,043919,040733,89.22965116,040733,40733
