DISTRICT,ADDRESS,SCHOOL,,SCHOOLID,TYPE,Grade in 2013,POINTTOT,POINTELEMpass,POINTELEMalt,POINTMIDDpass,POINTMIDDalt,POINTHIGH
CHEROKEE,"Luther L. Vaughan  Elementary, 192 Vaughan Road, Gaffney, SC, 29341",LUTHER VAUGHAN ELEMENTARY,http://www.cherokee1.k12.sc.us/lves/,1101019,ELEM,F,20.6,20.6,,,,
CHEROKEE,"Blacksburg Elementary, 402 Hardin Street, Blacksburg, SC, 29702",BLACKSBURG ELEMENTARY,http://www.cherokee1.k12.sc.us/bes/,1101020,ELEM,B,85.2,85.2,,,,
CHEROKEE,"Limestone-Central Elementary, 727 Pacolet Highway, Gaffney, SC, 29341",LIMESTONE/CENTRAL ELEMENTARY,http://www.cherokee1.k12.sc.us/lces/,1101021,ELEM,B,88.8,88.8,,,,
CHEROKEE,"Grassy Pond Elementary, 1146 Boiling Springs Highway, Gaffney, SC, 29341",GRASSY POND ELEMENTARY,http://www.cherokee1.k12.sc.us/gpes/,1101022,ELEM,B,86.5,86.5,,,,
CHEROKEE,"Northwest Elementary, 840 Green River Road, Gaffney, SC, 29341",NORTHWEST ELEMENTARY,http://www.cherokee1.k12.sc.us/nwes/,1101023,ELEM,A,95,95,,,,
CHEROKEE,"Gaffney Middle, 805 East Frederick Street, Gaffney, SC, 29340",GAFFNEY MIDDLE,http://www.cherokee1.k12.sc.us/gms/,1101024,MIDD,D,63.7,,,63.7,,
CHESTER,"Chester Senior High, 1330 J. A. Cochran Bypass, Chester, SC, 29706",CHESTER SENIOR HIGH,http://chester.chs.schooldesk.net/,1201002,HIGH,F,46.2,,,,,46.2
CHESTER,"Chester Middle, 1014 McCandless Road, Chester, SC, 29706",CHESTER MIDDLE,http://chester.cms.schooldesk.net/,1201004,MIDD,F,47,,,47,,
CHESTER,"Great Falls High, 411 Sunset Avenue, Great Falls, SC, 29055",GREAT FALLS HIGH,http://chester.gfmh.schooldesk.net/,1201005,COMBO,D,62.2,,,62.6,,61.4
CHESTER,"Lewisville High, 3971 Lewisville High School Road, Richburg, SC, 29729",LEWISVILLE HIGH,http://chester.lhs.schooldesk.net/,1201006,HIGH,A,100,,,,,100
CHESTER,"Lewisville Middle, 3595 Lancaster Highway, Richburg, SC, 29729",LEWISVILLE MIDDLE,http://chester.lms.schooldesk.net/,1201008,MIDD,A,90.1,,,90.1,,
CHESTER,"Great Falls Elementary, 301 Dearborn Street, Great Falls, SC, 29055",GREAT FALLS ELEMENTARY,http://chester.greatfalls.schooldesk.net/,1201011,ELEM,D,66.3,66.3,,,,
CHESTER,"Lewisville Elementary, 4006 Lewisville High School Road, Richburg, SC, 29729",LEWISVILLE ELEMENTARY,http://chester.lewisville.schooldesk.net/,1201014,ELEM,C,78.7,78.7,,,,
CHESTER,"Chester Park Elementary of Inquiry, 835 Lancaster Highway, Chester, SC, 29706",CHESTER PARK ELEMENTARY SCHOOL O,http://chester.inquiry.schooldesk.net/,1201018,ELEM,F,56.2,56.2,,,,
CHESTER,"Chester Park Elementary School for the Arts, 835 Lancaster Highway, Chester, SC, 29706",CHESTER PARK ELEMENTARY SCHOOL O,http://chester.arts.schooldesk.net/,1201020,ELEM,C,77,77,,,,
CHESTER,"Chester Park Elementary School of Literacy and Technology, 835 Lancaster Highway, Chester, SC, 29706",CHESTER PARK CENTER OF LITERACY,http://chester.literacy.schooldesk.net/,1201021,ELEM,F,58.7,58.7,,,,
CHESTER,"Academy for Teaching and Learning, 109 Hinton Street, Chester, SC, 29706",THE ACADEMY FOR TEACHING AND LEA,http://chester.academy.schooldesk.net/,1201601,COMBO,C,75.4,78.6,,70.9,,
CHESTERFIELD,"Cheraw High, 649 Chesterfield Highway, Cheraw, SC, 29520",CHERAW HIGH,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=62,1301001,HIGH,D,65.6,,,,,65.6
CHESTERFIELD,"Chesterfield High, 401 North Page Street, Chesterfield, SC, 29709",CHESTERFIELD HIGH,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=66,1301002,HIGH,B,85.7,,,,,85.7
CHESTERFIELD,"Long Middle, 1010 West Green Street, Cheraw, SC, 29520",LONG MIDDLE,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=69,1301005,MIDD,D,66.4,,,66.4,,
CHESTERFIELD,"McBee High, 265 East Pine Street, McBee, SC, 29101",MCBEE HIGH,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=67,1301006,COMBO,C,75.1,,,69.5,,89.8
CHESTERFIELD,"Central High, 200 Zion Church Road, Pageland, SC, 29728",CENTRAL HIGH,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=54,1301007,HIGH,D,67,,,,,67
CHESTERFIELD,"New Heights Middle, 5738 Highway 151, Jefferson, SC, 29718",NEW HEIGHTS MIDDLE,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=70,1301008,MIDD,D,63.7,,,63.7,,
CHESTERFIELD,"Edwards Elementary, 2411 West Boulevard, Chesterfield, SC, 29709",EDWARDS ELEMENTARY,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=72,1301014,ELEM,A,90.9,90.9,,,,
CHESTERFIELD,"Jefferson Elementary, 809 West Elizabeth Street, Jefferson, SC, 29718",JEFFERSON ELEMENTARY,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=73,1301015,ELEM,A,97.8,97.8,,,,
CHESTERFIELD,"McBee Elementary, 284 East Maple Avenue, McBee, SC, 29101",MCBEE ELEMENTARY,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=74,1301020,COMBO,A,96.5,95.8,,97.9,,
CHESTERFIELD,"Plainview Elementary, 16002 Highway 102, Patrick, SC, 29584",PLAINVIEW ELEMENTARY,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=76,1301021,ELEM,A,97.3,97.3,,,,
CHESTERFIELD,"Ruby Elementary, 249 Thurman Aveune, Ruby, SC, 29741",RUBY ELEMENTARY,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=77,1301023,ELEM,A,100,100,,,,
CHESTERFIELD,"Cheraw Intermediate, 421 Chesterfield Highway, Cheraw, SC, 29520",CHERAW INTERMEDIATE,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=71,1301026,ELEM,A,93.6,93.6,,,,
CHESTERFIELD,"Pageland Elementary, 715 West McGregor Street, Pageland, SC, 29728",PAGELAND ELEMENTARY,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=75,1301027,ELEM,B,89,89,,,,
CHESTERFIELD,"Chesterfield-Ruby Middle, 14445 Highway 9, Chesterfield, SC, 29709",CHESTERFIELD-RUBY MIDDLE,http://schools.mychesterfieldcountyschools.com/index.aspx?nid=68,1301028,MIDD,C,74.6,,,74.6,,
CLARENDON 1,"Scott's Branch High, 9253 Alex Harvin Highway, Summerton, SC, 29148",SCOTTS BRANCH HIGH,http://sbh.clarendon1.k12.sc.us/,1401001,HIGH,A,96,,,,,96
CLARENDON 1,"St. Paul Elementary, 9297 Alex Harvin Highway, Summerton, SC, 29148",ST PAUL ELEMENTARY,http://stp.clarendon1.k12.sc.us/,1401005,COMBO,A,91.1,94.6,,81.6,,
CLARENDON 1,"Scott's Branch Middle, 9253 Alex Harvin Highway, Summerton, SC, 29148",SCOTTS BRANCH MIDDLE,http://sbi.clarendon1.k12.sc.us/,1401020,MIDD,B,81.1,,,81.1,,
CLARENDON 2,"Manning High, 2155 Paxville Highway, Manning, SC, 29102",MANNING HIGH,http://mhs.clarendon2.k12.sc.us/home.aspx,1402007,HIGH,F,59.8,,,,,59.8
CLARENDON 2,"Manning Junior High, 1101 W.L. Hamilton Road, Manning, SC, 29102",MANNING JUNIOR HIGH,http://mjhs.clarendon2.k12.sc.us/home.aspx,1402011,MIDD,D,61.6,,,61.6,,
CLARENDON 2,"Manning Primary, 125 North Boundary Street, Manning, SC, 29102",MANNING PRIMARY,http://mps.clarendon2.k12.sc.us/home.aspx,1402012,ELEM,C,71.5,71.5,,,,
CLARENDON 2,"Manning Elementary, 311 West Boyce Street, Manning, SC, 29102",MANNING ELEMENTARY,http://mes.clarendon2.k12.sc.us/home.aspx,1402013,COMBO,B,84.6,87.5,,79.3,,
CLARENDON 2,"Phoenix Charter High, 1423 Hotel Street, Alcolu, SC, 29001",PHOENIX CHARTER HIGH SCHOOL,http://www.clarendon2.k12.sc.us/group_profile_view.aspx?id=b0290377-f523-471a-bfbb-ddc22b3dd867,1402610,HIGH,*,,,,,,
CLARENDON 3,"East Clarendon Middle-High, 1101 Pope Street, Turbeville, SC, 29162",EAST CLARENDON MIDDLE/HIGH,http://clarendon3.org/ecmhs/,1403016,COMBO,B,82.2,,,84.9,,73.5
CLARENDON 3,"Walker-Gamble Elementary, 2358 Walker-Gamble Road, New Zion, SC, 29111",WALKER-GAMBLE ELEMENTARY,http://www.walkergamble.com/,1403019,ELEM,A,97,97,,,,
COLLETON,"Colleton County High, 150 Cougar Nation Drive, Walterboro, SC, 29488",COLLETON COUNTY HIGH,http://cchs.colleton.k12.sc.us/,1501005,HIGH,F,55,,,,,55
COLLETON,"Bells Elementary, 12088 Bells Highway, Ruffin, SC, 29475",BELLS ELEMENTARY,http://www.colleton.k12.sc.us/schools/bes/index.html,1501006,ELEM,F,56.8,56.8,,,,
COLLETON,"Cottageville Elementary, 648 Peirce Road, Cottageville, SC, 29453",COTTAGEVILLE ELEMENTARY,http://cottagevilleelementary.com/,1501011,ELEM,C,78.7,78.7,,,,
COLLETON,"Forest Hills Elementary, 633 Hiers Corner Road, Walterboro, SC, 29488",FOREST HILLS ELEMENTARY,http://www.colleton.k12.sc.us/schools/fhe/index.htm,1501012,ELEM,C,73.4,73.4,,,,
COLLETON,#N/A,EDISTO BEACH ELEMENTARY,#N/A,1501019,ELEM,*,,,,,,
COLLETON,"Northside Elementary, 1929 Industrial Road, Walterboro, SC, 29488",NORTHSIDE ELEMENTARY,http://nse.colleton.k12.sc.us/,1501020,ELEM,F,57.8,57.8,,,,
COLLETON,"Hendersonville Elementary, 6089 Hendersonville Highway, Walterboro, SC, 29488",HENDERSONVILLE ELEMENTARY,http://www.colleton.k12.sc.us/schools/hes/index.html,1501021,ELEM,D,60.9,60.9,,,,
COLLETON,"Colleton County Middle                            , 1379 Tuskegee Airmen Drive, Walterboro, SC, 29488",COLLETON COUNTY MIDDLE,http://colletoncountymiddleschool.org/,1501022,MIDD,D,64,,,64,,
DARLINGTON,"Hartsville Middle, 1427 Fourteenth Street, Hartsville, SC, 29550",HARTSVILLE MIDDLE,http://hms.dcsdschools.org/,1601004,MIDD,B,84,,,84,,
DARLINGTON,"Hartsville High, 701 Lewellyn Avenue, Hartsville, SC, 29550",HARTSVILLE HIGH,http://hhs.dcsdschools.org/,1601005,HIGH,C,73.2,,,,,73.2
DARLINGTON,"Lamar High, 215 North Darlington Avenue, Lamar, SC, 29069",LAMAR HIGH,http://lhs.dcsdschools.org/,1601006,HIGH,B,84.1,,,,,84.1
DARLINGTON,"Spaulding Middle, 400 East Cartersville Highway, Lamar, SC, 29069",SPAULDING MIDDLE,http://spm.dcsdschools.org/,1601010,MIDD,B,89.5,,,89.5,,
DARLINGTON,"Brockington Elementary, 413 Brockington Road, Darlington, SC, 29532",BROCKINGTON ELEMENTARY,http://bes.dcsdschools.org/,1601013,ELEM,B,88.5,88.5,,,,
DARLINGTON,"Carolina Elementary, 719 West Carolina Avenue, Hartsville, SC, 29550",CAROLINA ELEMENTARY,http://ces.dcsdschools.org/,1601015,ELEM,A,99,99,,,,
DARLINGTON,"North Hartsville Elementary, 110 School Drive, Hartsville, SC, 29550",NORTH HARTSVILLE ELEMENTARY,http://nhe.dcsdschools.org/,1601017,ELEM,A,91.4,91.4,,,,
DARLINGTON,"Rosenwald Elementary-Middle, 508 Church Street, Society Hill, SC, 29593",ROSENWALD ELEMENTARY/MIDDLE,http://rems.dcsdschools.org/,1601020,COMBO,C,72.6,57.7,,91,,
DARLINGTON,"Spaulding Elementary, 204 East Pearl Street, Lamar, SC, 29069",SPAULDING ELEMENTARY,http://spe.dcsdschools.org/,1601023,ELEM,B,83.5,83.5,,,,
DARLINGTON,"Brunson-Dargan Elementary, 400 Wells Street, Darlington, SC, 29532",BRUNSON-DARGAN ELEMENTARY,http://bde.dcsdschools.org/,1601024,ELEM,A,90.8,90.8,,,,
DARLINGTON,"St. Johns Elementary, 140 Park Street, Darlington, SC, 29532",ST JOHN'S ELEMENTARY,http://sje.dcsdschools.org/,1601026,ELEM,B,85.6,85.6,,,,
DARLINGTON,"Thornwell School for the Arts, 437 West Carolina Avenue, Hartsville, SC, 29550",THORNWELL SCHOOL FOR THE ARTS,http://tes.dcsdschools.org/,1601027,ELEM,A,92.9,92.9,,,,
DARLINGTON,"West Hartsville Elementary, 214 Clyde Road, Hartsville, SC, 29550",WEST HARTSVILLE ELEMENTARY,http://whe.dcsdschools.org/,1601028,ELEM,B,83.8,83.8,,,,
DARLINGTON,"Washington St. Elementary, 325 Washington Street, Hartsville, SC, 29550",WASHINGTON STREET ELEMENTARY,http://wse.dcsdschools.org/,1601029,ELEM,A,91.3,91.3,,,,
DARLINGTON,"Darlington High, 525 Spring Street, Darlington, SC, 29532",DARLINGTON HIGH,http://dhs.dcsdschools.org/,1601030,HIGH,B,89,,,,,89
DARLINGTON,"Darlington Middle, 150 Pinedale Drive, Darlington, SC, 29532",DARLINGTON MIDDLE,http://dms.dcsdschools.org/,1601031,MIDD,B,86.6,,,86.6,,
DARLINGTON,"Mayo High For Math, Science, & Technology, 405 Chestnut Street, Darlington, SC, 29532",MAYO HIGH SCHOOL FOR MATH/SCIEN,http://mhs.dcsdschools.org/,1601033,HIGH,A,95.8,,,,,95.8
DARLINGTON,#N/A,CHOICES,#N/A,1601610,COMBO,*,,,,,,
DILLON 3,"Latta High, 618 North Richardson Street, Latta, SC, 29565",LATTA HIGH,http://lhs6.mybigcampus.net/,1703019,HIGH,C,78.5,,,,,78.5
DILLON 3,"Latta Middle, 612 North Richardson Street, Latta, SC, 29565",LATTA MIDDLE,http://lms4.mybigcampus.net/,1703021,MIDD,C,75.6,,,75.6,,
DILLON 3,"Latta Elementary, 122 Latimer Street, Latta, SC, 29565",LATTA ELEMENTARY,http://les2.mybigcampus.net/,1703022,ELEM,C,78.9,78.9,,,,
DILLON 4,"Lake View High                                    , 401 East Third Avenue, Lake View, SC, 29563",LAKE VIEW HIGH,http://www.dillon.k12.sc.us/LV_High/Default.asp,1704002,COMBO,B,83.1,,,88.4,,65.8
DILLON 4,"Lake View Elementary                              , 1311 Scott Street, Lake View, SC, 29563",LAKE VIEW ELEMENTARY,http://www.dillon.k12.sc.us/LV_Elementary/default.htm,1704003,ELEM,A,99.3,99.3,,,,
DILLON 4,"Dillon High School                                , 1730 Highway 301 North, Dillon, SC, 29536",DILLON HIGH,http://www.dillon.k12.sc.us/dhs/Default.asp,1704005,HIGH,F,32.7,,,,,32.7
DILLON 4,"East Elementary                                   , 901 East Harrison Street, Dillon, SC, 29536",EAST ELEMENTARY,http://www.dillon.k12.sc.us/east/default.htm,1704007,ELEM,A,90.2,90.2,,,,
DILLON 4,"South Elementary                                  , 900 Patriot Street, Dillon, SC, 29536",SOUTH ELEMENTARY,http://www.dillon.k12.sc.us/south/Default.htm,1704008,ELEM,F,56.1,56.1,,,,
DILLON 4,"Gordon Elementary                                 , 926 Perry Avenue, Dillon, SC, 29536",GORDON ELEMENTARY,http://www.dillon.k12.sc.us/gordon/default.htm,1704009,ELEM,A,92.3,92.3,,,,
DILLON 4,"Dillon Middle, 1803 Joan Drive, Dillon, SC, 29536",DILLON MIDDLE,http://www.dillon.k12.sc.us/jvm/Default.htm,1704010,MIDD,B,80,,,80,,
DILLON 4,"Stewart Heights Elementary                        , 1001 West Calhoun Street, Dillon, SC, 29536",STEWART HEIGHTS ELEMENTARY,http://www.dillon.k12.sc.us/shs/Default.htm,1704011,ELEM,A,95,95,,,,
DORCHESTER 2,"Summerville High, 1101 Boone Hill Road, Summerville, SC, 29483",SUMMERVILLE HIGH,http://dorchester.shs.schoolfusion.us/,1802006,HIGH,C,73.2,,,,,73.2
DORCHESTER 2,"Knightsville Elementary, 847 Orangeburg Road, Summerville, SC, 29483",KNIGHTSVILLE ELEMENTARY,http://dorchester.kes.schoolfusion.us/,1802007,ELEM,B,89.3,89.3,,,,
DORCHESTER 2,"Summerville Elementary, 835 South Main Street, Summerville, SC, 29483",SUMMERVILLE ELEMENTARY,http://dorchester.ses.schoolfusion.us/,1802009,ELEM,A,95.9,95.9,,,,
DORCHESTER 2,"James H. Spann Elementary, 901 John McKissick Way, Summerville, SC, 29483",SPANN ELEMENTARY,http://dorchester.spann.schoolfusion.us/,1802010,ELEM,B,84.3,84.3,,,,
DORCHESTER 2,"Alston Middle, 500 Bryan Street, Summerville, SC, 29483",ALSTON MIDDLE,http://dorchester.ams.schoolfusion.us/,1802011,MIDD,A,92.7,,,92.7,,
DORCHESTER 2,"Rollings Middle School of the Arts, 815 South Main Street, Summerville, SC, 29483",R H ROLLINGS MIDDLE SCHOOL OF TH,http://www.dorchester.rms.schoolfusion.us/,1802012,MIDD,A,100,,,100,,
DORCHESTER 2,"Newington Elementary, 10 King Charles Circle, Summerville, SC, 29485",NEWINGTON ELEMENTARY,http://dorchester.nes.schoolfusion.us/,1802013,ELEM,A,95.1,95.1,,,,
DORCHESTER 2,"Flowertown Elementary, 20 King Charles Circle, Summerville, SC, 29485",FLOWERTOWN ELEMENTARY,http://dorchester.fes.schoolfusion.us/,1802014,ELEM,B,88.3,88.3,,,,
DORCHESTER 2,"Charles B. DuBose Middle, 1005 DuBose School Road, Summerville, SC, 29483",CHARLES B DUBOSE MIDDLE,http://dorchester.dms.schoolfusion.us/,1802016,MIDD,A,92.1,,,92.1,,
DORCHESTER 2,"Oakbrook Elementary, 306 Old Fort Drive, Ladson, SC, 29456",OAKBROOK ELEMENTARY,http://dorchester.oes.schoolfusion.us/,1802017,ELEM,A,92.4,92.4,,,,
DORCHESTER 2,"Oakbrook Middle, 286 Old Fort Road, Ladson, SC, 29456",OAKBROOK MIDDLE,http://dorchester.oms.schoolfusion.us/,1802018,MIDD,A,90.6,,,90.6,,
DORCHESTER 2,"Windsor Hill Arts Infused Elementary, 8600 William Moultrie Drive, North Charleston, SC, 29420",WINDSOR HILL ELEMENTARY,http://dorchester.whe.schoolfusion.us/,1802019,ELEM,A,96.5,96.5,,,,
DORCHESTER 2,"Fort Dorchester High, 8500 Patriot Boulevard, North Charleston, SC, 29420",FORT DORCHESTER HIGH,http://dorchester.fdhs.schoolfusion.us/,1802020,HIGH,B,85.8,,,,,85.8
DORCHESTER 2,"Beech Hill Elementary, 1001 Beech Hill Road, Summerville, SC, 29485",BEECH HILL ELEMENTARY,http://dorchester.bhe.schoolfusion.us/,1802021,ELEM,A,98.1,98.1,,,,
DORCHESTER 2,"Gregg Middle, 500 Green Wave Boulevard, Summerville, SC, 29483",GREGG MIDDLE,http://dorchester.gms.schoolfusion.us/,1802022,MIDD,B,88.9,,,88.9,,
DORCHESTER 2,"Fort Dorchester Elementary, 5201 Old Glory Lane, Summerville, SC, 29485",FORT DORCHESTER ELEMENTARY,http://dorchester.fde.schoolfusion.us/,1802023,ELEM,A,94.2,94.2,,,,
DORCHESTER 2,"Eagle Nest Elementary, 8640 River Oaks Drive, North Charleston, SC, 29420",EAGLE NEST ELEMENTARY,http://dorchester.ene.schoolfusion.us/,1802024,ELEM,B,87.7,87.7,,,,
DORCHESTER 2,"William M. Reeves Elementary, 1003 DuBose School Road, Summerville, SC, 29483",WILLIAM M REEVES ELEMENTARY,http://dorchester.wre.schoolfusion.us/,1802025,ELEM,A,95.7,95.7,,,,
DORCHESTER 2,"River Oaks Middle, 8642 River Oaks Drive, North Charleston, SC, 29420",RIVER OAKS MIDDLE,http://dorchester.ros.schoolfusion.us/,1802026,MIDD,A,92.7,,,92.7,,
DORCHESTER 2,"Ashley Ridge High, 9800 Delemar Highway, Summerville, SC, 29485",ASHLEY RIDGE HIGH,http://ashleyridge.schoolfusion.us/,1802027,HIGH,C,79.8,,,,,79.8
DORCHESTER 2,"Joseph R. Pye Elementary, 9701 Patriot Boulevard, Ladson, SC, 29456",JOSEPH R PYE ELEMENTARY,http://pye.dorchester.schoolfusion.us/,1802028,ELEM,B,87.8,87.8,,,,
DORCHESTER 4,"Harleyville Elementary, 1650 East Main Street, Dorchester, SC, 29437",HARLEYVILLE ELEMENTARY,http://hes.dorchester4.k12.sc.us/home.aspx?,1804016,ELEM,A,92.8,92.8,,,,
DORCHESTER 4,"St. George Middle, 600 Minus Street, St. George, SC, 29477",ST GEORGE MIDDLE,http://stgeorge.dorchester4.k12.sc.us/home.aspx?,1804017,MIDD,C,74.6,,,74.6,,
DORCHESTER 4,"William Memorial Elementary, 290 South Metts Street , St. George, SC, 29477",WILLIAMS MEMORIAL ELEMENTARY,http://wm.dorchester4.k12.sc.us/home.aspx?,1804018,ELEM,B,86.5,86.5,,,,
DORCHESTER 4,"Woodland High, 4128 Highway 78, Dorchester, SC, 29437",WOODLAND HIGH,http://woodland.dorchester4.k12.sc.us/home.aspx?,1804019,HIGH,F,48.8,,,,,48.8
DORCHESTER 4,"Clay Hill Elementary, 387 South Railroad Avenue, Ridgeville, SC, 29472",CLAY HILL ELEMENTARY,http://clayhill.dorchester4.k12.sc.us/home.aspx,1804021,ELEM,A,97.5,97.5,,,,
DORCHESTER 4,"Harleyville-Ridgeville Middle, 1650 East Main Street, Dorchester, SC, 29437",HARLEYVILLE-RIDGEVILLE MIDDLE,http://hrm.dorchester4.k12.sc.us/,1804022,MIDD,B,87.5,,,87.5,,
EDGEFIELD,"Strom Thurmond High, 1131 Columbia Road, Johnston, SC, 29832",STROM THURMOND HIGH,http://www.st.edgefieldcountyschools.org/pages/Strom_THS,1901002,HIGH,F,59.6,,,,,59.6
EDGEFIELD,"Douglas Elementary, 215 Diggs Road, Trenton, SC, 29847",DOUGLAS ELEMENTARY,http://www.des.edgefieldcountyschools.org/pages/DouglasES,1901003,ELEM,F,54.3,54.3,,,,
EDGEFIELD,"Johnston Elementary, 514 Lee Street, Johnston, SC, 29832",JOHNSTON ELEMENTARY,http://www.jes.edgefieldcountyschools.org/pages/JohnstonEShttp://www.jes.edgefieldcountyschools.org/pages/JohnstonES,1901005,ELEM,D,65.8,65.8,,,,
EDGEFIELD,"W. E. Parker Elementary, 41 Crest Road, Edgefield, SC, 29824",W E PARKER ELEMENTARY,http://www.wep.edgefieldcountyschools.org/pages/W_E_ParkerES,1901007,ELEM,B,88.4,88.4,,,,
EDGEFIELD,"Merriwether Elementary, 565 Spring Haven Drive, North Augusta, SC, 29860",MERRIWETHER ELEMENTARY,http://www.mes.edgefieldcountyschools.org/pages/Merriwether_Elementary_School,1901008,ELEM,C,73.6,73.6,,,,
EDGEFIELD,"Johnston-Edgefield-Trenton Middle, 1095 Columbia Road, Johnston, SC, 29832",JOHNSTON-EDGEFIELD-TRENTON MIDDL,http://www.jet.edgefieldcountyschools.org/pages/JET,1901009,MIDD,C,78.1,,,78.1,,
EDGEFIELD,"Merriwether Middle, 430 Murrah Road, North Augusta, SC, 29860",MERRIWETHER MIDDLE,http://www.mms.edgefieldcountyschools.org/pages/Merriwether_Middle_School,1901010,MIDD,B,80.4,,,80.4,,
FAIRFIELD,"Fairfield Middle, 728 US Highway 321 Bypass South, Winnsboro, SC, 29180",FAIRFIELD MIDDLE,http://fms.fairfield.k12.sc.us/home.aspx,2001001,MIDD,F,48.5,,,48.5,,
FAIRFIELD,"Kelly Miller Elementary, 255 Kelly Miller Road, Winnsboro, SC, 29180",KELLY MILLER ELEMENTARY,http://kme.fairfield.k12.sc.us/home.aspx,2001008,COMBO,C,72.7,64.2,,95,,
FAIRFIELD,"McCrorey-Liston School of Technology, 1978 SC Highway 215 South, Blair, SC, 29015",MCCROREY-LISTON SCHOOL OF TECHNO,http://mle.fairfield.k12.sc.us/home.aspx,2001009,COMBO,B,84.8,97.5,,57,,
FAIRFIELD,"Geiger Elementary, 150 T.M. Cook Road, Ridgeway, SC, 29130",GEIGER ELEMENTARY,http://geiger.fairfield.k12.sc.us/home.aspx,2001012,ELEM,D,65.1,65.1,,,,
FAIRFIELD,"Fairfield Central High, 836 US Highway 321 Bypass South, Winnsboro, SC, 29180",FAIRFIELD CENTRAL HIGH,http://fchs.fairfield.k12.sc.us/home.aspx,2001013,HIGH,D,64.4,,,,,64.4
FAIRFIELD,"Fairfield Elementary, 175 Medley Road, Winnsboro, SC, 29180",FAIRFIELD ELEMENTARY,http://fps.fairfield.k12.sc.us/home.aspx,2001014,COMBO,F,39,34.6,,50.4,,
FAIRFIELD,"Fairfield Magnet for Math and Science, 1647 US Highway 321 Bypass North, Winnsboro, SC, 29180",FAIRFIELD MAGNET SCHOOL FOR MATH,http://fis.fairfield.k12.sc.us/home.aspx,2001015,COMBO,A,99.2,99,,100,,
FLORENCE 1,"Moore Intermediate, 1101 Cheraw Drive, Florence, SC, 29501",MOORE INTERMEDIATE,https://www.fsd1.org/schools/moore/Pages/default.aspx,2101002,COMBO,B,84.6,76.7,,92.6,,
FLORENCE 1,"South Florence High, 3200 South Irby Street, Florence, SC, 29505",SOUTH FLORENCE HIGH,https://www.fsd1.org/schools/southflorence/Pages/default.aspx,2101004,HIGH,D,68,,,,,68
FLORENCE 1,"Williams Middle, 1119 North Irby Street, Florence, SC, 29501",WILLIAMS MIDDLE,https://www.fsd1.org/schools/williams/Pages/default.aspx,2101005,MIDD,B,82.6,,,82.6,,
FLORENCE 1,"Wilson High, 1411 Old Marion Highway, Florence, SC, 29506",WILSON SENIOR HIGH,https://www.fsd1.org/schools/wilson/Pages/default.aspx,2101006,HIGH,D,69.4,,,,,69.4
FLORENCE 1,"Briggs Elementary, 1012 Congaree Drive, Florence, SC, 29501",BRIGGS ELEMENTARY,https://www.fsd1.org/schools/briggs/Pages/default.aspx,2101008,COMBO,B,88,90.5,,82.2,,
FLORENCE 1,"Carver Elementary, 515 North Cashua Drive, Florence, SC, 29501",CARVER ELEMENTARY,https://www.fsd1.org/schools/carver/Pages/default.aspx,2101009,ELEM,A,97.6,97.6,,,,
FLORENCE 1,"Delmae Elementary, 1211 South Cashua Drive, Florence, SC, 29501",DELMAE ELEMENTARY,https://www.fsd1.org/schools/delmae/Pages/default.aspx,2101010,ELEM,A,99.8,99.8,,,,
FLORENCE 1,"Greenwood Elementary, 2300 East Howe Springs Road, Florence, SC, 29505",GREENWOOD ELEMENTARY,https://www.fsd1.org/schools/greenwood/Pages/default.aspx,2101011,COMBO,B,89.6,97.9,,67.9,,
FLORENCE 1,"McLaurin Elementary, 1400 McMillan Lane, Florence, SC, 29506",MCLAURIN ELEMENTARY,https://www.fsd1.org/schools/mclaurin/Pages/default.aspx,2101012,ELEM,C,73.6,73.6,,,,
FLORENCE 1,"Theodore Lester Elementary, 3501 East Palmetto Street, Florence, SC, 29506",THEODORE LESTER ELEMENTARY,https://www.fsd1.org/schools/lester/Pages/default.aspx,2101013,COMBO,D,66.9,55.4,,96.8,,
FLORENCE 1,"West Florence High, 221 North Beltline Drive, Florence, SC, 29501",WEST FLORENCE HIGH,https://www.fsd1.org/schools/westflorence/Pages/default.aspx,2101014,HIGH,B,80.4,,,,,80.4
FLORENCE 1,"North Vista Elementary, 1100 North Irby Street, Florence, SC, 29501",NORTH VISTA ELEMENTARY,https://www.fsd1.org/schools/northvista/Pages/default.aspx,2101016,COMBO,C,71.2,69.8,,74.7,,
FLORENCE 1,"Royall Elementary, 1400 Woods Road, Florence, SC, 29501",ROYALL ELEMENTARY,https://www.fsd1.org/schools/royall/Pages/RoyallElementary.aspx,2101017,COMBO,A,98.9,98.8,,99.3,,
