School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,CCRPI Score,Marker_Type,address
2012,644,DeKalb County,4064,Rainbow Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,44.6,8.1,5.3,1,0.9,1.9,59.9,small_purple,"Rainbow Elementary School, 2801 Kelley Chapel Rd, Decatur, GA, 30034-2240"
2012,644,DeKalb County,4059,Kelley Lake Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,42.2,10.3,6,1.5,0,1.5,60,small_purple,"Kelley Lake Elementary School, 2590 Kelly Lake Rd , Decatur, GA, 30032-6427"
2012,644,DeKalb County,188,Panola Way Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,38.3,9.3,12,0.5,0,0.5,60.1,small_purple,"Panola Way Elementary School, 2170 Panola Way Ct, Lithonia, GA, 30058-5525"
2012,644,DeKalb County,4065,Rowland Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,39.4,9.5,7.5,0.5,3.2,3.7,60.1,small_purple,"Rowland Elementary School, 1317 S Indian Creek Dr, Stone Mountain, GA, 30083-5220"
2012,644,DeKalb County,5053,Clifton Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,46.6,7.7,5.3,0.5,0,0.5,60.1,small_purple,"Clifton Elementary School, 3132 Clifton Church Rd SE, Atlanta, GA, 30316-4944"
2012,660,Fulton County,2550,Brookview Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,45.4,8.2,6,0.5,0,0.5,60.1,small_purple,"Brookview Elementary School, 3250 Hammarskjold Dr, East Point, GA, 30344-6318"
2012,625,Chatham County,1052,Bartow Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,44.2,7.7,6.8,1.5,0,1.5,60.2,small_purple,"Bartow Elementary School, 1804 Stratford St , Savannah, GA, 31415-1617"
2012,660,Fulton County,501,Hamilton E. Holmes Elementary,"PK, KK, 01, 02, 03, 04, 05",E,47.1,7.4,3.8,0.5,1.9,2.4,60.7,small_purple,"Hamilton E. Holmes Elementary, 2301 Connally Dr, East Point, GA, 30344-1009"
2012,625,Chatham County,1056,Gadsden Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,46.1,8.5,5.3,1,0,1,60.9,small_purple,"Gadsden Elementary School, 5330 Montgomery St , Savannah, GA, 31405-5139"
2012,648,Douglas County,104,North Douglas Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,40.2,9.2,10.5,1,0,1,60.9,small_purple,"North Douglas Elementary School, 1630 Dorris Rd , Douglasville, GA, 30134-3530"
